record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,is_legitimate_counterexample,amount_percentile_flag,balance_usage_ratio
L01_000039,96,TRANSFER,1082819.18,C1505214195,2695282.52,1612463.34,C1687128303,2949879.94,4032699.12,0,0,L01_00039,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4017
L01_000040,500,TRANSFER,1383888.94,C1115314123,3275264.59,1891375.65,C466812905,5251533.87,6635422.81,0,0,L01_00040,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4225
L01_000041,16,TRANSFER,1655610.76,C74504127,4634306.7,2978695.94,C173347970,0.0,1655610.76,0,0,L01_00041,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3573
L01_000042,300,TRANSFER,38148001.52,C1769534655,73784311.25,35636309.73,C1620573488,38223980.72,76371982.24,0,0,L01_00042,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.517
L01_000043,202,TRANSFER,1150139.42,C467397171,2532057.03,1381917.61,C1805332496,2217288.67,3367428.09,0,0,L01_00043,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4542
L01_000044,136,TRANSFER,964920.56,C657528995,2343874.01,1378953.45,C672285686,3288495.42,4253415.98,0,0,L01_00044,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4117
L01_000045,188,TRANSFER,1046800.74,C254494378,2215852.85,1169052.11,C1946054070,0.0,1046800.74,0,0,L01_00045,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4724
L01_000046,13,TRANSFER,2793217.76,C517238128,5980920.77,3187703.01,C1507516448,113251.68,2906469.44,0,0,L01_00046,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.467
L01_000047,398,TRANSFER,939330.18,C549612357,1874364.8,935034.62,C1036680717,450253.16,1389583.34,0,0,L01_00047,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5011
L01_000048,332,TRANSFER,2214760.1,C409633807,5196597.32,2981837.22,C54630851,2699322.79,4914082.89,0,0,L01_00048,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4262
L01_000049,405,TRANSFER,1922552.47,C478770373,5336739.94,3414187.47,C1988380927,5092617.87,7015170.34,0,0,L01_00049,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3602
L01_000050,357,TRANSFER,1091312.74,C1354992589,1966864.84,875552.1,C54581053,1144712.33,2236025.07,0,0,L01_00050,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5548
L01_000051,399,TRANSFER,1008789.33,C2138985899,2927153.11,1918363.78,C1881151365,24640834.11,25649623.44,0,0,L01_00051,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3446
L01_000052,304,TRANSFER,10275132.82,C1227062655,26033399.98,15758267.16,C96762845,30191229.48,40466362.3,0,0,L01_00052,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3947
L01_000053,139,TRANSFER,1337440.73,C956128360,3657779.78,2320339.05,C1558917030,1677217.37,3014658.1,0,0,L01_00053,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3656
L01_000054,322,TRANSFER,1112694.89,C572111809,2597348.15,1484653.26,C793508518,497340.81,1610035.7,0,0,L01_00054,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4284
L01_000055,142,TRANSFER,1868566.94,C1256500838,4987719.12,3119152.18,C29810789,1916735.45,3785302.39,0,0,L01_00055,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3746
L01_000056,322,TRANSFER,2839502.6,C1756618737,4328255.51,1488752.91,C1567859503,518132.17,3357634.77,0,0,L01_00056,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.656
L01_000057,393,TRANSFER,2187112.52,C1311688413,5965503.89,3778391.37,C208944924,118066.64,2305179.16,0,0,L01_00057,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3666
L01_000058,375,TRANSFER,1237531.33,C414765540,1930806.64,693275.31,C1640631965,31962434.5,33199965.83,0,0,L01_00058,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.6409
L01_000059,37,TRANSFER,991702.95,C1329760322,2811349.01,1819646.06,C580408852,1021023.09,2012726.04,0,0,L01_00059,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3527
L01_000060,8,TRANSFER,1051474.12,C228811540,3141745.92,2090271.8,C1511785794,201821.0,1253295.12,0,0,L01_00060,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3347
L01_000061,12,TRANSFER,1022718.03,C493552177,1985199.19,962481.16,C1352700528,2445139.0,3467857.03,0,0,L01_00061,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5152
L01_000062,311,TRANSFER,1487580.96,C140390314,2700670.26,1213089.3,C1107140692,1540341.35,3027922.31,0,0,L01_00062,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5508
L01_000063,40,TRANSFER,1096519.25,C1619669046,2903632.37,1807113.12,C507536444,3197636.71,4294155.96,0,0,L01_00063,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3776
L01_000064,327,TRANSFER,9856753.33,C319331887,18526157.34,8669404.01,C60911281,190116171.68,199972925.01,0,0,L01_00064,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.532
L01_000065,284,TRANSFER,3326890.56,C1885847136,9309782.82,5982892.26,C2080338110,8521740.96,11848631.52,0,0,L01_00065,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3574
L01_000066,396,TRANSFER,6354957.16,C989323525,10512776.14,4157818.98,C169316538,6436676.96,12791634.12,0,0,L01_00066,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.6045
L01_000067,215,TRANSFER,1120415.1,C1336669419,1892305.81,771890.71,C1420124119,4729332.77,5849747.87,0,0,L01_00067,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5921
L01_000068,35,TRANSFER,1840235.67,C897283271,5463157.93,3622922.26,C482771714,4292473.21,6132708.88,0,0,L01_00068,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3368
L01_000069,186,TRANSFER,1388068.53,C1046656464,3485104.65,2097036.12,C1603856003,1799929.37,3187997.9,0,0,L01_00069,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3983
L01_000070,327,TRANSFER,8169432.19,C2131293540,22632029.91,14462597.72,C1678952333,12159653.35,20329085.54,0,0,L01_00070,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.361
L01_000071,131,TRANSFER,1813494.76,C1947918479,3602496.58,1789001.82,C1517245954,2685744.45,4499239.21,0,0,L01_00071,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5034
L01_000072,181,TRANSFER,2004890.19,C769029427,5041748.73,3036858.54,C881885056,8665356.65,10670246.84,0,0,L01_00072,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3977
L01_000073,35,TRANSFER,965280.61,C203401666,2308336.09,1343055.48,C1372468224,1413705.92,2378986.53,0,0,L01_00073,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4182
L01_000074,379,TRANSFER,3477132.97,C1733468551,8361549.21,4884416.24,C902681321,3417123.15,6894256.12,0,0,L01_00074,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4158
L01_000075,586,TRANSFER,1009415.3,C1092562156,2547561.01,1538145.71,C132634654,360818.35,1370233.65,0,0,L01_00075,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3962
L01_000076,249,TRANSFER,1427092.13,C1381210228,3372274.02,1945181.89,C2047509013,0.0,1427092.13,0,0,L01_00076,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4232
L01_000077,203,TRANSFER,1253496.97,C698761717,2686988.02,1433491.05,C41462760,1870983.77,3124480.74,0,0,L01_00077,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4665
L01_000078,11,TRANSFER,1840166.32,C119028741,3521864.95,1681698.63,C1921283275,432860.14,2273026.46,0,0,L01_00078,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5225
L01_000079,371,TRANSFER,3488417.32,C1839686126,9254324.62,5765907.3,C820533572,411432.37,3899849.69,0,0,L01_00079,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3769
L01_000080,298,TRANSFER,3854514.65,C1404567964,7090027.57,3235512.92,C523741044,4834041.46,8688556.11,0,0,L01_00080,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5437
L01_000081,401,TRANSFER,1179299.99,C676543927,2993690.12,1814390.13,C593644351,2026031.58,3205331.57,0,0,L01_00081,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3939
L01_000082,36,TRANSFER,1811910.23,C1562168200,3352032.54,1540122.31,C1317601054,3043554.7,4855464.93,0,0,L01_00082,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5405
L01_000083,11,TRANSFER,2546346.53,C1383519152,6207980.76,3661634.23,C723981114,264030.79,2810377.32,0,0,L01_00083,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4102
L01_000084,520,TRANSFER,1000875.6,C981226894,2622912.01,1622036.41,C395572877,0.0,1000875.6,0,0,L01_00084,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3816
L01_000085,147,TRANSFER,975161.58,C2126948597,1782664.44,807502.86,C168299345,8020864.07,8996025.65,0,0,L01_00085,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.547
L01_000086,141,TRANSFER,915367.35,C878136534,1455356.24,539988.89,C795684055,3718092.09,4633459.44,0,0,L01_00086,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.629
L01_000087,333,TRANSFER,1919708.29,C183773397,3256709.51,1337001.22,C195609347,15008765.85,16928474.14,0,0,L01_00087,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5895
L01_000088,300,TRANSFER,1337935.62,C1760044892,3223080.82,1885145.2,C1794985101,159242.47,1497178.09,0,0,L01_00088,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4151
L01_000089,298,TRANSFER,8568156.43,C1189123990,23769519.18,15201362.75,C731686024,12676035.07,21244191.5,0,0,L01_00089,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3605
L01_000090,216,TRANSFER,1846663.85,C409739552,2894636.78,1047972.93,C796018229,2269926.56,4116590.41,0,0,L01_00090,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.638
L01_000091,205,TRANSFER,904009.22,C452155124,2351533.09,1447523.87,C1052654355,1187262.69,2091271.91,0,0,L01_00091,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3844
L01_000092,10,TRANSFER,1386332.35,C1217956846,2789270.15,1402937.8,C246785519,0.0,1386332.35,0,0,L01_00092,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.497
L01_000093,257,TRANSFER,957024.66,C855998556,2122482.17,1165457.51,C1701302217,464217.44,1421242.1,0,0,L01_00093,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4509
L01_000094,228,TRANSFER,1372368.07,C125402966,3970657.89,2598289.82,C429592990,40759.17,1413127.24,0,0,L01_00094,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3456
L01_000095,490,TRANSFER,949304.34,C1932063471,1896669.5,947365.16,C183207396,1177902.23,2127206.57,0,0,L01_00095,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5005
L01_000096,131,TRANSFER,972933.25,C966361424,2138512.54,1165579.29,C1701945041,1083987.89,2056921.14,0,0,L01_00096,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.455
L01_000097,140,TRANSFER,1396694.82,C350530113,2123707.47,727012.65,C722672720,2483300.49,3879995.31,0,0,L01_00097,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.6577
L01_000098,358,TRANSFER,1506494.11,C176070613,2444133.15,937639.04,C1423696633,2988527.41,4495021.52,0,0,L01_00098,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.6164
L01_000099,18,TRANSFER,1167127.47,C643700547,2203405.23,1036277.76,C1244762702,1992757.47,3159884.94,0,0,L01_00099,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5297
L01_000100,131,TRANSFER,1217547.0,C106773238,1877187.62,659640.62,C2025420826,0.0,1217547.0,0,0,L01_00100,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.6486
L01_000101,48,TRANSFER,1266206.56,C1293726759,3098487.21,1832280.65,C1770424610,1465195.92,2731402.48,0,0,L01_00101,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4087
L01_000102,405,TRANSFER,925882.94,C946314001,1981016.86,1055133.92,C1078899127,3997176.03,4923058.97,0,0,L01_00102,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4674
L01_000103,233,TRANSFER,3500952.06,C150256169,8129973.21,4629021.15,C1298523080,6581879.82,10082831.88,0,0,L01_00103,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4306
L01_000104,204,TRANSFER,942095.21,C641602330,1659944.23,717849.02,C1966002811,2939407.91,3881503.12,0,0,L01_00104,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5675
L01_000105,13,TRANSFER,1632516.43,C222165078,3173445.5,1540929.07,C118648358,3228942.35,4861458.78,0,0,L01_00105,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5144
L01_000106,235,TRANSFER,2744122.71,C2125416383,6848607.79,4104485.08,C1728540869,11708287.16,14452409.87,0,0,L01_00106,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4007
L01_000107,302,TRANSFER,1258960.86,C325360952,3711358.81,2452397.95,C717296513,0.0,1258960.86,0,0,L01_00107,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3392
L01_000108,154,TRANSFER,1341788.0,C176199194,2114154.93,772366.93,C1610191594,1648675.54,2990463.54,0,0,L01_00108,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.6347
L01_000109,256,TRANSFER,966791.36,C548482586,2741410.84,1774619.48,C1179402601,10353252.95,11320044.31,0,0,L01_00109,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3527
L01_000110,398,TRANSFER,938935.9,C49969815,2220885.55,1281949.65,C731637940,162030.11,1100966.01,0,0,L01_00110,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4228
L01_000111,133,TRANSFER,1424388.41,C1957052394,3341443.36,1917054.95,C240670965,2361751.62,3786140.03,0,0,L01_00111,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4263
L01_000112,159,TRANSFER,1272281.19,C1123497899,2863164.24,1590883.05,C811674438,3978910.52,5251191.71,0,0,L01_00112,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4444
L01_000113,288,TRANSFER,15080029.95,C662971535,24189742.27,9109712.32,C866356999,17467853.77,32547883.72,0,0,L01_00113,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.6234
L01_000114,544,TRANSFER,2161195.35,C301549770,3533155.18,1371959.83,C550760910,22992.53,2184187.88,0,0,L01_00114,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.6117
L01_000115,280,TRANSFER,1490791.65,C510238890,3579939.38,2089147.73,C1155377876,3372005.41,4862797.06,0,0,L01_00115,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4164
L01_000116,134,TRANSFER,1209751.39,C1486398145,2433339.74,1223588.35,C712309505,4902470.94,6112222.33,0,0,L01_00116,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4972
L01_000117,17,TRANSFER,2150310.11,C2081529433,6184081.36,4033771.25,C69797167,0.0,2150310.11,0,0,L01_00117,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3477
