record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,severity,is_legitimate_counterexample,dispersion_position,destinations_in_scenario,step_gap_from_previous,scenario_step_window,scenario_total_amount,sender_balance_usage_ratio,destination_balance_usage_ratio,dispersion_pattern,historical_pattern
L10_000014,70,TRANSFER,56960.51,LD000003_S,1502492.81,1445532.3,LD000003_D4,879178.69,936139.2,0,0,L10_000003,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,3,10,243538.16,0.037911,0.064788,ONE_TO_MANY,NORMAL
L10_000015,71,TRANSFER,65482.8,LD000003_S,1445532.3,1380049.5,LD000003_D5,481222.71,546705.51,0,0,L10_000003,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,1,10,243538.16,0.0453,0.136076,ONE_TO_MANY,NORMAL
L10_000016,776,TRANSFER,46738.13,LD000004_S,1804892.79,1758154.66,LD000004_D1,536618.67,583356.8,0,0,L10_000004,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,7,247591.56,0.025895,0.087097,ONE_TO_MANY,NORMAL
L10_000017,777,TRANSFER,15370.89,LD000004_S,1758154.66,1742783.77,LD000004_D2,823873.72,839244.61,0,0,L10_000004,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,1,7,247591.56,0.008743,0.018657,ONE_TO_MANY,NORMAL
L10_000018,779,TRANSFER,46588.25,LD000004_S,1742783.77,1696195.52,LD000004_D3,1085547.4,1132135.65,0,0,L10_000004,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,2,7,247591.56,0.026732,0.042917,ONE_TO_MANY,NORMAL
L10_000019,782,TRANSFER,27420.69,LD000004_S,1696195.52,1668774.83,LD000004_D4,1143521.95,1170942.64,0,0,L10_000004,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,3,7,247591.56,0.016166,0.023979,ONE_TO_MANY,NORMAL
L10_000020,783,TRANSFER,111473.6,LD000004_S,1668774.83,1557301.23,LD000004_D5,775104.33,886577.93,0,0,L10_000004,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,1,7,247591.56,0.0668,0.143818,ONE_TO_MANY,NORMAL
L10_000021,671,TRANSFER,90341.91,LD000005_S,1780822.13,1690480.22,LD000005_D1,1171368.75,1261710.66,0,0,L10_000005,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,8,267123.33,0.05073,0.077125,ONE_TO_MANY,NORMAL
L10_000022,674,TRANSFER,103629.92,LD000005_S,1690480.22,1586850.3,LD000005_D2,1111267.72,1214897.64,0,0,L10_000005,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,3,8,267123.33,0.061302,0.093254,ONE_TO_MANY,NORMAL
L10_000023,675,TRANSFER,21075.73,LD000005_S,1586850.3,1565774.57,LD000005_D3,719961.53,741037.26,0,0,L10_000005,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,1,8,267123.33,0.013281,0.029273,ONE_TO_MANY,NORMAL
L10_000024,677,TRANSFER,34857.01,LD000005_S,1565774.57,1530917.56,LD000005_D4,851761.63,886618.64,0,0,L10_000005,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,2,8,267123.33,0.022262,0.040923,ONE_TO_MANY,NORMAL
L10_000025,679,TRANSFER,17218.76,LD000005_S,1530917.56,1513698.8,LD000005_D5,1048969.21,1066187.97,0,0,L10_000005,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,2,8,267123.33,0.011247,0.016415,ONE_TO_MANY,NORMAL
L10_000026,210,TRANSFER,92278.23,LD000006_S,2335151.4,2242873.17,LD000006_D1,998943.19,1091221.42,0,0,L10_000006,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,11,350272.71,0.039517,0.092376,ONE_TO_MANY,NORMAL
L10_000027,212,TRANSFER,59883.78,LD000006_S,2242873.17,2182989.39,LD000006_D2,410511.55,470395.33,0,0,L10_000006,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,2,11,350272.71,0.0267,0.145876,ONE_TO_MANY,NORMAL
L10_000028,215,TRANSFER,36086.2,LD000006_S,2182989.39,2146903.19,LD000006_D3,703071.17,739157.37,0,0,L10_000006,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,3,11,350272.71,0.016531,0.051327,ONE_TO_MANY,NORMAL
L10_000029,218,TRANSFER,53712.9,LD000006_S,2146903.19,2093190.29,LD000006_D4,816732.59,870445.49,0,0,L10_000006,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,3,11,350272.71,0.025019,0.065766,ONE_TO_MANY,NORMAL
L10_000030,221,TRANSFER,108311.6,LD000006_S,2093190.29,1984878.69,LD000006_D5,1146721.36,1255032.96,0,0,L10_000006,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,3,11,350272.71,0.051745,0.094453,ONE_TO_MANY,NORMAL
L10_000031,674,TRANSFER,70052.5,LD000007_S,1641433.14,1571380.64,LD000007_D1,1076989.88,1147042.38,0,0,L10_000007,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,8,246214.97,0.042678,0.065045,ONE_TO_MANY,NORMAL
L10_000032,675,TRANSFER,31712.39,LD000007_S,1571380.64,1539668.25,LD000007_D2,1227367.77,1259080.16,0,0,L10_000007,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,1,8,246214.97,0.020181,0.025838,ONE_TO_MANY,NORMAL
L10_000033,678,TRANSFER,43715.18,LD000007_S,1539668.25,1495953.07,LD000007_D3,468911.28,512626.46,0,0,L10_000007,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,3,8,246214.97,0.028393,0.093227,ONE_TO_MANY,NORMAL
L10_000034,681,TRANSFER,29156.68,LD000007_S,1495953.07,1466796.39,LD000007_D4,1231275.86,1260432.54,0,0,L10_000007,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,3,8,246214.97,0.01949,0.02368,ONE_TO_MANY,NORMAL
L10_000035,682,TRANSFER,71578.22,LD000007_S,1466796.39,1395218.17,LD000007_D5,1066929.08,1138507.3,0,0,L10_000007,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,1,8,246214.97,0.048799,0.067088,ONE_TO_MANY,NORMAL
L10_000036,452,TRANSFER,25118.84,LD000008_S,1295149.61,1270030.77,LD000008_D1,1222908.99,1248027.83,0,0,L10_000008,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,9,194272.44,0.019395,0.02054,ONE_TO_MANY,NORMAL
L10_000037,454,TRANSFER,68079.07,LD000008_S,1270030.77,1201951.7,LD000008_D2,991072.75,1059151.82,0,0,L10_000008,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,2,9,194272.44,0.053604,0.068692,ONE_TO_MANY,NORMAL
L10_000038,455,TRANSFER,14060.51,LD000008_S,1201951.7,1187891.19,LD000008_D3,671638.39,685698.9,0,0,L10_000008,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,1,9,194272.44,0.011698,0.020935,ONE_TO_MANY,NORMAL
L10_000039,458,TRANSFER,16900.97,LD000008_S,1187891.19,1170990.22,LD000008_D4,1167021.04,1183922.01,0,0,L10_000008,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,3,9,194272.44,0.014228,0.014482,ONE_TO_MANY,NORMAL
L10_000040,461,TRANSFER,70113.05,LD000008_S,1170990.22,1100877.17,LD000008_D5,718006.67,788119.72,0,0,L10_000008,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,3,9,194272.44,0.059875,0.09765,ONE_TO_MANY,NORMAL
L10_000041,836,TRANSFER,41359.18,LD000009_S,2456001.15,2414641.97,LD000009_D1,1128288.73,1169647.91,0,0,L10_000009,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,8,368400.18,0.01684,0.036657,ONE_TO_MANY,NORMAL
L10_000042,838,TRANSFER,33900.24,LD000009_S,2414641.97,2380741.73,LD000009_D2,1023977.13,1057877.37,0,0,L10_000009,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,2,8,368400.18,0.014039,0.033106,ONE_TO_MANY,NORMAL
L10_000043,839,TRANSFER,131377.3,LD000009_S,2380741.73,2249364.43,LD000009_D3,1004530.05,1135907.35,0,0,L10_000009,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,1,8,368400.18,0.055183,0.130785,ONE_TO_MANY,NORMAL
L10_000044,841,TRANSFER,66620.47,LD000009_S,2249364.43,2182743.96,LD000009_D4,973050.12,1039670.59,0,0,L10_000009,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,2,8,368400.18,0.029617,0.068466,ONE_TO_MANY,NORMAL
L10_000045,844,TRANSFER,95142.99,LD000009_S,2182743.96,2087600.97,LD000009_D5,1057731.18,1152874.17,0,0,L10_000009,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,3,8,368400.18,0.043589,0.08995,ONE_TO_MANY,NORMAL
L10_000046,464,TRANSFER,53137.48,LD000010_S,1779060.21,1725922.73,LD000010_D1,569005.11,622142.59,0,0,L10_000010,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,9,266859.03,0.029868,0.093387,ONE_TO_MANY,NORMAL
L10_000047,467,TRANSFER,13512.7,LD000010_S,1725922.73,1712410.03,LD000010_D2,523476.06,536988.76,0,0,L10_000010,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,3,9,266859.03,0.007829,0.025813,ONE_TO_MANY,NORMAL
L10_000048,470,TRANSFER,16801.01,LD000010_S,1712410.03,1695609.02,LD000010_D3,970338.79,987139.8,0,0,L10_000010,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,3,9,266859.03,0.009811,0.017315,ONE_TO_MANY,NORMAL
L10_000049,472,TRANSFER,78133.45,LD000010_S,1695609.02,1617475.57,LD000010_D4,706410.01,784543.46,0,0,L10_000010,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,2,9,266859.03,0.04608,0.110606,ONE_TO_MANY,NORMAL
L10_000050,473,TRANSFER,105274.39,LD000010_S,1617475.57,1512201.18,LD000010_D5,892631.54,997905.93,0,0,L10_000010,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,1,9,266859.03,0.065086,0.117937,ONE_TO_MANY,NORMAL
L10_000051,328,TRANSFER,65110.25,LD000011_S,1884039.13,1818928.88,LD000011_D1,670510.58,735620.83,0,0,L10_000011,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,7,282605.86,0.034559,0.097105,ONE_TO_MANY,NORMAL
L10_000052,330,TRANSFER,56929.58,LD000011_S,1818928.88,1761999.3,LD000011_D2,968824.25,1025753.83,0,0,L10_000011,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,2,7,282605.86,0.031298,0.058762,ONE_TO_MANY,NORMAL
L10_000053,331,TRANSFER,79921.65,LD000011_S,1761999.3,1682077.65,LD000011_D3,528736.54,608658.19,0,0,L10_000011,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,1,7,282605.86,0.045359,0.151156,ONE_TO_MANY,NORMAL
L10_000054,334,TRANSFER,61865.52,LD000011_S,1682077.65,1620212.13,LD000011_D4,616783.56,678649.08,0,0,L10_000011,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,3,7,282605.86,0.036779,0.100303,ONE_TO_MANY,NORMAL
L10_000055,335,TRANSFER,18778.86,LD000011_S,1620212.13,1601433.27,LD000011_D5,797856.87,816635.73,0,0,L10_000011,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,1,7,282605.86,0.01159,0.023537,ONE_TO_MANY,NORMAL
L10_000056,198,TRANSFER,21766.61,LD000012_S,2527214.33,2505447.72,LD000012_D1,997659.03,1019425.64,0,0,L10_000012,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,8,379082.14,0.008613,0.021818,ONE_TO_MANY,NORMAL
L10_000057,201,TRANSFER,149770.67,LD000012_S,2505447.72,2355677.05,LD000012_D2,447563.65,597334.32,0,0,L10_000012,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,3,8,379082.14,0.059778,0.334635,ONE_TO_MANY,NORMAL
L10_000058,203,TRANSFER,45148.71,LD000012_S,2355677.05,2310528.34,LD000012_D3,956836.96,1001985.67,0,0,L10_000012,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,2,8,379082.14,0.019166,0.047185,ONE_TO_MANY,NORMAL
L10_000059,204,TRANSFER,110641.1,LD000012_S,2310528.34,2199887.24,LD000012_D4,723813.91,834455.01,0,0,L10_000012,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,1,8,379082.14,0.047886,0.152858,ONE_TO_MANY,NORMAL
L10_000060,206,TRANSFER,51755.05,LD000012_S,2199887.24,2148132.19,LD000012_D5,840630.54,892385.59,0,0,L10_000012,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,2,8,379082.14,0.023526,0.061567,ONE_TO_MANY,NORMAL
L10_000061,364,TRANSFER,48870.94,LD000013_S,2486251.85,2437380.91,LD000013_D1,666398.33,715269.27,0,0,L10_000013,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,7,235348.86,0.019656,0.073336,ONE_TO_MANY,NORMAL
L10_000062,365,TRANSFER,33089.73,LD000013_S,2437380.91,2404291.18,LD000013_D2,779737.26,812826.99,0,0,L10_000013,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,1,7,235348.86,0.013576,0.042437,ONE_TO_MANY,NORMAL
L10_000063,368,TRANSFER,107279.65,LD000013_S,2404291.18,2297011.53,LD000013_D3,551192.22,658471.87,0,0,L10_000013,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,3,7,235348.86,0.04462,0.194632,ONE_TO_MANY,NORMAL
L10_000064,370,TRANSFER,24673.47,LD000013_S,2297011.53,2272338.06,LD000013_D4,756289.6,780963.07,0,0,L10_000013,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,2,7,235348.86,0.010742,0.032624,ONE_TO_MANY,NORMAL
L10_000065,371,TRANSFER,21435.07,LD000013_S,2272338.06,2250902.99,LD000013_D5,1224055.54,1245490.61,0,0,L10_000013,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,1,7,235348.86,0.009433,0.017512,ONE_TO_MANY,NORMAL
L10_000066,590,TRANSFER,66559.27,LD000014_S,2022447.6,1955888.33,LD000014_D1,520818.08,587377.35,0,0,L10_000014,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,8,303367.14,0.03291,0.127798,ONE_TO_MANY,NORMAL
L10_000067,593,TRANSFER,91534.69,LD000014_S,1955888.33,1864353.64,LD000014_D2,586409.61,677944.3,0,0,L10_000014,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,3,8,303367.14,0.0468,0.156093,ONE_TO_MANY,NORMAL
L10_000068,595,TRANSFER,69208.28,LD000014_S,1864353.64,1795145.36,LD000014_D3,813687.04,882895.32,0,0,L10_000014,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,2,8,303367.14,0.037122,0.085055,ONE_TO_MANY,NORMAL
L10_000069,597,TRANSFER,35140.43,LD000014_S,1795145.36,1760004.93,LD000014_D4,488997.89,524138.32,0,0,L10_000014,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,2,8,303367.14,0.019575,0.071862,ONE_TO_MANY,NORMAL
L10_000070,598,TRANSFER,40924.47,LD000014_S,1760004.93,1719080.46,LD000014_D5,422972.84,463897.31,0,0,L10_000014,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,1,8,303367.14,0.023252,0.096754,ONE_TO_MANY,NORMAL
L10_000071,159,TRANSFER,36451.8,LD000015_S,2514133.71,2477681.91,LD000015_D1,845131.95,881583.75,0,0,L10_000015,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,7,377120.05,0.014499,0.043131,ONE_TO_MANY,NORMAL
L10_000072,162,TRANSFER,92732.72,LD000015_S,2477681.91,2384949.19,LD000015_D2,1196887.92,1289620.64,0,0,L10_000015,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,3,7,377120.05,0.037427,0.077478,ONE_TO_MANY,NORMAL
L10_000073,163,TRANSFER,121636.19,LD000015_S,2384949.19,2263313.0,LD000015_D3,733522.51,855158.7,0,0,L10_000015,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,1,7,377120.05,0.051002,0.165825,ONE_TO_MANY,NORMAL
L10_000074,165,TRANSFER,111200.77,LD000015_S,2263313.0,2152112.23,LD000015_D4,586910.37,698111.14,0,0,L10_000015,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,2,7,377120.05,0.049132,0.189468,ONE_TO_MANY,NORMAL
L10_000075,166,TRANSFER,15098.57,LD000015_S,2152112.23,2137013.66,LD000015_D5,863702.3,878800.87,0,0,L10_000015,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,1,7,377120.05,0.007016,0.017481,ONE_TO_MANY,NORMAL
L10_000076,74,TRANSFER,47068.4,LD000016_S,2455388.72,2408320.32,LD000016_D1,903982.97,951051.37,0,0,L10_000016,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,6,368308.31,0.019169,0.052068,ONE_TO_MANY,NORMAL
L10_000077,76,TRANSFER,76382.89,LD000016_S,2408320.32,2331937.43,LD000016_D2,882243.72,958626.61,0,0,L10_000016,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,2,6,368308.31,0.031716,0.086578,ONE_TO_MANY,NORMAL
L10_000078,78,TRANSFER,90740.79,LD000016_S,2331937.43,2241196.64,LD000016_D3,939860.8,1030601.59,0,0,L10_000016,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,2,6,368308.31,0.038912,0.096547,ONE_TO_MANY,NORMAL
L10_000079,79,TRANSFER,85427.29,LD000016_S,2241196.64,2155769.35,LD000016_D4,1113076.76,1198504.05,0,0,L10_000016,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,1,6,368308.31,0.038117,0.076749,ONE_TO_MANY,NORMAL
L10_000080,80,TRANSFER,68688.94,LD000016_S,2155769.35,2087080.41,LD000016_D5,1204752.41,1273441.35,0,0,L10_000016,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,1,6,368308.31,0.031863,0.057015,ONE_TO_MANY,NORMAL
L10_000081,197,TRANSFER,90092.05,LD000017_S,1670195.71,1580103.66,LD000017_D1,1136335.06,1226427.11,0,0,L10_000017,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,10,250529.36,0.053941,0.079283,ONE_TO_MANY,NORMAL
L10_000082,199,TRANSFER,66233.07,LD000017_S,1580103.66,1513870.59,LD000017_D2,437829.45,504062.52,0,0,L10_000017,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,2,10,250529.36,0.041917,0.151276,ONE_TO_MANY,NORMAL
L10_000083,202,TRANSFER,24662.22,LD000017_S,1513870.59,1489208.37,LD000017_D3,1277701.47,1302363.69,0,0,L10_000017,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,3,10,250529.36,0.016291,0.019302,ONE_TO_MANY,NORMAL
L10_000084,204,TRANSFER,54085.42,LD000017_S,1489208.37,1435122.95,LD000017_D4,668940.04,723025.46,0,0,L10_000017,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,2,10,250529.36,0.036318,0.080852,ONE_TO_MANY,NORMAL
L10_000085,207,TRANSFER,15456.6,LD000017_S,1435122.95,1419666.35,LD000017_D5,958108.02,973564.62,0,0,L10_000017,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,3,10,250529.36,0.01077,0.016132,ONE_TO_MANY,NORMAL
L10_000086,74,TRANSFER,49121.56,LD000018_S,1840981.65,1791860.09,LD000018_D1,1183618.22,1232739.78,0,0,L10_000018,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,10,276147.25,0.026682,0.041501,ONE_TO_MANY,NORMAL
L10_000087,75,TRANSFER,35714.71,LD000018_S,1791860.09,1756145.38,LD000018_D2,1147904.74,1183619.45,0,0,L10_000018,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,1,10,276147.25,0.019932,0.031113,ONE_TO_MANY,NORMAL
L10_000088,78,TRANSFER,90547.82,LD000018_S,1756145.38,1665597.56,LD000018_D3,870208.56,960756.38,0,0,L10_000018,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,3,10,276147.25,0.051561,0.104053,ONE_TO_MANY,NORMAL
L10_000089,81,TRANSFER,14908.34,LD000018_S,1665597.56,1650689.22,LD000018_D4,1143182.14,1158090.48,0,0,L10_000018,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,3,10,276147.25,0.008951,0.013041,ONE_TO_MANY,NORMAL
L10_000090,84,TRANSFER,85854.82,LD000018_S,1650689.22,1564834.4,LD000018_D5,431708.68,517563.5,0,0,L10_000018,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,3,10,276147.25,0.052011,0.198872,ONE_TO_MANY,NORMAL
L10_000091,49,TRANSFER,83631.8,LD000019_S,2049774.83,1966143.03,LD000019_D1,1227389.56,1311021.36,0,0,L10_000019,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,9,307466.23,0.0408,0.068138,ONE_TO_MANY,NORMAL
L10_000092,51,TRANSFER,87683.7,LD000019_S,1966143.03,1878459.33,LD000019_D2,388434.07,476117.77,0,0,L10_000019,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,2,9,307466.23,0.044597,0.225736,ONE_TO_MANY,NORMAL
L10_000093,53,TRANSFER,44823.68,LD000019_S,1878459.33,1833635.65,LD000019_D3,746767.54,791591.22,0,0,L10_000019,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,2,9,307466.23,0.023862,0.060024,ONE_TO_MANY,NORMAL
L10_000094,55,TRANSFER,19482.74,LD000019_S,1833635.65,1814152.91,LD000019_D4,1089812.92,1109295.66,0,0,L10_000019,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,2,9,307466.23,0.010625,0.017877,ONE_TO_MANY,NORMAL
L10_000095,58,TRANSFER,71844.31,LD000019_S,1814152.91,1742308.6,LD000019_D5,654615.4,726459.71,0,0,L10_000019,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,3,9,307466.23,0.039602,0.10975,ONE_TO_MANY,NORMAL
L10_000096,672,TRANSFER,57317.98,LD000020_S,1793620.36,1736302.38,LD000020_D1,524236.92,581554.9,0,0,L10_000020,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,8,269043.06,0.031957,0.109336,ONE_TO_MANY,NORMAL
L10_000097,675,TRANSFER,26432.11,LD000020_S,1736302.38,1709870.27,LD000020_D2,544837.14,571269.25,0,0,L10_000020,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,3,8,269043.06,0.015223,0.048514,ONE_TO_MANY,NORMAL
L10_000098,676,TRANSFER,69140.99,LD000020_S,1709870.27,1640729.28,LD000020_D3,1136132.76,1205273.75,0,0,L10_000020,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,1,8,269043.06,0.040436,0.060856,ONE_TO_MANY,NORMAL
L10_000099,679,TRANSFER,70671.33,LD000020_S,1640729.28,1570057.95,LD000020_D4,977268.37,1047939.7,0,0,L10_000020,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,3,8,269043.06,0.043073,0.072315,ONE_TO_MANY,NORMAL
L10_000100,680,TRANSFER,45480.65,LD000020_S,1570057.95,1524577.3,LD000020_D5,1139542.83,1185023.48,0,0,L10_000020,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,1,8,269043.06,0.028967,0.039911,ONE_TO_MANY,NORMAL
L10_000101,745,TRANSFER,68234.66,LD000021_S,2408820.16,2340585.5,LD000021_D1,684464.79,752699.45,0,0,L10_000021,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,10,361323.02,0.028327,0.099691,ONE_TO_MANY,NORMAL
