record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,is_legitimate_counterexample,transaction_position,transaction_count_in_scenario,combined_scenario_amount,step_gap_from_previous,balance_usage_ratio,behavior_pattern
L05_000014,130,TRANSFER,150.67,C1720448151,3013.34,2862.67,C_LEGIT_380578582,0.0,150.67,0,0,L05_00002,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,7,7,1236.6,7,0.05,NORMAL_REPEATED_ACTIVITY
L05_000015,296,TRANSFER,10181.05,C170269481,203621.0,193439.95,C_LEGIT_197545144,0.0,10181.05,0,0,L05_00003,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,1,7,61424.87,0,0.05,NORMAL_REPEATED_ACTIVITY
L05_000016,314,TRANSFER,9672.0,C170269481,193439.95,183767.95,C_LEGIT_301575711,0.0,9672.0,0,0,L05_00003,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,2,7,61424.87,18,0.05,NORMAL_REPEATED_ACTIVITY
L05_000017,321,TRANSFER,9188.4,C170269481,183767.95,174579.55,C_LEGIT_555336647,0.0,9188.4,0,0,L05_00003,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,3,7,61424.87,7,0.05,NORMAL_REPEATED_ACTIVITY
L05_000018,324,TRANSFER,8728.98,C170269481,174579.55,165850.57,C_LEGIT_389821458,0.0,8728.98,0,0,L05_00003,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,4,7,61424.87,3,0.05,NORMAL_REPEATED_ACTIVITY
L05_000019,332,TRANSFER,8292.53,C170269481,165850.57,157558.04,C_LEGIT_797745564,0.0,8292.53,0,0,L05_00003,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,5,7,61424.87,8,0.05,NORMAL_REPEATED_ACTIVITY
L05_000020,349,TRANSFER,7877.9,C170269481,157558.04,149680.14,C_LEGIT_105574763,0.0,7877.9,0,0,L05_00003,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,6,7,61424.87,17,0.05,NORMAL_REPEATED_ACTIVITY
L05_000021,363,TRANSFER,7484.01,C170269481,149680.14,142196.13,C_LEGIT_407631196,0.0,7484.01,0,0,L05_00003,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,7,7,61424.87,14,0.05,NORMAL_REPEATED_ACTIVITY
L05_000022,223,TRANSFER,7790.05,C252787064,155801.0,148010.95,C_LEGIT_508164257,0.0,7790.05,0,0,L05_00004,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,1,7,45378.5,0,0.05,NORMAL_REPEATED_ACTIVITY
L05_000023,244,TRANSFER,6516.85,C252787064,148010.95,141494.1,C_LEGIT_994334977,0.0,6516.85,0,0,L05_00004,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,2,7,45378.5,21,0.044,NORMAL_REPEATED_ACTIVITY
L05_000024,267,TRANSFER,6599.29,C252787064,141494.1,134894.81,C_LEGIT_559286010,0.0,6599.29,0,0,L05_00004,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,3,7,45378.5,23,0.0466,NORMAL_REPEATED_ACTIVITY
L05_000025,275,TRANSFER,6453.32,C252787064,134894.81,128441.49,C_LEGIT_358633151,0.0,6453.32,0,0,L05_00004,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,4,7,45378.5,8,0.0478,NORMAL_REPEATED_ACTIVITY
L05_000026,279,TRANSFER,6422.07,C252787064,128441.49,122019.42,C_LEGIT_639409063,0.0,6422.07,0,0,L05_00004,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,5,7,45378.5,4,0.05,NORMAL_REPEATED_ACTIVITY
L05_000027,288,TRANSFER,5785.21,C252787064,122019.42,116234.21,C_LEGIT_764341377,0.0,5785.21,0,0,L05_00004,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,6,7,45378.5,9,0.0474,NORMAL_REPEATED_ACTIVITY
L05_000028,300,TRANSFER,5811.71,C252787064,116234.21,110422.5,C_LEGIT_205249265,0.0,5811.71,0,0,L05_00004,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,7,7,45378.5,12,0.05,NORMAL_REPEATED_ACTIVITY
L05_000029,361,TRANSFER,582.25,C1550697359,11645.0,11062.75,C_LEGIT_334470786,0.0,582.25,0,0,L05_00005,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,1,7,3512.87,0,0.05,NORMAL_REPEATED_ACTIVITY
L05_000030,369,TRANSFER,553.14,C1550697359,11062.75,10509.61,C_LEGIT_949326846,0.0,553.14,0,0,L05_00005,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,2,7,3512.87,8,0.05,NORMAL_REPEATED_ACTIVITY
L05_000031,373,TRANSFER,525.48,C1550697359,10509.61,9984.13,C_LEGIT_877615839,0.0,525.48,0,0,L05_00005,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,3,7,3512.87,4,0.05,NORMAL_REPEATED_ACTIVITY
L05_000032,394,TRANSFER,499.21,C1550697359,9984.13,9484.92,C_LEGIT_215341211,0.0,499.21,0,0,L05_00005,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,4,7,3512.87,21,0.05,NORMAL_REPEATED_ACTIVITY
L05_000033,411,TRANSFER,474.25,C1550697359,9484.92,9010.67,C_LEGIT_269375556,0.0,474.25,0,0,L05_00005,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,5,7,3512.87,17,0.05,NORMAL_REPEATED_ACTIVITY
L05_000034,418,TRANSFER,450.53,C1550697359,9010.67,8560.14,C_LEGIT_853884855,0.0,450.53,0,0,L05_00005,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,6,7,3512.87,7,0.05,NORMAL_REPEATED_ACTIVITY
L05_000035,421,TRANSFER,428.01,C1550697359,8560.14,8132.13,C_LEGIT_238400029,0.0,428.01,0,0,L05_00005,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,7,7,3512.87,3,0.05,NORMAL_REPEATED_ACTIVITY
L05_000036,230,TRANSFER,16210.53,C179773088,324210.64,308000.11,C_LEGIT_322606317,0.0,16210.53,0,0,L05_00006,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,1,7,97802.25,0,0.05,NORMAL_REPEATED_ACTIVITY
L05_000037,269,TRANSFER,15400.01,C179773088,308000.11,292600.1,C_LEGIT_465202146,0.0,15400.01,0,0,L05_00006,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,2,7,97802.25,39,0.05,NORMAL_REPEATED_ACTIVITY
L05_000038,271,TRANSFER,14630.0,C179773088,292600.1,277970.1,C_LEGIT_444423781,0.0,14630.0,0,0,L05_00006,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,3,7,97802.25,2,0.05,NORMAL_REPEATED_ACTIVITY
L05_000039,286,TRANSFER,13898.5,C179773088,277970.1,264071.6,C_LEGIT_270824272,0.0,13898.5,0,0,L05_00006,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,4,7,97802.25,15,0.05,NORMAL_REPEATED_ACTIVITY
L05_000040,288,TRANSFER,13203.58,C179773088,264071.6,250868.02,C_LEGIT_936791776,0.0,13203.58,0,0,L05_00006,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,5,7,97802.25,2,0.05,NORMAL_REPEATED_ACTIVITY
L05_000041,298,TRANSFER,12543.4,C179773088,250868.02,238324.62,C_LEGIT_549622646,0.0,12543.4,0,0,L05_00006,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,6,7,97802.25,10,0.05,NORMAL_REPEATED_ACTIVITY
L05_000042,299,TRANSFER,11916.23,C179773088,238324.62,226408.39,C_LEGIT_809587870,0.0,11916.23,0,0,L05_00006,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,7,7,97802.25,1,0.05,NORMAL_REPEATED_ACTIVITY
L05_000043,16,TRANSFER,496.65,C553866385,9933.0,9436.35,C_LEGIT_275694778,0.0,496.65,0,0,L05_00007,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,1,7,2996.42,0,0.05,NORMAL_REPEATED_ACTIVITY
L05_000044,36,TRANSFER,471.82,C553866385,9436.35,8964.53,C_LEGIT_561408282,0.0,471.82,0,0,L05_00007,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,2,7,2996.42,20,0.05,NORMAL_REPEATED_ACTIVITY
L05_000045,44,TRANSFER,448.23,C553866385,8964.53,8516.3,C_LEGIT_362442616,0.0,448.23,0,0,L05_00007,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,3,7,2996.42,8,0.05,NORMAL_REPEATED_ACTIVITY
L05_000046,66,TRANSFER,425.82,C553866385,8516.3,8090.48,C_LEGIT_804405289,0.0,425.82,0,0,L05_00007,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,4,7,2996.42,22,0.05,NORMAL_REPEATED_ACTIVITY
L05_000047,75,TRANSFER,404.52,C553866385,8090.48,7685.96,C_LEGIT_772478796,0.0,404.52,0,0,L05_00007,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,5,7,2996.42,9,0.05,NORMAL_REPEATED_ACTIVITY
L05_000048,86,TRANSFER,384.3,C553866385,7685.96,7301.66,C_LEGIT_817290644,0.0,384.3,0,0,L05_00007,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,6,7,2996.42,11,0.05,NORMAL_REPEATED_ACTIVITY
L05_000049,88,TRANSFER,365.08,C553866385,7301.66,6936.58,C_LEGIT_830259334,0.0,365.08,0,0,L05_00007,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,7,7,2996.42,2,0.05,NORMAL_REPEATED_ACTIVITY
L05_000050,258,TRANSFER,2512.9,C82976564,50258.0,47745.1,C_LEGIT_270233690,0.0,2512.9,0,0,L05_00008,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,1,7,15160.96,0,0.05,NORMAL_REPEATED_ACTIVITY
L05_000051,259,TRANSFER,2387.26,C82976564,47745.1,45357.84,C_LEGIT_782183727,0.0,2387.26,0,0,L05_00008,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,2,7,15160.96,1,0.05,NORMAL_REPEATED_ACTIVITY
L05_000052,272,TRANSFER,2267.89,C82976564,45357.84,43089.95,C_LEGIT_914738298,0.0,2267.89,0,0,L05_00008,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,3,7,15160.96,13,0.05,NORMAL_REPEATED_ACTIVITY
L05_000053,276,TRANSFER,2154.5,C82976564,43089.95,40935.45,C_LEGIT_310538309,0.0,2154.5,0,0,L05_00008,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,4,7,15160.96,4,0.05,NORMAL_REPEATED_ACTIVITY
L05_000054,296,TRANSFER,2046.77,C82976564,40935.45,38888.68,C_LEGIT_875497650,0.0,2046.77,0,0,L05_00008,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,5,7,15160.96,20,0.05,NORMAL_REPEATED_ACTIVITY
L05_000055,324,TRANSFER,1944.43,C82976564,38888.68,36944.25,C_LEGIT_884148734,0.0,1944.43,0,0,L05_00008,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,6,7,15160.96,28,0.05,NORMAL_REPEATED_ACTIVITY
L05_000056,328,TRANSFER,1847.21,C82976564,36944.25,35097.04,C_LEGIT_390485207,0.0,1847.21,0,0,L05_00008,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,7,7,15160.96,4,0.05,NORMAL_REPEATED_ACTIVITY
L05_000057,258,TRANSFER,1571.65,C460334552,31433.0,29861.35,C_LEGIT_634983432,0.0,1571.65,0,0,L05_00009,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,1,7,9482.16,0,0.05,NORMAL_REPEATED_ACTIVITY
L05_000058,266,TRANSFER,1493.07,C460334552,29861.35,28368.28,C_LEGIT_272731567,0.0,1493.07,0,0,L05_00009,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,2,7,9482.16,8,0.05,NORMAL_REPEATED_ACTIVITY
L05_000059,277,TRANSFER,1418.41,C460334552,28368.28,26949.87,C_LEGIT_962730431,0.0,1418.41,0,0,L05_00009,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,3,7,9482.16,11,0.05,NORMAL_REPEATED_ACTIVITY
L05_000060,301,TRANSFER,1347.49,C460334552,26949.87,25602.38,C_LEGIT_848186252,0.0,1347.49,0,0,L05_00009,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,4,7,9482.16,24,0.05,NORMAL_REPEATED_ACTIVITY
L05_000061,327,TRANSFER,1280.12,C460334552,25602.38,24322.26,C_LEGIT_820068113,0.0,1280.12,0,0,L05_00009,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,5,7,9482.16,26,0.05,NORMAL_REPEATED_ACTIVITY
L05_000062,339,TRANSFER,1216.11,C460334552,24322.26,23106.15,C_LEGIT_759101465,0.0,1216.11,0,0,L05_00009,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,6,7,9482.16,12,0.05,NORMAL_REPEATED_ACTIVITY
L05_000063,348,TRANSFER,1155.31,C460334552,23106.15,21950.84,C_LEGIT_940701824,0.0,1155.31,0,0,L05_00009,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,7,7,9482.16,9,0.05,NORMAL_REPEATED_ACTIVITY
L05_000064,415,TRANSFER,1624.75,C1655769339,32495.0,30870.25,C_LEGIT_686792740,0.0,1624.75,0,0,L05_00010,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,1,7,9802.53,0,0.05,NORMAL_REPEATED_ACTIVITY
L05_000065,416,TRANSFER,1543.51,C1655769339,30870.25,29326.74,C_LEGIT_792404454,0.0,1543.51,0,0,L05_00010,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,2,7,9802.53,1,0.05,NORMAL_REPEATED_ACTIVITY
L05_000066,418,TRANSFER,1466.34,C1655769339,29326.74,27860.4,C_LEGIT_467554883,0.0,1466.34,0,0,L05_00010,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,3,7,9802.53,2,0.05,NORMAL_REPEATED_ACTIVITY
L05_000067,420,TRANSFER,1393.02,C1655769339,27860.4,26467.38,C_LEGIT_469360335,0.0,1393.02,0,0,L05_00010,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,4,7,9802.53,2,0.05,NORMAL_REPEATED_ACTIVITY
L05_000068,423,TRANSFER,1323.37,C1655769339,26467.38,25144.01,C_LEGIT_114954034,0.0,1323.37,0,0,L05_00010,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,5,7,9802.53,3,0.05,NORMAL_REPEATED_ACTIVITY
L05_000069,442,TRANSFER,1257.2,C1655769339,25144.01,23886.81,C_LEGIT_927276232,0.0,1257.2,0,0,L05_00010,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,6,7,9802.53,19,0.05,NORMAL_REPEATED_ACTIVITY
L05_000070,450,TRANSFER,1194.34,C1655769339,23886.81,22692.47,C_LEGIT_563732496,0.0,1194.34,0,0,L05_00010,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,7,7,9802.53,8,0.05,NORMAL_REPEATED_ACTIVITY
L05_000071,228,TRANSFER,3608.35,C1749712283,72167.0,68558.65,C_LEGIT_718424906,0.0,3608.35,0,0,L05_00011,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,1,7,21770.09,0,0.05,NORMAL_REPEATED_ACTIVITY
L05_000072,238,TRANSFER,3427.93,C1749712283,68558.65,65130.72,C_LEGIT_920029990,0.0,3427.93,0,0,L05_00011,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,2,7,21770.09,10,0.05,NORMAL_REPEATED_ACTIVITY
L05_000073,243,TRANSFER,3256.54,C1749712283,65130.72,61874.18,C_LEGIT_348623466,0.0,3256.54,0,0,L05_00011,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,3,7,21770.09,5,0.05,NORMAL_REPEATED_ACTIVITY
L05_000074,274,TRANSFER,3093.71,C1749712283,61874.18,58780.47,C_LEGIT_130229305,0.0,3093.71,0,0,L05_00011,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,4,7,21770.09,31,0.05,NORMAL_REPEATED_ACTIVITY
L05_000075,282,TRANSFER,2939.02,C1749712283,58780.47,55841.45,C_LEGIT_808077299,0.0,2939.02,0,0,L05_00011,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,5,7,21770.09,8,0.05,NORMAL_REPEATED_ACTIVITY
L05_000076,290,TRANSFER,2792.07,C1749712283,55841.45,53049.38,C_LEGIT_659019050,0.0,2792.07,0,0,L05_00011,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,6,7,21770.09,8,0.05,NORMAL_REPEATED_ACTIVITY
L05_000077,302,TRANSFER,2652.47,C1749712283,53049.38,50396.91,C_LEGIT_701901090,0.0,2652.47,0,0,L05_00011,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,7,7,21770.09,12,0.05,NORMAL_REPEATED_ACTIVITY
L05_000078,695,TRANSFER,59164.01,C457433164,2447675.92,2388511.91,C_LEGIT_744472705,0.0,59164.01,0,0,L05_00012,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,1,7,387683.7,0,0.0242,NORMAL_REPEATED_ACTIVITY
L05_000079,696,TRANSFER,53575.2,C457433164,2388511.91,2334936.71,C_LEGIT_567815591,0.0,53575.2,0,0,L05_00012,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,2,7,387683.7,1,0.0224,NORMAL_REPEATED_ACTIVITY
L05_000080,711,TRANSFER,60193.5,C457433164,2334936.71,2274743.21,C_LEGIT_347989919,0.0,60193.5,0,0,L05_00012,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,3,7,387683.7,15,0.0258,NORMAL_REPEATED_ACTIVITY
L05_000081,721,TRANSFER,62785.42,C457433164,2274743.21,2211957.79,C_LEGIT_378064034,0.0,62785.42,0,0,L05_00012,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,4,7,387683.7,10,0.0276,NORMAL_REPEATED_ACTIVITY
L05_000082,728,TRANSFER,65819.37,C457433164,2211957.79,2146138.42,C_LEGIT_833257617,0.0,65819.37,0,0,L05_00012,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,5,7,387683.7,7,0.0298,NORMAL_REPEATED_ACTIVITY
L05_000083,754,TRANSFER,42670.94,C457433164,2146138.42,2103467.48,C_LEGIT_465256515,0.0,42670.94,0,0,L05_00012,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,6,7,387683.7,26,0.0199,NORMAL_REPEATED_ACTIVITY
L05_000084,762,TRANSFER,43475.26,C457433164,2103467.48,2059992.22,C_LEGIT_195465568,0.0,43475.26,0,0,L05_00012,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,7,7,387683.7,8,0.0207,NORMAL_REPEATED_ACTIVITY
L05_000085,413,TRANSFER,19.0,C1460095588,380.0,361.0,C_LEGIT_758191937,0.0,19.0,0,0,L05_00013,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,1,7,114.64,0,0.05,NORMAL_REPEATED_ACTIVITY
L05_000086,432,TRANSFER,18.05,C1460095588,361.0,342.95,C_LEGIT_183901473,0.0,18.05,0,0,L05_00013,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,2,7,114.64,19,0.05,NORMAL_REPEATED_ACTIVITY
L05_000087,434,TRANSFER,17.15,C1460095588,342.95,325.8,C_LEGIT_586514186,0.0,17.15,0,0,L05_00013,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,3,7,114.64,2,0.05,NORMAL_REPEATED_ACTIVITY
