record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,chain_position,senders_in_scenario,common_destination,balance_usage_ratio
S08_000051,188,TRANSFER,121071.77,C1995270110,556000.86,434929.09,C_SYN_149905866,0.0,121071.77,1,0,S08_00011,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_149905866,0.2178
S08_000052,186,TRANSFER,330268.25,C875100160,1469791.0,1139522.75,C_SYN_149905866,0.0,330268.25,1,0,S08_00011,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_149905866,0.2247
S08_000053,184,TRANSFER,713108.3,C1417276300,3349838.85,2636730.55,C_SYN_149905866,0.0,713108.3,1,0,S08_00011,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_149905866,0.2129
S08_000054,188,TRANSFER,124173.48,C804745046,469348.16,345174.68,C_SYN_149905866,0.0,124173.48,1,0,S08_00011,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_149905866,0.2646
S08_000055,187,TRANSFER,790835.42,C719827782,3154593.74,2363758.32,C_SYN_149905866,0.0,790835.42,1,0,S08_00011,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_149905866,0.2507
S08_000056,514,TRANSFER,536261.33,C343381682,2395886.48,1859625.15,C_SYN_151939266,0.0,536261.33,1,0,S08_00012,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_151939266,0.2238
S08_000057,512,TRANSFER,813608.3,C556957361,3332830.89,2519222.59,C_SYN_151939266,0.0,813608.3,1,0,S08_00012,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_151939266,0.2441
S08_000058,511,TRANSFER,61849.69,C284073540,279160.75,217311.06,C_SYN_151939266,0.0,61849.69,1,0,S08_00012,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_151939266,0.2216
S08_000059,516,TRANSFER,813608.3,C1960160626,3976136.65,3162528.35,C_SYN_151939266,0.0,813608.3,1,0,S08_00012,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_151939266,0.2046
S08_000060,512,TRANSFER,204859.63,C1456531673,787239.71,582380.08,C_SYN_151939266,0.0,204859.63,1,0,S08_00012,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_151939266,0.2602
S08_000061,577,TRANSFER,281241.0,C1438644267,1404624.58,1123383.58,C_SYN_171450611,0.0,281241.0,1,0,S08_00013,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_171450611,0.2002
S08_000062,574,TRANSFER,813608.3,C1211574759,3946510.46,3132902.16,C_SYN_171450611,0.0,813608.3,1,0,S08_00013,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_171450611,0.2062
S08_000063,574,TRANSFER,813608.3,C1655685295,3187967.12,2374358.82,C_SYN_171450611,0.0,813608.3,1,0,S08_00013,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_171450611,0.2552
S08_000064,577,TRANSFER,813608.3,C973595813,3942473.58,3128865.28,C_SYN_171450611,0.0,813608.3,1,0,S08_00013,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_171450611,0.2064
S08_000065,574,TRANSFER,207609.85,C1212370856,926572.62,718962.77,C_SYN_171450611,0.0,207609.85,1,0,S08_00013,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_171450611,0.2241
S08_000066,422,TRANSFER,813608.3,C2127766871,3587722.62,2774114.32,C_SYN_794190023,0.0,813608.3,1,0,S08_00014,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_794190023,0.2268
S08_000067,420,TRANSFER,730015.05,C1284283919,3584520.02,2854504.97,C_SYN_794190023,0.0,730015.05,1,0,S08_00014,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_794190023,0.2037
S08_000068,421,TRANSFER,130851.92,C75109961,489544.78,358692.86,C_SYN_794190023,0.0,130851.92,1,0,S08_00014,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_794190023,0.2673
S08_000069,424,TRANSFER,189559.48,C1066098549,790962.75,601403.27,C_SYN_794190023,0.0,189559.48,1,0,S08_00014,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_794190023,0.2397
S08_000070,420,TRANSFER,202399.39,C919843484,924614.82,722215.43,C_SYN_794190023,0.0,202399.39,1,0,S08_00014,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_794190023,0.2189
S08_000071,504,TRANSFER,100147.87,C779199094,478089.42,377941.55,C_SYN_868037679,0.0,100147.87,1,0,S08_00015,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_868037679,0.2095
S08_000072,506,TRANSFER,459451.74,C496620212,1981987.67,1522535.93,C_SYN_868037679,0.0,459451.74,1,0,S08_00015,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_868037679,0.2318
S08_000073,509,TRANSFER,406392.65,C1457555110,1584038.71,1177646.06,C_SYN_868037679,0.0,406392.65,1,0,S08_00015,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_868037679,0.2566
S08_000074,506,TRANSFER,74665.81,C1102779189,370965.08,296299.27,C_SYN_868037679,0.0,74665.81,1,0,S08_00015,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_868037679,0.2013
S08_000075,505,TRANSFER,813608.3,C635402330,3617878.49,2804270.19,C_SYN_868037679,0.0,813608.3,1,0,S08_00015,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_868037679,0.2249
S08_000076,613,TRANSFER,311841.94,C1973282673,1321828.3,1009986.36,C_SYN_111326237,0.0,311841.94,1,0,S08_00016,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_111326237,0.2359
S08_000077,612,TRANSFER,250316.51,C312458281,1063542.3,813225.79,C_SYN_111326237,0.0,250316.51,1,0,S08_00016,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_111326237,0.2354
S08_000078,609,TRANSFER,92458.12,C1526495679,413122.15,320664.03,C_SYN_111326237,0.0,92458.12,1,0,S08_00016,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_111326237,0.2238
S08_000079,614,TRANSFER,813608.3,C615516327,3421155.19,2607546.89,C_SYN_111326237,0.0,813608.3,1,0,S08_00016,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_111326237,0.2378
S08_000080,609,TRANSFER,813608.3,C1806414845,3299375.34,2485767.04,C_SYN_111326237,0.0,813608.3,1,0,S08_00016,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_111326237,0.2466
S08_000081,351,TRANSFER,125334.07,C1549706465,620401.42,495067.35,C_SYN_865872407,0.0,125334.07,1,0,S08_00017,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_865872407,0.202
S08_000082,353,TRANSFER,120053.01,C134980782,433753.85,313700.84,C_SYN_865872407,0.0,120053.01,1,0,S08_00017,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_865872407,0.2768
S08_000083,351,TRANSFER,813608.3,C569085171,3886366.84,3072758.54,C_SYN_865872407,0.0,813608.3,1,0,S08_00017,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_865872407,0.2093
S08_000084,354,TRANSFER,164248.01,C1917363823,712048.28,547800.27,C_SYN_865872407,0.0,164248.01,1,0,S08_00017,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_865872407,0.2307
S08_000085,350,TRANSFER,813608.3,C2095883311,3543338.8,2729730.5,C_SYN_865872407,0.0,813608.3,1,0,S08_00017,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_865872407,0.2296
S08_000086,664,TRANSFER,37754.78,C344733805,161495.86,123741.08,C_SYN_835055790,0.0,37754.78,1,0,S08_00018,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_835055790,0.2338
S08_000087,663,TRANSFER,451389.48,C1517127481,2154484.11,1703094.63,C_SYN_835055790,0.0,451389.48,1,0,S08_00018,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_835055790,0.2095
S08_000088,667,TRANSFER,467101.59,C1319941239,1886733.9,1419632.31,C_SYN_835055790,0.0,467101.59,1,0,S08_00018,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_835055790,0.2476
S08_000089,664,TRANSFER,813608.3,C1440679509,3359934.83,2546326.53,C_SYN_835055790,0.0,813608.3,1,0,S08_00018,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_835055790,0.2422
S08_000090,664,TRANSFER,426988.36,C2141514995,2079373.89,1652385.53,C_SYN_835055790,0.0,426988.36,1,0,S08_00018,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_835055790,0.2053
S08_000091,41,TRANSFER,320005.82,C1974885684,1432008.73,1112002.91,C_SYN_106512440,0.0,320005.82,1,0,S08_00019,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_106512440,0.2235
S08_000092,39,TRANSFER,311386.97,C2011744047,1505558.5,1194171.53,C_SYN_106512440,0.0,311386.97,1,0,S08_00019,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_106512440,0.2068
S08_000093,41,TRANSFER,737592.22,C1429370780,3066695.42,2329103.2,C_SYN_106512440,0.0,737592.22,1,0,S08_00019,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_106512440,0.2405
S08_000094,41,TRANSFER,119203.36,C1618951918,444933.98,325730.62,C_SYN_106512440,0.0,119203.36,1,0,S08_00019,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_106512440,0.2679
S08_000095,41,TRANSFER,41937.74,C1135897440,183949.41,142011.67,C_SYN_106512440,0.0,41937.74,1,0,S08_00019,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_106512440,0.228
S08_000096,685,TRANSFER,508101.63,C789475315,2052875.88,1544774.25,C_SYN_260409267,0.0,508101.63,1,0,S08_00020,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_260409267,0.2475
S08_000097,685,TRANSFER,43083.32,C941516754,204292.64,161209.32,C_SYN_260409267,0.0,43083.32,1,0,S08_00020,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_260409267,0.2109
S08_000098,685,TRANSFER,140237.31,C1575961798,621859.31,481622.0,C_SYN_260409267,0.0,140237.31,1,0,S08_00020,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_260409267,0.2255
S08_000099,687,TRANSFER,91753.75,C1523755289,347890.77,256137.02,C_SYN_260409267,0.0,91753.75,1,0,S08_00020,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_260409267,0.2637
S08_000100,685,TRANSFER,582053.11,C666616702,2593712.97,2011659.86,C_SYN_260409267,0.0,582053.11,1,0,S08_00020,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_260409267,0.2244
S08_000101,108,TRANSFER,567677.16,C2144962237,2663983.62,2096306.46,C_SYN_170009467,0.0,567677.16,1,0,S08_00021,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_170009467,0.2131
S08_000102,110,TRANSFER,207657.98,C871064623,751241.07,543583.09,C_SYN_170009467,0.0,207657.98,1,0,S08_00021,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_170009467,0.2764
S08_000103,106,TRANSFER,766989.73,C2080793196,2777507.16,2010517.43,C_SYN_170009467,0.0,766989.73,1,0,S08_00021,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_170009467,0.2761
S08_000104,107,TRANSFER,360011.8,C1134813984,1291466.87,931455.07,C_SYN_170009467,0.0,360011.8,1,0,S08_00021,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_170009467,0.2788
S08_000105,111,TRANSFER,49989.43,C419743863,193727.25,143737.82,C_SYN_170009467,0.0,49989.43,1,0,S08_00021,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_170009467,0.258
