record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,cycle_position,cycle_length,next_account,balance_usage_ratio
S09_000012,564,TRANSFER,340505.68,C778523796,1387115.6,1046609.92,C1348119361,0.0,340505.68,1,0,S09_00003,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1348119361,0.2455
S09_000013,505,TRANSFER,129312.49,C1614221727,570438.42,441125.93,C39076041,0.0,129312.49,1,0,S09_00004,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C39076041,0.2267
S09_000014,506,TRANSFER,433931.37,C39076041,1561101.69,1127170.32,C3704558,0.0,433931.37,1,0,S09_00004,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C3704558,0.278
S09_000015,507,TRANSFER,813608.3,C3704558,4026098.41,3212490.11,C579851816,0.0,813608.3,1,0,S09_00004,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C579851816,0.2021
S09_000016,508,TRANSFER,664390.35,C579851816,2628939.9,1964549.55,C1614221727,0.0,664390.35,1,0,S09_00004,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1614221727,0.2527
S09_000017,340,TRANSFER,813608.3,C645738658,3681492.36,2867884.06,C1251997769,0.0,813608.3,1,0,S09_00005,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C1251997769,0.221
S09_000018,341,TRANSFER,813608.3,C1251997769,3864470.49,3050862.19,C821208369,0.0,813608.3,1,0,S09_00005,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C821208369,0.2105
S09_000019,342,TRANSFER,38255.18,C821208369,156333.27,118078.09,C1349431518,0.0,38255.18,1,0,S09_00005,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C1349431518,0.2447
S09_000020,343,TRANSFER,203710.36,C1349431518,943798.68,740088.32,C645738658,0.0,203710.36,1,0,S09_00005,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C645738658,0.2158
S09_000021,390,TRANSFER,813608.3,C519499759,3540457.6,2726849.3,C57308937,0.0,813608.3,1,0,S09_00006,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C57308937,0.2298
S09_000022,391,TRANSFER,201963.44,C57308937,962038.14,760074.7,C18068657,0.0,201963.44,1,0,S09_00006,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C18068657,0.2099
S09_000023,392,TRANSFER,813608.3,C18068657,3329875.32,2516267.02,C1932314045,0.0,813608.3,1,0,S09_00006,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C1932314045,0.2443
S09_000024,393,TRANSFER,148568.21,C1932314045,682062.98,533494.77,C519499759,0.0,148568.21,1,0,S09_00006,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C519499759,0.2178
S09_000025,456,TRANSFER,286030.14,C1397018127,1224566.93,938536.79,C1504373786,0.0,286030.14,1,0,S09_00007,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C1504373786,0.2336
S09_000026,457,TRANSFER,152829.01,C1504373786,728505.44,575676.43,C2068714072,0.0,152829.01,1,0,S09_00007,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C2068714072,0.2098
S09_000027,458,TRANSFER,813608.3,C2068714072,3506276.05,2692667.75,C382220004,0.0,813608.3,1,0,S09_00007,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C382220004,0.232
S09_000028,459,TRANSFER,813608.3,C382220004,4025638.64,3212030.34,C1397018127,0.0,813608.3,1,0,S09_00007,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1397018127,0.2021
S09_000029,380,TRANSFER,274050.31,C1078240874,1080966.85,806916.54,C2080465052,0.0,274050.31,1,0,S09_00008,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C2080465052,0.2535
S09_000030,381,TRANSFER,38044.93,C2080465052,134049.58,96004.65,C633693961,0.0,38044.93,1,0,S09_00008,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C633693961,0.2838
S09_000031,382,TRANSFER,117384.13,C633693961,480373.69,362989.56,C744721169,0.0,117384.13,1,0,S09_00008,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C744721169,0.2444
S09_000032,383,TRANSFER,813608.3,C744721169,2864812.24,2051203.94,C1078240874,0.0,813608.3,1,0,S09_00008,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1078240874,0.284
S09_000033,593,TRANSFER,52223.49,C1269761565,244680.8,192457.31,C124602802,0.0,52223.49,1,0,S09_00009,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C124602802,0.2134
S09_000034,594,TRANSFER,583441.06,C124602802,2852706.66,2269265.6,C604618848,0.0,583441.06,1,0,S09_00009,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C604618848,0.2045
S09_000035,595,TRANSFER,712790.29,C604618848,3473027.57,2760237.28,C1617969404,0.0,712790.29,1,0,S09_00009,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C1617969404,0.2052
S09_000036,596,TRANSFER,501186.55,C1617969404,2092040.87,1590854.32,C1269761565,0.0,501186.55,1,0,S09_00009,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1269761565,0.2396
S09_000037,48,TRANSFER,813608.3,C1782937732,3663891.24,2850282.94,C1950049371,0.0,813608.3,1,0,S09_00010,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C1950049371,0.2221
S09_000038,49,TRANSFER,121372.09,C1950049371,532452.89,411080.8,C1524836250,0.0,121372.09,1,0,S09_00010,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C1524836250,0.2279
S09_000039,50,TRANSFER,129861.12,C1524836250,563839.47,433978.35,C471407452,0.0,129861.12,1,0,S09_00010,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C471407452,0.2303
S09_000040,51,TRANSFER,397203.35,C471407452,1969162.67,1571959.32,C1782937732,0.0,397203.35,1,0,S09_00010,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1782937732,0.2017
S09_000041,5,TRANSFER,438749.74,C799943079,2043016.56,1604266.82,C714724549,0.0,438749.74,1,0,S09_00011,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C714724549,0.2148
S09_000042,6,TRANSFER,64685.54,C714724549,277119.27,212433.73,C865177739,0.0,64685.54,1,0,S09_00011,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C865177739,0.2334
S09_000043,7,TRANSFER,463606.41,C865177739,1640299.14,1176692.73,C138732416,0.0,463606.41,1,0,S09_00011,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C138732416,0.2826
S09_000044,8,TRANSFER,351461.85,C138732416,1246685.71,895223.86,C799943079,0.0,351461.85,1,0,S09_00011,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C799943079,0.2819
S09_000045,241,TRANSFER,59302.81,C1465453454,252799.34,193496.53,C472631321,0.0,59302.81,1,0,S09_00012,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C472631321,0.2346
S09_000046,242,TRANSFER,813608.3,C472631321,3151868.39,2338260.09,C269582906,0.0,813608.3,1,0,S09_00012,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C269582906,0.2581
S09_000047,243,TRANSFER,212129.22,C269582906,982863.98,770734.76,C1431627547,0.0,212129.22,1,0,S09_00012,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C1431627547,0.2158
S09_000048,244,TRANSFER,317627.45,C1431627547,1148372.47,830745.02,C1465453454,0.0,317627.45,1,0,S09_00012,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1465453454,0.2766
S09_000049,243,TRANSFER,83684.64,C1607747943,409598.36,325913.72,C97189985,0.0,83684.64,1,0,S09_00013,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C97189985,0.2043
S09_000050,244,TRANSFER,54736.29,C97189985,243582.27,188845.98,C528759994,0.0,54736.29,1,0,S09_00013,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C528759994,0.2247
S09_000051,245,TRANSFER,292756.94,C528759994,1377570.16,1084813.22,C2021278767,0.0,292756.94,1,0,S09_00013,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C2021278767,0.2125
S09_000052,246,TRANSFER,813608.3,C2021278767,3936919.16,3123310.86,C1607747943,0.0,813608.3,1,0,S09_00013,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1607747943,0.2067
S09_000053,640,TRANSFER,122598.33,C1161443439,593883.1,471284.77,C932119101,0.0,122598.33,1,0,S09_00014,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C932119101,0.2064
S09_000054,641,TRANSFER,437296.05,C932119101,1602724.08,1165428.03,C890116026,0.0,437296.05,1,0,S09_00014,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C890116026,0.2728
S09_000055,642,TRANSFER,813608.3,C890116026,3368876.71,2555268.41,C586873252,0.0,813608.3,1,0,S09_00014,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C586873252,0.2415
S09_000056,643,TRANSFER,813608.3,C586873252,3898075.37,3084467.07,C1161443439,0.0,813608.3,1,0,S09_00014,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1161443439,0.2087
S09_000057,456,TRANSFER,714536.29,C821928201,3020519.93,2305983.64,C1137604162,0.0,714536.29,1,0,S09_00015,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C1137604162,0.2366
S09_000058,457,TRANSFER,813608.3,C1137604162,3176423.22,2362814.92,C1409427369,0.0,813608.3,1,0,S09_00015,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C1409427369,0.2561
S09_000059,458,TRANSFER,171097.05,C1409427369,642030.83,470933.78,C1706960666,0.0,171097.05,1,0,S09_00015,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C1706960666,0.2665
S09_000060,459,TRANSFER,394331.33,C1706960666,1710275.31,1315943.98,C821928201,0.0,394331.33,1,0,S09_00015,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C821928201,0.2306
S09_000061,113,TRANSFER,752718.22,C1371342946,2921203.91,2168485.69,C1791421366,0.0,752718.22,1,0,S09_00016,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C1791421366,0.2577
S09_000062,114,TRANSFER,97680.79,C1791421366,443906.09,346225.3,C928143870,0.0,97680.79,1,0,S09_00016,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C928143870,0.22
S09_000063,115,TRANSFER,754557.31,C928143870,2808560.7,2054003.39,C1451233709,0.0,754557.31,1,0,S09_00016,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C1451233709,0.2687
S09_000064,116,TRANSFER,813608.3,C1451233709,3173211.92,2359603.62,C1371342946,0.0,813608.3,1,0,S09_00016,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1371342946,0.2564
S09_000065,642,TRANSFER,110799.64,C63854684,393291.75,282492.11,C1746021184,0.0,110799.64,1,0,S09_00017,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C1746021184,0.2817
S09_000066,643,TRANSFER,48634.23,C1746021184,216496.59,167862.36,C127571535,0.0,48634.23,1,0,S09_00017,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C127571535,0.2246
S09_000067,644,TRANSFER,509458.81,C127571535,2188839.79,1679380.98,C1723747324,0.0,509458.81,1,0,S09_00017,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C1723747324,0.2328
S09_000068,645,TRANSFER,165175.03,C1723747324,715098.8,549923.77,C63854684,0.0,165175.03,1,0,S09_00017,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C63854684,0.231
S09_000069,439,TRANSFER,813608.3,C830973682,3137644.87,2324036.57,C1211947268,0.0,813608.3,1,0,S09_00018,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C1211947268,0.2593
S09_000070,440,TRANSFER,441972.2,C1211947268,1790727.58,1348755.38,C1496171364,0.0,441972.2,1,0,S09_00018,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C1496171364,0.2468
S09_000071,441,TRANSFER,192531.33,C1496171364,856821.13,664289.8,C927194048,0.0,192531.33,1,0,S09_00018,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C927194048,0.2247
S09_000072,442,TRANSFER,813608.3,C927194048,2957819.81,2144211.51,C830973682,0.0,813608.3,1,0,S09_00018,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C830973682,0.2751
S09_000073,201,TRANSFER,151183.33,C245206358,571439.39,420256.06,C1839445682,0.0,151183.33,1,0,S09_00019,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C1839445682,0.2646
S09_000074,202,TRANSFER,316662.31,C1839445682,1388988.37,1072326.06,C959241807,0.0,316662.31,1,0,S09_00019,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C959241807,0.228
S09_000075,203,TRANSFER,375535.86,C959241807,1323719.5,948183.64,C564615910,0.0,375535.86,1,0,S09_00019,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C564615910,0.2837
S09_000076,204,TRANSFER,72910.48,C564615910,279957.55,207047.07,C245206358,0.0,72910.48,1,0,S09_00019,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C245206358,0.2604
S09_000077,489,TRANSFER,76703.34,C1774776692,312957.53,236254.19,C361334754,0.0,76703.34,1,0,S09_00020,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C361334754,0.2451
S09_000078,490,TRANSFER,393496.47,C361334754,1458408.65,1064912.18,C1537260180,0.0,393496.47,1,0,S09_00020,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C1537260180,0.2698
S09_000079,491,TRANSFER,160830.57,C1537260180,590282.01,429451.44,C456078532,0.0,160830.57,1,0,S09_00020,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C456078532,0.2725
S09_000080,492,TRANSFER,813608.3,C456078532,3918344.92,3104736.62,C1774776692,0.0,813608.3,1,0,S09_00020,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1774776692,0.2076
S09_000081,263,TRANSFER,50890.01,C1765878175,240497.7,189607.69,C1440964484,0.0,50890.01,1,0,S09_00021,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C1440964484,0.2116
S09_000082,264,TRANSFER,660391.03,C1440964484,2836033.34,2175642.31,C263601032,0.0,660391.03,1,0,S09_00021,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C263601032,0.2329
S09_000083,265,TRANSFER,40033.43,C263601032,145707.84,105674.41,C279260987,0.0,40033.43,1,0,S09_00021,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C279260987,0.2748
S09_000084,266,TRANSFER,681550.42,C279260987,3305946.93,2624396.51,C1765878175,0.0,681550.42,1,0,S09_00021,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1765878175,0.2062
S09_000085,9,TRANSFER,430676.46,C1517127481,1959809.06,1529132.6,C2015752876,0.0,430676.46,1,0,S09_00022,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C2015752876,0.2198
S09_000086,10,TRANSFER,813608.3,C2015752876,3892697.88,3079089.58,C1125718257,0.0,813608.3,1,0,S09_00022,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C1125718257,0.209
S09_000087,11,TRANSFER,54647.78,C1125718257,264039.23,209391.45,C540777102,0.0,54647.78,1,0,S09_00022,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C540777102,0.207
S09_000088,12,TRANSFER,286411.6,C540777102,1404405.67,1117994.07,C1517127481,0.0,286411.6,1,0,S09_00022,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1517127481,0.2039
S09_000089,422,TRANSFER,51123.8,C903675563,223463.66,172339.86,C705400775,0.0,51123.8,1,0,S09_00023,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C705400775,0.2288
S09_000090,423,TRANSFER,813608.3,C705400775,3994979.61,3181371.31,C1673418247,0.0,813608.3,1,0,S09_00023,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C1673418247,0.2037
S09_000091,424,TRANSFER,60464.5,C1673418247,237376.46,176911.96,C1205579732,0.0,60464.5,1,0,S09_00023,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C1205579732,0.2547
S09_000092,425,TRANSFER,295174.55,C1205579732,1248122.16,952947.61,C903675563,0.0,295174.55,1,0,S09_00023,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C903675563,0.2365
S09_000093,681,TRANSFER,181860.18,C1508520000,641441.41,459581.23,C257481141,0.0,181860.18,1,0,S09_00024,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C257481141,0.2835
S09_000094,682,TRANSFER,323653.91,C257481141,1219603.69,895949.78,C409974419,0.0,323653.91,1,0,S09_00024,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C409974419,0.2654
S09_000095,683,TRANSFER,422305.14,C409974419,1949468.55,1527163.41,C1646174478,0.0,422305.14,1,0,S09_00024,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C1646174478,0.2166
S09_000096,684,TRANSFER,365486.55,C1646174478,1448091.04,1082604.49,C1508520000,0.0,365486.55,1,0,S09_00024,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1508520000,0.2524
S09_000097,460,TRANSFER,385623.86,C2077979101,1717761.07,1332137.21,C743898010,0.0,385623.86,1,0,S09_00025,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C743898010,0.2245
S09_000098,461,TRANSFER,813608.3,C743898010,3567514.78,2753906.48,C63854684,0.0,813608.3,1,0,S09_00025,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C63854684,0.2281
S09_000099,462,TRANSFER,147571.62,C63854684,624244.66,476673.04,C799562925,0.0,147571.62,1,0,S09_00025,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C799562925,0.2364
S09_000100,463,TRANSFER,351647.43,C799562925,1459896.5,1108249.07,C2077979101,0.0,351647.43,1,0,S09_00025,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C2077979101,0.2409
S09_000101,609,TRANSFER,302542.69,C1973282673,1282410.86,979868.17,C312458281,0.0,302542.69,1,0,S09_00026,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C312458281,0.2359
S09_000102,610,TRANSFER,240975.47,C312458281,1104554.0,863578.53,C1526495679,0.0,240975.47,1,0,S09_00026,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C1526495679,0.2182
S09_000103,611,TRANSFER,110160.55,C1526495679,389579.92,279419.37,C615516327,0.0,110160.55,1,0,S09_00026,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C615516327,0.2828
S09_000104,612,TRANSFER,813608.3,C615516327,3063777.13,2250168.83,C1973282673,0.0,813608.3,1,0,S09_00026,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C1973282673,0.2656
S09_000105,158,TRANSFER,813608.3,C960297055,3964140.94,3150532.64,C523636888,0.0,813608.3,1,0,S09_00027,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C523636888,0.2052
S09_000106,159,TRANSFER,43364.84,C523636888,152782.35,109417.51,C475126488,0.0,43364.84,1,0,S09_00027,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C475126488,0.2838
S09_000107,160,TRANSFER,775526.85,C475126488,3212446.43,2436919.58,C865778225,0.0,775526.85,1,0,S09_00027,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C865778225,0.2414
