record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,severity,is_legitimate_counterexample,previous_activity_step,dormant_gap,reactivation_position,balance_usage_ratio,scenario_transaction_count,scenario_total_amount
L07_000013,825,PAYMENT,18883.97,C469551489,430962.135,412078.16500000004,C_L07_418870528,0.0,18883.97,0,0,L07_000003,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,110,3,0.04381816513880042,5,154626.89
L07_000014,832,PAYMENT,38787.14,C469551489,412078.16500000004,373291.025,C_L07_194142875,0.0,38787.14,0,0,L07_000003,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,110,4,0.09412568608191117,5,154626.89
L07_000015,837,CASH_OUT,16230.27,C469551489,373291.025,357060.755,CASHOUT_L07_000003,0.0,0.0,0,0,L07_000003,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,110,5,0.04347886478117174,5,154626.89
L07_000016,339,PAYMENT,26338.9,C782206760,511687.645,485348.745,C_L07_402719447,0.0,26338.9,0,0,L07_000004,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,106,1,0.05147456706718021,5,86854.9
L07_000017,344,TRANSFER,11186.09,C782206760,485348.745,474162.65499999997,C_L07_297075400,0.0,11186.09,0,0,L07_000004,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,106,2,0.023047530492738784,5,86854.9
L07_000018,345,PAYMENT,14940.45,C782206760,474162.65499999997,459222.20499999996,C_L07_590316793,0.0,14940.45,0,0,L07_000004,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,106,3,0.03150912422658002,5,86854.9
L07_000019,348,TRANSFER,11009.07,C782206760,459222.20499999996,448213.13499999995,C_L07_559133982,0.0,11009.07,0,0,L07_000004,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,106,4,0.023973296326121687,5,86854.9
L07_000020,353,TRANSFER,23380.39,C782206760,448213.13499999995,424832.74499999994,C_L07_611823708,0.0,23380.39,0,0,L07_000004,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,106,5,0.05216355384141074,5,86854.9
L07_000021,764,TRANSFER,7436.22,C469551489,511687.645,504251.42500000005,C_L07_177677576,0.0,7436.22,0,0,L07_000005,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,55,1,0.014532733148168938,5,136135.7
L07_000022,769,PAYMENT,16662.79,C469551489,504251.42500000005,487588.63500000007,C_L07_143857762,0.0,16662.79,0,0,L07_000005,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,55,2,0.03304460666620823,5,136135.7
L07_000023,771,PAYMENT,33990.08,C469551489,487588.63500000007,453598.55500000005,C_L07_759056511,0.0,33990.08,0,0,L07_000005,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,55,3,0.06971056657216794,5,136135.7
L07_000024,776,TRANSFER,37560.74,C469551489,453598.55500000005,416037.81500000006,C_L07_158877922,0.0,37560.74,0,0,L07_000005,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,55,4,0.0828061279868936,5,136135.7
L07_000025,780,PAYMENT,40485.87,C469551489,416037.81500000006,375551.94500000007,C_L07_579667540,0.0,40485.87,0,0,L07_000005,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,55,5,0.09731295699646918,5,136135.7
L07_000026,821,TRANSFER,29185.18,C469551489,511687.645,482502.465,C_L07_834015168,0.0,29185.18,0,0,L07_000006,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,112,1,0.05703710121826373,5,115941.76
L07_000027,824,CASH_OUT,4954.17,C469551489,482502.465,477548.29500000004,CASHOUT_L07_000006,0.0,0.0,0,0,L07_000006,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,112,2,0.010267657389066395,5,115941.76
L07_000028,829,TRANSFER,31560.51,C469551489,477548.29500000004,445987.78500000003,C_L07_199110106,0.0,31560.51,0,0,L07_000006,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,112,3,0.06608862460706721,5,115941.76
L07_000029,833,PAYMENT,17929.19,C469551489,445987.78500000003,428058.59500000003,C_L07_516368324,0.0,17929.19,0,0,L07_000006,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,112,4,0.04020107860128949,5,115941.76
L07_000030,837,TRANSFER,32312.71,C469551489,428058.59500000003,395745.885,C_L07_279137840,0.0,32312.71,0,0,L07_000006,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,112,5,0.07548665154124518,5,115941.76
L07_000031,339,TRANSFER,12101.48,C782206760,511687.645,499586.16500000004,C_L07_584714763,0.0,12101.48,0,0,L07_000007,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,106,1,0.0236501313218145,5,106541.36
L07_000032,345,CASH_OUT,15607.09,C782206760,499586.16500000004,483979.075,CASHOUT_L07_000007,0.0,0.0,0,0,L07_000007,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,106,2,0.03124003644096109,5,106541.36
L07_000033,352,TRANSFER,29971.82,C782206760,483979.075,454007.255,C_L07_858934121,0.0,29971.82,0,0,L07_000007,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,106,3,0.06192792529305115,5,106541.36
L07_000034,353,TRANSFER,4944.81,C782206760,454007.255,449062.445,C_L07_150157721,0.0,4944.81,0,0,L07_000007,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,106,4,0.010891477934642256,5,106541.36
L07_000035,360,CASH_OUT,43916.16,C782206760,449062.445,405146.28500000003,CASHOUT_L07_000007,0.0,0.0,0,0,L07_000007,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,106,5,0.09779521865828705,5,106541.36
L07_000036,405,PAYMENT,7802.94,C244140230,511687.645,503884.705,C_L07_842004927,0.0,7802.94,0,0,L07_000008,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,100,1,0.015249420376370431,5,144753.33000000002
L07_000037,412,PAYMENT,38473.95,C244140230,503884.705,465410.755,C_L07_401680648,0.0,38473.95,0,0,L07_000008,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,100,2,0.07635466926903446,5,144753.33000000002
L07_000038,418,TRANSFER,34293.46,C244140230,465410.755,431117.295,C_L07_230122999,0.0,34293.46,0,0,L07_000008,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,100,3,0.07368428776425676,5,144753.33000000002
L07_000039,419,PAYMENT,28510.61,C244140230,431117.295,402606.685,C_L07_797854478,0.0,28510.61,0,0,L07_000008,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,100,4,0.06613190964653831,5,144753.33000000002
L07_000040,426,PAYMENT,35672.37,C244140230,402606.685,366934.315,C_L07_711720590,0.0,35672.37,0,0,L07_000008,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,100,5,0.08860352132503713,5,144753.33000000002
L07_000041,409,TRANSFER,212571.92,C244140230,5541490.68,5328918.76,C_L07_762130295,0.0,212571.92,0,0,L07_000009,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,104,1,0.038360060906932725,5,780638.89
L07_000042,411,CASH_OUT,173714.43,C244140230,5328918.76,5155204.33,CASHOUT_L07_000009,0.0,0.0,0,0,L07_000009,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,104,2,0.032598438411922795,5,780638.89
L07_000043,416,TRANSFER,89069.35,C244140230,5155204.33,5066134.98,C_L07_711434003,0.0,89069.35,0,0,L07_000009,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,104,3,0.01727755958802122,5,780638.89
L07_000044,421,TRANSFER,62122.34,C244140230,5066134.98,5004012.640000001,C_L07_161610207,0.0,62122.34,0,0,L07_000009,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,104,4,0.012262274938438374,5,780638.89
L07_000045,422,TRANSFER,243160.85,C244140230,5004012.640000001,4760851.790000001,C_L07_275474184,0.0,243160.85,0,0,L07_000009,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,104,5,0.048593172618364926,5,780638.89
L07_000046,340,TRANSFER,24552.34,C782206760,511687.645,487135.305,C_L07_463211962,0.0,24552.34,0,0,L07_000010,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,107,1,0.047983062010418485,5,147694.82
L07_000047,343,TRANSFER,48643.97,C782206760,487135.305,438491.33499999996,C_L07_913297659,0.0,48643.97,0,0,L07_000010,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,107,2,0.09985720497100903,5,147694.82
L07_000048,344,CASH_OUT,21042.13,C782206760,438491.33499999996,417449.20499999996,CASHOUT_L07_000010,0.0,0.0,0,0,L07_000010,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,107,3,0.04798756171544417,5,147694.82
L07_000049,351,TRANSFER,37740.09,C782206760,417449.20499999996,379709.115,C_L07_898300213,0.0,37740.09,0,0,L07_000010,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,107,4,0.0904064244175528,5,147694.82
L07_000050,352,TRANSFER,15716.29,C782206760,379709.115,363992.825,C_L07_722135385,0.0,15716.29,0,0,L07_000010,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,107,5,0.04139034165666526,5,147694.82
L07_000051,419,TRANSFER,50337.74,C244140230,511687.645,461349.905,C_L07_206179764,0.0,50337.74,0,0,L07_000011,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,114,1,0.09837591447024287,5,135079.21
L07_000052,420,TRANSFER,36610.29,C244140230,461349.905,424739.61500000005,C_L07_550077843,0.0,36610.29,0,0,L07_000011,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,114,2,0.07935471450893655,5,135079.21
L07_000053,426,TRANSFER,27597.83,C244140230,424739.61500000005,397141.78500000003,C_L07_617026205,0.0,27597.83,0,0,L07_000011,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,114,3,0.06497587939848747,5,135079.21
L07_000054,431,TRANSFER,16187.51,C244140230,397141.78500000003,380954.275,C_L07_663221750,0.0,16187.51,0,0,L07_000011,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,114,4,0.040760027303598886,5,135079.21
L07_000055,434,TRANSFER,4345.84,C244140230,380954.275,376608.435,C_L07_685860148,0.0,4345.84,0,0,L07_000011,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,114,5,0.011407773281977214,5,135079.21
L07_000056,797,CASH_OUT,5387.21,C469551489,511687.645,506300.435,CASHOUT_L07_000012,0.0,0.0,0,0,L07_000012,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,88,1,0.010528317524649241,5,88661.33
L07_000057,800,PAYMENT,10298.02,C469551489,506300.435,496002.415,C_L07_533278182,0.0,10298.02,0,0,L07_000012,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,88,2,0.020339741560759277,5,88661.33
L07_000058,805,TRANSFER,26312.64,C469551489,496002.415,469689.77499999997,C_L07_886606212,0.0,26312.64,0,0,L07_000012,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,88,3,0.05304941912430003,5,88661.33
L07_000059,806,TRANSFER,33678.57,C469551489,469689.77499999997,436011.20499999996,C_L07_490865577,0.0,33678.57,0,0,L07_000012,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,88,4,0.07170386027671137,5,88661.33
L07_000060,810,PAYMENT,12984.89,C469551489,436011.20499999996,423026.31499999994,C_L07_377886301,0.0,12984.89,0,0,L07_000012,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,88,5,0.02978109243775054,5,88661.33
L07_000061,827,PAYMENT,38196.93,C469551489,511687.645,473490.715,C_L07_922986287,0.0,38196.93,0,0,L07_000013,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,118,1,0.07464891985031219,5,167333.54
L07_000062,831,PAYMENT,34152.53,C469551489,473490.715,439338.18500000006,C_L07_822738888,0.0,34152.53,0,0,L07_000013,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,118,2,0.0721292496728262,5,167333.54
L07_000063,832,PAYMENT,17384.51,C469551489,439338.18500000006,421953.67500000005,C_L07_105505879,0.0,17384.51,0,0,L07_000013,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,118,3,0.03956976787710815,5,167333.54
L07_000064,837,TRANSFER,39591.83,C469551489,421953.67500000005,382361.84500000003,C_L07_686794020,0.0,39591.83,0,0,L07_000013,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,118,4,0.09382980252512316,5,167333.54
L07_000065,839,TRANSFER,38007.74,C469551489,382361.84500000003,344354.10500000004,C_L07_722105704,0.0,38007.74,0,0,L07_000013,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,118,5,0.09940254368215007,5,167333.54
L07_000066,380,PAYMENT,24938.36,C782206760,511687.645,486749.28500000003,C_L07_394519554,0.0,24938.36,0,0,L07_000014,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,147,1,0.048737467561875567,5,165271.72
L07_000067,382,PAYMENT,41171.33,C782206760,486749.28500000003,445577.955,C_L07_858874444,0.0,41171.33,0,0,L07_000014,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,147,2,0.08458426395017714,5,165271.72
L07_000068,385,TRANSFER,32582.7,C782206760,445577.955,412995.255,C_L07_139618542,0.0,32582.7,0,0,L07_000014,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,147,3,0.07312457816724797,5,165271.72
L07_000069,392,TRANSFER,35902.24,C782206760,412995.255,377093.015,C_L07_701600962,0.0,35902.24,0,0,L07_000014,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,147,4,0.08693136195959442,5,165271.72
L07_000070,399,TRANSFER,30677.09,C782206760,377093.015,346415.925,C_L07_274224807,0.0,30677.09,0,0,L07_000014,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,147,5,0.08135152012826331,5,165271.72
L07_000071,379,TRANSFER,11419.25,C782206760,511687.645,500268.395,C_L07_970768204,0.0,11419.25,0,0,L07_000015,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,146,1,0.022316837452661182,5,106262.36
L07_000072,386,PAYMENT,8747.43,C782206760,500268.395,491520.965,C_L07_335095698,0.0,8747.43,0,0,L07_000015,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,146,2,0.017485473972426342,5,106262.36
L07_000073,389,TRANSFER,29864.82,C782206760,491520.965,461656.145,C_L07_574361197,0.0,29864.82,0,0,L07_000015,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,146,3,0.060760012545955186,5,106262.36
L07_000074,395,TRANSFER,16113.4,C782206760,461656.145,445542.745,C_L07_179737763,0.0,16113.4,0,0,L07_000015,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,146,4,0.03490346695157713,5,106262.36
L07_000075,402,TRANSFER,40117.46,C782206760,445542.745,405425.285,C_L07_607135805,0.0,40117.46,0,0,L07_000015,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,146,5,0.09004177590188345,5,106262.36
L07_000076,325,TRANSFER,9912.83,C782206760,511687.645,501774.815,C_L07_862426057,0.0,9912.83,0,0,L07_000016,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,92,1,0.019372814835112932,5,132541.84
L07_000077,332,PAYMENT,43644.43,C782206760,501774.815,458130.385,C_L07_396495210,0.0,43644.43,0,0,L07_000016,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,92,2,0.0869801127822647,5,132541.84
L07_000078,338,TRANSFER,6558.91,C782206760,458130.385,451571.47500000003,C_L07_883616096,0.0,6558.91,0,0,L07_000016,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,92,3,0.014316688468502257,5,132541.84
L07_000079,341,TRANSFER,39410.5,C782206760,451571.47500000003,412160.97500000003,C_L07_138690029,0.0,39410.5,0,0,L07_000016,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,92,4,0.08727411314011807,5,132541.84
L07_000080,348,CASH_OUT,33015.17,C782206760,412160.97500000003,379145.80500000005,CASHOUT_L07_000016,0.0,0.0,0,0,L07_000016,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,92,5,0.08010261039391223,5,132541.84
L07_000081,377,TRANSFER,21594.64,C244140230,5541490.68,5519896.04,C_L07_205624313,0.0,21594.64,0,0,L07_000017,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,72,1,0.0038969008967096198,5,643399.4199999999
L07_000082,381,PAYMENT,44494.7,C244140230,5519896.04,5475401.34,C_L07_874204809,0.0,44494.7,0,0,L07_000017,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,72,2,0.008060785869438222,5,643399.4199999999
L07_000083,385,TRANSFER,248566.66,C244140230,5475401.34,5226834.68,C_L07_323568257,0.0,248566.66,0,0,L07_000017,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,72,3,0.04539697541148646,5,643399.4199999999
L07_000084,390,PAYMENT,115298.89,C244140230,5226834.68,5111535.79,C_L07_309954783,0.0,115298.89,0,0,L07_000017,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,72,4,0.022059027510699842,5,643399.4199999999
L07_000085,391,TRANSFER,213444.53,C244140230,5111535.79,4898091.26,C_L07_510052192,0.0,213444.53,0,0,L07_000017,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,72,5,0.04175741670782667,5,643399.4199999999
L07_000086,301,PAYMENT,19843.68,C782206760,511687.645,491843.965,C_L07_129116965,0.0,19843.68,0,0,L07_000018,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,68,1,0.038780846467379525,5,111098.92
L07_000087,305,TRANSFER,42577.65,C782206760,491843.965,449266.315,C_L07_356795158,0.0,42577.65,0,0,L07_000018,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,68,2,0.08656739338054092,5,111098.92
L07_000088,307,TRANSFER,16508.46,C782206760,449266.315,432757.855,C_L07_568963466,0.0,16508.46,0,0,L07_000018,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,68,3,0.03674537673718093,5,111098.92
L07_000089,309,CASH_OUT,18279.0,C782206760,432757.855,414478.855,CASHOUT_L07_000018,0.0,0.0,0,0,L07_000018,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,68,4,0.04223840142658994,5,111098.92
L07_000090,311,TRANSFER,13890.13,C782206760,414478.855,400588.725,C_L07_733684893,0.0,13890.13,0,0,L07_000018,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,68,5,0.0335122765189071,5,111098.92
L07_000091,422,TRANSFER,128042.8,C244140230,5541490.68,5413447.88,C_L07_660832921,0.0,128042.8,0,0,L07_000019,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,117,1,0.023106201452638735,5,665148.04
L07_000092,426,TRANSFER,9773.49,C244140230,5413447.88,5403674.39,C_L07_166523155,0.0,9773.49,0,0,L07_000019,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,117,2,0.0018054094574565295,5,665148.04
L07_000093,429,TRANSFER,136067.14,C244140230,5403674.39,5267607.25,C_L07_860516099,0.0,136067.14,0,0,L07_000019,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,117,3,0.02518048464426444,5,665148.04
L07_000094,431,TRANSFER,216936.79,C244140230,5267607.25,5050670.46,C_L07_120062537,0.0,216936.79,0,0,L07_000019,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,117,4,0.04118317477067031,5,665148.04
L07_000095,433,TRANSFER,174327.82,C244140230,5050670.46,4876342.64,C_L07_842704778,0.0,174327.82,0,0,L07_000019,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,117,5,0.03451577793099572,5,665148.04
L07_000096,432,TRANSFER,50440.26,C244140230,511687.645,461247.385,C_L07_792313944,0.0,50440.26,0,0,L07_000020,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,127,1,0.09857627107646892,5,155423.08
L07_000097,435,PAYMENT,36299.44,C244140230,461247.385,424947.945,C_L07_806090699,0.0,36299.44,0,0,L07_000020,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,127,2,0.07869841907071191,5,155423.08
L07_000098,440,TRANSFER,20220.8,C244140230,424947.945,404727.145,C_L07_661228444,0.0,20220.8,0,0,L07_000020,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,127,3,0.04758418116364817,5,155423.08
L07_000099,445,PAYMENT,33665.84,C244140230,404727.145,371061.30500000005,C_L07_256633567,0.0,33665.84,0,0,L07_000020,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,127,4,0.08318157162401349,5,155423.08
L07_000100,446,TRANSFER,14796.74,C244140230,371061.30500000005,356264.56500000006,C_L07_666956960,0.0,14796.74,0,0,L07_000020,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,127,5,0.039876806879661025,5,155423.08
L07_000101,790,TRANSFER,25271.12,C469551489,511687.645,486416.525,C_L07_118591540,0.0,25271.12,0,0,L07_000021,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,81,1,0.04938778617568536,5,118495.32999999999
L07_000102,796,TRANSFER,46543.24,C469551489,486416.525,439873.28500000003,C_L07_980307082,0.0,46543.24,0,0,L07_000021,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,81,2,0.09568597612920325,5,118495.32999999999
L07_000103,800,PAYMENT,9474.45,C469551489,439873.28500000003,430398.835,C_L07_701924262,0.0,9474.45,0,0,L07_000021,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,81,3,0.02153904390897483,5,118495.32999999999
L07_000104,807,CASH_OUT,26267.26,C469551489,430398.835,404131.575,CASHOUT_L07_000021,0.0,0.0,0,0,L07_000021,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,81,4,0.06103004437732736,5,118495.32999999999
L07_000105,811,CASH_OUT,10939.26,C469551489,404131.575,393192.315,CASHOUT_L07_000021,0.0,0.0,0,0,L07_000021,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,81,5,0.02706856053006994,5,118495.32999999999
L07_000106,801,PAYMENT,33820.57,C469551489,511687.645,477867.075,C_L07_311323956,0.0,33820.57,0,0,L07_000022,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,92,1,0.06609612393514015,5,120364.59
L07_000107,803,TRANSFER,19013.34,C469551489,477867.075,458853.735,C_L07_738922471,0.0,19013.34,0,0,L07_000022,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,92,2,0.03978792638099204,5,120364.59
L07_000108,808,PAYMENT,25011.56,C469551489,458853.735,433842.175,C_L07_112431725,0.0,25011.56,0,0,L07_000022,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,92,3,0.05450878589884422,5,120364.59
L07_000109,810,PAYMENT,12205.69,C469551489,433842.175,421636.485,C_L07_775075547,0.0,12205.69,0,0,L07_000022,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,92,4,0.028133940643276557,5,120364.59
L07_000110,811,PAYMENT,30313.43,C469551489,421636.485,391323.055,C_L07_164899623,0.0,30313.43,0,0,L07_000022,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,92,5,0.07189470332483205,5,120364.59
L07_000111,847,TRANSFER,27140.99,C469551489,511687.645,484546.655,C_L07_944191058,0.0,27140.99,0,0,L07_000023,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,138,1,0.0530421054039716,5,113481.5
L07_000112,848,TRANSFER,31373.11,C469551489,484546.655,453173.54500000004,C_L07_913069123,0.0,31373.11,0,0,L07_000023,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,138,2,0.0647473461559651,5,113481.5
L07_000113,853,TRANSFER,24702.35,C469551489,453173.54500000004,428471.19500000007,C_L07_467362334,0.0,24702.35,0,0,L07_000023,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,138,3,0.054509691204503115,5,113481.5
L07_000114,858,PAYMENT,9404.64,C469551489,428471.19500000007,419066.55500000005,C_L07_911538689,0.0,9404.64,0,0,L07_000023,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,138,4,0.02194929346417324,5,113481.5
L07_000115,865,CASH_OUT,20860.41,C469551489,419066.55500000005,398206.1450000001,CASHOUT_L07_000023,0.0,0.0,0,0,L07_000023,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,138,5,0.0497782744795752,5,113481.5
L07_000116,310,PAYMENT,4909.38,C782206760,511687.645,506778.265,C_L07_664471576,0.0,4909.38,0,0,L07_000024,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,77,1,0.00959448610489706,5,149101.54
L07_000117,311,TRANSFER,48965.8,C782206760,506778.265,457812.465,C_L07_577109125,0.0,48965.8,0,0,L07_000024,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,233,77,2,0.09662174442307624,5,149101.54
