record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,severity,is_legitimate_counterexample,chain_position,chain_role,step_gap_from_previous,cashout_ratio,sender_balance_usage_ratio,destination_balance_usage_ratio,scenario_total_amount,newbalanceOrg
L06_000011,326,TRANSFER,9157.61,C1839537055,72904.0,63746.39,C961774996,0.0,9157.61,0,0,L06_000006,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.38848209807453116,0.12561190058158675,0.3884823660321852,12715.18,
L06_000012,331,CASH_OUT,3557.57,C961774996,9157.61,0.0,CASHOUT_L06_000006,0.0,0.0,0,0,L06_000006,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,5,0.38848209807453116,0.12561190058158675,0.3884823660321852,12715.18,5600.040000000001
L06_000013,619,TRANSFER,13289.59,C1819730693,117678.0,104388.41,C497968221,0.0,13289.59,0,0,L06_000007,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.5132666170447073,0.11293181393293564,0.5132663987376586,20110.690000000002,
L06_000014,622,CASH_OUT,6821.1,C497968221,13289.59,0.0,CASHOUT_L06_000007,0.0,0.0,0,0,L06_000007,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,3,0.5132666170447073,0.11293181393293564,0.5132663987376586,20110.690000000002,6468.49
L06_000015,15,TRANSFER,9764.16,C104139025,104290.1,94525.94,C1287073460,1338709.39,1348473.5499999998,0,0,L06_000008,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.2753101803046495,0.09362499412695931,0.0019934910847899095,12452.33,
L06_000016,17,CASH_OUT,2688.17,C1287073460,1348473.5499999998,0.0,CASHOUT_L06_000008,0.0,0.0,0,0,L06_000008,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,2,0.2753101803046495,0.09362499412695931,0.0019934910847899095,12452.33,1345785.38
L06_000017,279,TRANSFER,10969.83,C731930475,92430.47,81460.64,C2074908694,98147.65,109117.48,0,0,L06_000009,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.36620502391311427,0.1186819671045706,0.03681545798161761,14987.04,
L06_000018,282,CASH_OUT,4017.21,C2074908694,109117.48,26637.04,CASHOUT_L06_000009,0.0,0.0,0,0,L06_000009,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,3,0.36620502391311427,0.1186819671045706,0.03681545798161761,14987.04,105100.26999999999
L06_000019,522,TRANSFER,13877.92,C1878349043,187553.6,173675.68,C708475534,718258.22,732136.14,0,0,L06_000010,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.2964792474760847,0.07399442079490876,0.005619883755499353,17992.440000000002,
L06_000020,524,CASH_OUT,4114.52,C708475534,732136.14,0.0,CASHOUT_L06_000010,0.0,0.0,0,0,L06_000010,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,2,0.2964792474760847,0.07399442079490876,0.005619883755499353,17992.440000000002,728021.62
L06_000021,304,TRANSFER,50261.78,C98830149,356692.63,306430.85,C1642329070,13845979.96,13896241.74,0,0,L06_000011,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.4104437396905084,0.140910621001617,0.0014845474327506913,70891.41,
L06_000022,307,CASH_OUT,20629.63,C1642329070,13896241.74,0.0,CASHOUT_L06_000011,0.0,0.0,0,0,L06_000011,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,3,0.4104437396905084,0.140910621001617,0.0014845474327506913,70891.41,13875612.11
L06_000023,331,TRANSFER,23023.44,C1728373812,182363.0,159339.56,C244109855,1057158.35,1080181.79,0,0,L06_000012,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.6228526996387448,0.12625061004699417,0.013275737595983727,37363.649999999994,
L06_000024,335,CASH_OUT,14340.21,C244109855,1080181.79,112675.55,CASHOUT_L06_000012,0.0,0.0,0,0,L06_000012,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,4,0.6228526996387448,0.12625061004699417,0.013275737595983727,37363.649999999994,1065841.58
L06_000025,252,TRANSFER,13856.93,C1409295050,279203.0,265346.07,C844297238,0.0,13856.93,0,0,L06_000013,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.5827844032274867,0.04963030483196814,0.5827842097780678,21932.53,
L06_000026,253,CASH_OUT,8075.6,C844297238,13856.93,0.0,CASHOUT_L06_000013,0.0,0.0,0,0,L06_000013,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,1,0.5827844032274867,0.04963030483196814,0.5827842097780678,21932.53,5781.33
L06_000027,322,TRANSFER,12797.82,C85155193,103895.0,91097.18,C718822243,1184629.44,1197427.26,0,0,L06_000014,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.5716071943190307,0.12318032629096684,0.006109206165892699,20113.15,
L06_000028,326,CASH_OUT,7315.33,C718822243,1197427.26,0.0,CASHOUT_L06_000014,0.0,0.0,0,0,L06_000014,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,4,0.5716071943190307,0.12318032629096684,0.006109206165892699,20113.15,1190111.93
L06_000029,401,TRANSFER,23965.92,C2003590866,197442.83,173476.90999999997,C1766163791,1909889.06,1933854.98,0,0,L06_000015,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.5315599816931438,0.12138156650206036,0.006587526020177583,36705.24,
L06_000030,402,CASH_OUT,12739.32,C1766163791,1933854.98,0.0,CASHOUT_L06_000015,0.0,0.0,0,0,L06_000015,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,1,0.5315599816931438,0.12138156650206036,0.006587526020177583,36705.24,1921115.66
L06_000031,370,TRANSFER,9858.89,C556825773,66559.0,56700.11,C1401164782,1215755.36,1225614.25,0,0,L06_000016,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.22617289430961676,0.14812256794723477,0.0018193407917703305,12088.699999999999,
L06_000032,375,CASH_OUT,2229.81,C1401164782,1225614.25,0.0,CASHOUT_L06_000016,0.0,0.0,0,0,L06_000016,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,5,0.22617289430961676,0.14812256794723477,0.0018193407917703305,12088.699999999999,1223384.44
L06_000033,129,TRANSFER,17788.95,C2000654285,439661.0,421872.05,C146155357,116120.23,133909.18,0,0,L06_000017,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.21180697748304492,0.040460604875119696,0.02813712995628829,21556.77,
L06_000034,130,CASH_OUT,3767.82,C146155357,133909.18,40916.84,CASHOUT_L06_000017,0.0,0.0,0,0,L06_000017,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,1,0.21180697748304492,0.040460604875119696,0.02813712995628829,21556.77,130141.35999999999
L06_000035,332,TRANSFER,26565.3,C501377888,293297.15,266731.85000000003,C1957588960,155636.15,182201.44999999998,0,0,L06_000018,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.32490771929987794,0.09057469532179224,0.04737212574323641,35196.57,
L06_000036,336,CASH_OUT,8631.27,C1957588960,182201.44999999998,247965.2,CASHOUT_L06_000018,0.0,0.0,0,0,L06_000018,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,4,0.32490771929987794,0.09057469532179224,0.04737212574323641,35196.57,173570.18
L06_000037,141,TRANSFER,44302.97,C830498986,610010.27,565707.3,C290835035,1941474.87,1985777.84,0,0,L06_000019,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.2812368408001124,0.0726265969259829,0.006274432994981955,56762.6,
L06_000038,143,CASH_OUT,12459.63,C290835035,1985777.84,413730.89,CASHOUT_L06_000019,0.0,0.0,0,0,L06_000019,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,2,0.2812368408001124,0.0726265969259829,0.006274432994981955,56762.6,1973318.2100000002
L06_000039,189,TRANSFER,62537.44,C774141622,845383.0,782845.56,C591049857,0.0,62537.44,0,0,L06_000020,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.20934609418812383,0.07397527511199066,0.20934611330428618,75629.41,
L06_000040,190,CASH_OUT,13091.97,C591049857,62537.44,752384.87,CASHOUT_L06_000020,0.0,0.0,0,0,L06_000020,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,1,0.20934609418812383,0.07397527511199066,0.20934611330428618,75629.41,49445.47
L06_000041,297,TRANSFER,9742.13,C1462091498,65155.0,55412.87,C297865323,0.0,9742.13,0,0,L06_000021,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.21009800476142276,0.1495223697337119,0.21009779175601231,11788.929999999998,
L06_000042,298,CASH_OUT,2046.8,C297865323,9742.13,0.0,CASHOUT_L06_000021,0.0,0.0,0,0,L06_000021,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,1,0.21009800476142276,0.1495223697337119,0.21009779175601231,11788.929999999998,7695.329999999999
L06_000043,251,TRANSFER,22318.28,C1172057727,154834.0,132515.72,C1073056896,55615.32,77933.6,0,0,L06_000022,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.55925567967382,0.14414327602464574,0.16015710810228195,34799.9,
L06_000044,253,CASH_OUT,12481.62,C1073056896,77933.6,0.0,CASHOUT_L06_000022,0.0,0.0,0,0,L06_000022,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,2,0.55925567967382,0.14414327602464574,0.16015710810228195,34799.9,65451.98
L06_000045,10,TRANSFER,30704.04,C986337415,363802.85,333098.81,C1096524110,13356357.09,13387061.129999999,0,0,L06_000023,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.3195386622968134,0.08439746967347837,0.0007328815417159449,40515.17,
L06_000046,12,CASH_OUT,9811.13,C1096524110,13387061.129999999,0.0,CASHOUT_L06_000023,0.0,0.0,0,0,L06_000023,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,2,0.3195386622968134,0.08439746967347837,0.0007328815417159449,40515.17,13377249.999999998
L06_000047,8,TRANSFER,12840.84,C638994322,100513.0,87672.16,C24404443,137724.93,150565.77,0,0,L06_000024,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.6326959269428809,0.1277530269716355,0.05395881148816229,20965.190000000002,
L06_000048,12,CASH_OUT,8124.35,C24404443,150565.77,0.0,CASHOUT_L06_000024,0.0,0.0,0,0,L06_000024,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,4,0.6326959269428809,0.1277530269716355,0.05395881148816229,20965.190000000002,142441.41999999998
L06_000049,230,TRANSFER,9162.24,C1025450577,90807.0,81644.76,C108417644,352143.41,361305.64999999997,0,0,L06_000025,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.2236380893753753,0.10089794839604876,0.005671181726607377,11211.27,
L06_000050,235,CASH_OUT,2049.03,C108417644,361305.64999999997,0.0,CASHOUT_L06_000025,0.0,0.0,0,0,L06_000025,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,5,0.2236380893753753,0.10089794839604876,0.005671181726607377,11211.27,359256.61999999994
L06_000051,39,TRANSFER,35886.31,C1430501506,854274.0,818387.69,C592991487,268452.92,304339.23,0,0,L06_000026,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.639572372569756,0.04200796231654012,0.07541548291358956,58838.2,
L06_000052,43,CASH_OUT,22951.89,C592991487,304339.23,418791.94,CASHOUT_L06_000026,0.0,0.0,0,0,L06_000026,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,4,0.639572372569756,0.04200796231654012,0.07541548291358956,58838.2,281387.33999999997
L06_000053,227,TRANSFER,18191.61,C428844364,132621.0,114429.39,C312626283,3352699.14,3370890.75,0,0,L06_000027,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.4659362619326756,0.13716990521863054,0.0025145074784758297,26667.739999999998,
L06_000054,230,CASH_OUT,8476.13,C312626283,3370890.75,0.0,CASHOUT_L06_000027,0.0,0.0,0,0,L06_000027,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,3,0.4659362619326756,0.13716990521863054,0.0025145074784758297,26667.739999999998,3362414.62
L06_000055,180,TRANSFER,31615.33,C1665431656,213146.0,181530.66999999998,C992209602,72870.41,104485.74,0,0,L06_000028,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.21211525099122536,0.14832710911769398,0.06418186826259736,38321.42,
L06_000056,184,CASH_OUT,6706.09,C992209602,104485.74,0.0,CASHOUT_L06_000028,0.0,0.0,0,0,L06_000028,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,4,0.21211525099122536,0.14832710911769398,0.06418186826259736,38321.42,97779.65000000001
L06_000057,11,TRANSFER,11504.38,C89046648,97504.7,86000.31999999999,C1771469594,1692967.22,1704471.5999999999,0,0,L06_000029,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.6050855586371018,0.11798795340122066,0.004084039886613541,18465.51,
L06_000058,15,CASH_OUT,6961.13,C1771469594,1704471.5999999999,0.0,CASHOUT_L06_000029,0.0,0.0,0,0,L06_000029,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,4,0.6050855586371018,0.11798795340122066,0.004084039886613541,18465.51,1697510.47
L06_000059,404,TRANSFER,55059.5,C2010581409,456700.0,401640.5,C2026374760,669025.16,724084.66,0,0,L06_000030,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.34900204798609447,0.12055944821545872,0.026538167512069652,74275.38,
L06_000060,409,CASH_OUT,19215.88,C2026374760,724084.66,0.0,CASHOUT_L06_000030,0.0,0.0,0,0,L06_000030,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,5,0.34900204798609447,0.12055944821545872,0.026538167512069652,74275.38,704868.78
L06_000061,9,TRANSFER,9871.61,C1506022643,118947.0,109075.39,C904776956,164.0,10035.61,0,0,L06_000031,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.23923362352999744,0.08299166855826545,0.23532401119613056,12233.23,
L06_000062,11,CASH_OUT,2361.62,C904776956,10035.61,0.0,CASHOUT_L06_000031,0.0,0.0,0,0,L06_000031,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,2,0.23923362352999744,0.08299166855826545,0.23532401119613056,12233.23,7673.990000000001
L06_000063,35,TRANSFER,11497.02,C544403959,92825.0,81327.98,C444030714,1157603.31,1169100.33,0,0,L06_000032,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.2562658541940226,0.12385693509291679,0.002520134435339694,14443.310000000001,
L06_000064,36,CASH_OUT,2946.29,C444030714,1169100.33,0.0,CASHOUT_L06_000032,0.0,0.0,0,0,L06_000032,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,1,0.2562658541940226,0.12385693509291679,0.002520134435339694,14443.310000000001,1166154.04
L06_000065,233,TRANSFER,19303.84,C1797751748,285962.6,266658.75999999995,C853752386,3216687.65,3235991.4899999998,0,0,L06_000033,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.6279106772174327,0.06750477160299984,0.003745711333746431,31424.93,
L06_000066,235,CASH_OUT,12121.09,C853752386,3235991.4899999998,0.0,CASHOUT_L06_000033,0.0,0.0,0,0,L06_000033,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,2,0.6279106772174327,0.06750477160299984,0.003745711333746431,31424.93,3223870.4
L06_000067,379,TRANSFER,9421.79,C1095520768,182394.71,172972.91999999998,C1690933552,42177140.37,42186562.16,0,0,L06_000034,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.30444728781730346,0.05165604857728605,6.799416338124293e-05,12290.230000000001,
L06_000068,382,CASH_OUT,2868.44,C1690933552,42186562.16,0.0,CASHOUT_L06_000034,0.0,0.0,0,0,L06_000034,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,3,0.30444728781730346,0.05165604857728605,6.799416338124293e-05,12290.230000000001,42183693.72
L06_000069,408,TRANSFER,16106.15,C745272710,123574.39,107468.24,C94763274,1879693.77,1895799.92,0,0,L06_000035,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.34392351097400353,0.13033566259157742,0.0029218695188044947,21645.43,
L06_000070,412,CASH_OUT,5539.28,C94763274,1895799.92,0.0,CASHOUT_L06_000035,0.0,0.0,0,0,L06_000035,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,4,0.34392351097400353,0.13033566259157742,0.0029218695188044947,21645.43,1890260.64
L06_000071,13,TRANSFER,9107.73,C164524266,103726.0,94618.27,C1144705134,0.0,9107.73,0,0,L06_000036,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.49309732414762514,0.08780566106858453,0.49309762147099223,13598.73,
L06_000072,15,CASH_OUT,4491.0,C1144705134,9107.73,0.0,CASHOUT_L06_000036,0.0,0.0,0,0,L06_000036,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,2,0.49309732414762514,0.08780566106858453,0.49309762147099223,13598.73,4616.73
L06_000073,374,TRANSFER,12967.37,C398940390,100701.0,87733.63,C851982278,0.0,12967.37,0,0,L06_000037,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.23171364959632323,0.12877101518356324,0.23171390960541727,15972.09,
L06_000074,379,CASH_OUT,3004.72,C851982278,12967.37,43575.75,CASHOUT_L06_000037,0.0,0.0,0,0,L06_000037,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,5,0.23171364959632323,0.12877101518356324,0.23171390960541727,15972.09,9962.650000000001
L06_000075,378,TRANSFER,9960.83,C2041413430,90378.0,80417.17,C1004912472,0.0,9960.83,0,0,L06_000038,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.6065372760666796,0.11021299431277523,0.6065368046638684,16002.439999999999,
L06_000076,380,CASH_OUT,6041.61,C1004912472,9960.83,0.0,CASHOUT_L06_000038,0.0,0.0,0,0,L06_000038,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,2,0.6065372760666796,0.11021299431277523,0.6065368046638684,16002.439999999999,3919.2200000000003
L06_000077,279,TRANSFER,13530.51,C1609499503,97883.98,84353.47,C1938930727,1691110.37,1704640.8800000001,0,0,L06_000039,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.2804954037789312,0.13823007605534635,0.002226422025030867,17325.760000000002,
L06_000078,282,CASH_OUT,3795.25,C1938930727,1704640.8800000001,0.0,CASHOUT_L06_000039,0.0,0.0,0,0,L06_000039,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,3,0.2804954037789312,0.13823007605534635,0.002226422025030867,17325.760000000002,1700845.6300000001
L06_000079,303,TRANSFER,9867.07,C1247075329,99242.0,89374.93,C634070335,0.0,9867.07,0,0,L06_000040,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.5913182893477886,0.09942433647044598,0.5913183954304571,15701.65,
L06_000080,306,CASH_OUT,5834.58,C634070335,9867.07,14388.48,CASHOUT_L06_000040,0.0,0.0,0,0,L06_000040,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,3,0.5913182893477886,0.09942433647044598,0.5913183954304571,15701.65,4032.49
L06_000081,355,TRANSFER,30977.72,C1541805398,209286.0,178308.28,C198006081,0.0,30977.72,0,0,L06_000041,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.5812745918371294,0.14801620748640618,0.5812745418320006,48984.28,
L06_000082,356,CASH_OUT,18006.56,C198006081,30977.72,0.0,CASHOUT_L06_000041,0.0,0.0,0,0,L06_000041,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,1,0.5812745918371294,0.14801620748640618,0.5812745418320006,48984.28,12971.16
L06_000083,255,TRANSFER,9221.99,C1347200500,168979.94,159757.95,C841836173,965659.38,974881.37,0,0,L06_000042,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.6137287949107466,0.0545744660579238,0.005805629458279627,14881.79,
L06_000084,259,CASH_OUT,5659.8,C841836173,974881.37,0.0,CASHOUT_L06_000042,0.0,0.0,0,0,L06_000042,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,4,0.6137287949107466,0.0545744660579238,0.005805629458279627,14881.79,969221.57
L06_000085,131,TRANSFER,21073.79,C1356970778,359914.08,338840.29000000004,C1787272154,633824.69,654898.48,0,0,L06_000043,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.2314369100707676,0.05855228003305678,0.007447337486567384,25951.04,
L06_000086,135,CASH_OUT,4877.25,C1787272154,654898.48,0.0,CASHOUT_L06_000043,0.0,0.0,0,0,L06_000043,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,4,0.2314369100707676,0.05855228003305678,0.007447337486567384,25951.04,650021.23
L06_000087,259,TRANSFER,13789.93,C135810672,105084.17,91294.23999999999,C1129614880,505306.17,519096.1,0,0,L06_000044,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.41419219554738834,0.13122747222535994,0.011003126396056532,19501.61,
L06_000088,264,CASH_OUT,5711.68,C1129614880,519096.1,0.0,CASHOUT_L06_000044,0.0,0.0,0,0,L06_000044,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,5,0.41419219554738834,0.13122747222535994,0.011003126396056532,19501.61,513384.42
L06_000089,309,TRANSFER,41787.72,C1150613150,449784.0,407996.28,C1121072110,0.0,41787.72,0,0,L06_000045,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.3007647475689586,0.09290619497358732,0.3007646744067396,54355.990000000005,
L06_000090,313,CASH_OUT,12568.27,C1121072110,41787.72,139112.26,CASHOUT_L06_000045,0.0,0.0,0,0,L06_000045,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,4,0.3007647475689586,0.09290619497358732,0.3007646744067396,54355.990000000005,29219.45
L06_000091,184,TRANSFER,9580.7,C595147259,64926.0,55345.3,C1218647450,0.0,9580.7,0,0,L06_000046,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.6198339582081982,0.14756337984782678,0.6198336238479443,15519.14,
L06_000092,189,CASH_OUT,5938.44,C1218647450,9580.7,56632.32,CASHOUT_L06_000046,0.0,0.0,0,0,L06_000046,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,5,0.6198339582081982,0.14756337984782678,0.6198336238479443,15519.14,3642.260000000001
L06_000093,404,TRANSFER,9730.0,C1986224493,79229.0,69499.0,C1339218792,0.0,9730.0,0,0,L06_000047,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.5193094674268899,0.12280856756995545,0.5193093525179856,14782.880000000001,
L06_000094,405,CASH_OUT,5052.88,C1339218792,9730.0,0.0,CASHOUT_L06_000047,0.0,0.0,0,0,L06_000047,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,1,0.5193094674268899,0.12280856756995545,0.5193093525179856,14782.880000000001,4677.12
L06_000095,377,TRANSFER,8923.41,C728427319,75549.0,66625.59,C1857072195,0.0,8923.41,0,0,L06_000048,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.3564222375207595,0.11811420402652582,0.3564220404531452,12103.91,
