record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,severity,is_legitimate_counterexample,cycle_position,cycle_length,step_gap_from_previous,scenario_step_window,scenario_total_amount,balance_usage_ratio,historical_pattern,cycle_pattern
L09_000011,130,TRANSFER,37623.28,CL000003_3,1426027.09,1388403.81,CL000003_4,2316241.3,2353864.58,0,0,L09_000003,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,2,6,285381.07,0.026383,NORMAL,A->B->C->D->A
L09_000012,133,TRANSFER,25787.97,CL000003_4,2353864.58,2328076.61,CL000003_1,1717638.35,1743426.32,0,0,L09_000003,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,3,6,285381.07,0.010956,NORMAL,A->B->C->D->A
L09_000013,232,TRANSFER,77314.12,CL000004_1,1471529.59,1394215.47,CL000004_2,1597739.6,1675053.72,0,0,L09_000004,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,9,317971.4,0.05254,NORMAL,A->B->C->D->A
L09_000014,235,TRANSFER,85029.79,CL000004_2,1675053.72,1590023.93,CL000004_3,2409348.45,2494378.24,0,0,L09_000004,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,3,9,317971.4,0.050762,NORMAL,A->B->C->D->A
L09_000015,238,TRANSFER,138060.55,CL000004_3,2494378.24,2356317.69,CL000004_4,1870464.29,2008524.84,0,0,L09_000004,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,3,9,317971.4,0.055349,NORMAL,A->B->C->D->A
L09_000016,241,TRANSFER,17566.94,CL000004_4,2008524.84,1990957.9,CL000004_1,1394215.47,1411782.41,0,0,L09_000004,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,3,9,317971.4,0.008746,NORMAL,A->B->C->D->A
L09_000017,249,TRANSFER,42823.87,CL000005_1,2366780.54,2323956.67,CL000005_2,1973408.79,2016232.66,0,0,L09_000005,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,5,353294.02,0.018094,NORMAL,A->B->C->D->A
L09_000018,250,TRANSFER,67328.87,CL000005_2,2016232.66,1948903.79,CL000005_3,1623485.81,1690814.68,0,0,L09_000005,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,1,5,353294.02,0.033393,NORMAL,A->B->C->D->A
L09_000019,251,TRANSFER,136042.41,CL000005_3,1690814.68,1554772.27,CL000005_4,2552839.46,2688881.87,0,0,L09_000005,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,1,5,353294.02,0.08046,NORMAL,A->B->C->D->A
L09_000020,254,TRANSFER,107098.87,CL000005_4,2688881.87,2581783.0,CL000005_1,2323956.67,2431055.54,0,0,L09_000005,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,3,5,353294.02,0.03983,NORMAL,A->B->C->D->A
L09_000021,817,TRANSFER,79313.22,CL000006_1,2159937.93,2080624.71,CL000006_2,1443007.76,1522320.98,0,0,L09_000006,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,5,316640.88,0.03672,NORMAL,A->B->C->D->A
L09_000022,818,TRANSFER,120762.76,CL000006_2,1522320.98,1401558.22,CL000006_3,2226579.38,2347342.14,0,0,L09_000006,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,1,5,316640.88,0.079328,NORMAL,A->B->C->D->A
L09_000023,821,TRANSFER,69483.45,CL000006_3,2347342.14,2277858.69,CL000006_4,1793383.6,1862867.05,0,0,L09_000006,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,3,5,316640.88,0.029601,NORMAL,A->B->C->D->A
L09_000024,822,TRANSFER,47081.45,CL000006_4,1862867.05,1815785.6,CL000006_1,2080624.71,2127706.16,0,0,L09_000006,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,1,5,316640.88,0.025274,NORMAL,A->B->C->D->A
L09_000025,195,TRANSFER,155548.42,CL000007_1,2021020.51,1865472.09,CL000007_2,2421508.37,2577056.79,0,0,L09_000007,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,7,343101.66,0.076965,NORMAL,A->B->C->D->A
L09_000026,196,TRANSFER,90303.97,CL000007_2,2577056.79,2486752.82,CL000007_3,2326647.78,2416951.75,0,0,L09_000007,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,1,7,343101.66,0.035042,NORMAL,A->B->C->D->A
L09_000027,199,TRANSFER,78971.39,CL000007_3,2416951.75,2337980.36,CL000007_4,1502384.55,1581355.94,0,0,L09_000007,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,3,7,343101.66,0.032674,NORMAL,A->B->C->D->A
L09_000028,202,TRANSFER,18277.88,CL000007_4,1581355.94,1563078.06,CL000007_1,1865472.09,1883749.97,0,0,L09_000007,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,3,7,343101.66,0.011558,NORMAL,A->B->C->D->A
L09_000029,676,TRANSFER,24596.78,CL000008_1,1371955.85,1347359.07,CL000008_2,1924046.56,1948643.34,0,0,L09_000008,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,5,165484.56,0.017928,NORMAL,A->B->C->D->A
L09_000030,679,TRANSFER,30199.38,CL000008_2,1948643.34,1918443.96,CL000008_3,1624965.37,1655164.75,0,0,L09_000008,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,3,5,165484.56,0.015498,NORMAL,A->B->C->D->A
L09_000031,680,TRANSFER,26317.26,CL000008_3,1655164.75,1628847.49,CL000008_4,2033771.77,2060089.03,0,0,L09_000008,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,1,5,165484.56,0.0159,NORMAL,A->B->C->D->A
L09_000032,681,TRANSFER,84371.14,CL000008_4,2060089.03,1975717.89,CL000008_1,1347359.07,1431730.21,0,0,L09_000008,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,1,5,165484.56,0.040955,NORMAL,A->B->C->D->A
L09_000033,580,TRANSFER,15765.84,CL000009_1,1724450.65,1708684.81,CL000009_2,1399068.71,1414834.55,0,0,L09_000009,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,7,165645.18,0.009143,NORMAL,A->B->C->D->A
L09_000034,583,TRANSFER,96898.13,CL000009_2,1414834.55,1317936.42,CL000009_3,2087700.68,2184598.81,0,0,L09_000009,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,3,7,165645.18,0.068487,NORMAL,A->B->C->D->A
L09_000035,585,TRANSFER,18430.21,CL000009_3,2184598.81,2166168.6,CL000009_4,2396043.46,2414473.67,0,0,L09_000009,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,2,7,165645.18,0.008436,NORMAL,A->B->C->D->A
L09_000036,587,TRANSFER,34551.0,CL000009_4,2414473.67,2379922.67,CL000009_1,1708684.81,1743235.81,0,0,L09_000009,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,2,7,165645.18,0.01431,NORMAL,A->B->C->D->A
L09_000037,378,TRANSFER,129462.73,CL000010_1,1782005.24,1652542.51,CL000010_2,1839702.2,1969164.93,0,0,L09_000010,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,9,338402.64,0.07265,NORMAL,A->B->C->D->A
L09_000038,381,TRANSFER,124716.0,CL000010_2,1969164.93,1844448.93,CL000010_3,2111795.06,2236511.06,0,0,L09_000010,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,3,9,338402.64,0.063334,NORMAL,A->B->C->D->A
L09_000039,384,TRANSFER,60646.33,CL000010_3,2236511.06,2175864.73,CL000010_4,1724235.52,1784881.85,0,0,L09_000010,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,3,9,338402.64,0.027116,NORMAL,A->B->C->D->A
L09_000040,387,TRANSFER,23577.58,CL000010_4,1784881.85,1761304.27,CL000010_1,1652542.51,1676120.09,0,0,L09_000010,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,3,9,338402.64,0.01321,NORMAL,A->B->C->D->A
L09_000041,250,TRANSFER,156373.88,CL000011_1,1861525.85,1705151.97,CL000011_2,2073516.37,2229890.25,0,0,L09_000011,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,4,443513.26,0.084003,NORMAL,A->B->C->D->A
L09_000042,251,TRANSFER,146829.1,CL000011_2,2229890.25,2083061.15,CL000011_3,1409159.81,1555988.91,0,0,L09_000011,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,1,4,443513.26,0.065846,NORMAL,A->B->C->D->A
L09_000043,252,TRANSFER,84420.54,CL000011_3,1555988.91,1471568.37,CL000011_4,2294938.57,2379359.11,0,0,L09_000011,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,1,4,443513.26,0.054255,NORMAL,A->B->C->D->A
L09_000044,254,TRANSFER,55889.74,CL000011_4,2379359.11,2323469.37,CL000011_1,1705151.97,1761041.71,0,0,L09_000011,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,2,4,443513.26,0.023489,NORMAL,A->B->C->D->A
L09_000045,23,TRANSFER,126252.82,CL000012_1,2250736.06,2124483.24,CL000012_2,2108775.37,2235028.19,0,0,L09_000012,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,7,314099.54,0.056094,NORMAL,A->B->C->D->A
L09_000046,24,TRANSFER,113326.92,CL000012_2,2235028.19,2121701.27,CL000012_3,1280395.53,1393722.45,0,0,L09_000012,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,1,7,314099.54,0.050705,NORMAL,A->B->C->D->A
L09_000047,27,TRANSFER,45126.84,CL000012_3,1393722.45,1348595.61,CL000012_4,1610886.57,1656013.41,0,0,L09_000012,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,3,7,314099.54,0.032379,NORMAL,A->B->C->D->A
L09_000048,30,TRANSFER,29392.96,CL000012_4,1656013.41,1626620.45,CL000012_1,2124483.24,2153876.2,0,0,L09_000012,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,3,7,314099.54,0.017749,NORMAL,A->B->C->D->A
L09_000049,297,TRANSFER,163694.99,CL000013_1,1385171.22,1221476.23,CL000013_2,1530008.12,1693703.11,0,0,L09_000013,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,5,401536.08,0.118177,NORMAL,A->B->C->D->A
L09_000050,298,TRANSFER,101576.02,CL000013_2,1693703.11,1592127.09,CL000013_3,1692453.88,1794029.9,0,0,L09_000013,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,1,5,401536.08,0.059973,NORMAL,A->B->C->D->A
L09_000051,301,TRANSFER,26826.19,CL000013_3,1794029.9,1767203.71,CL000013_4,1316536.22,1343362.41,0,0,L09_000013,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,3,5,401536.08,0.014953,NORMAL,A->B->C->D->A
L09_000052,302,TRANSFER,109438.88,CL000013_4,1343362.41,1233923.53,CL000013_1,1221476.23,1330915.11,0,0,L09_000013,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,1,5,401536.08,0.081466,NORMAL,A->B->C->D->A
L09_000053,193,TRANSFER,124134.9,CL000014_1,1818217.83,1694082.93,CL000014_2,1470420.24,1594555.14,0,0,L09_000014,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,8,296906.9,0.068273,NORMAL,A->B->C->D->A
L09_000054,195,TRANSFER,13330.59,CL000014_2,1594555.14,1581224.55,CL000014_3,1401817.08,1415147.67,0,0,L09_000014,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,2,8,296906.9,0.00836,NORMAL,A->B->C->D->A
L09_000055,198,TRANSFER,91930.19,CL000014_3,1415147.67,1323217.48,CL000014_4,1476961.45,1568891.64,0,0,L09_000014,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,3,8,296906.9,0.064962,NORMAL,A->B->C->D->A
L09_000056,201,TRANSFER,67511.22,CL000014_4,1568891.64,1501380.42,CL000014_1,1694082.93,1761594.15,0,0,L09_000014,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,3,8,296906.9,0.043031,NORMAL,A->B->C->D->A
L09_000057,418,TRANSFER,133945.89,CL000015_1,2207033.73,2073087.84,CL000015_2,2480597.29,2614543.18,0,0,L09_000015,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,4,454843.56,0.06069,NORMAL,A->B->C->D->A
L09_000058,419,TRANSFER,86608.88,CL000015_2,2614543.18,2527934.3,CL000015_3,2444279.94,2530888.82,0,0,L09_000015,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,1,4,454843.56,0.033126,NORMAL,A->B->C->D->A
L09_000059,421,TRANSFER,141656.0,CL000015_3,2530888.82,2389232.82,CL000015_4,2526585.55,2668241.55,0,0,L09_000015,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,2,4,454843.56,0.055971,NORMAL,A->B->C->D->A
L09_000060,422,TRANSFER,92632.79,CL000015_4,2668241.55,2575608.76,CL000015_1,2073087.84,2165720.63,0,0,L09_000015,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,1,4,454843.56,0.034717,NORMAL,A->B->C->D->A
L09_000061,839,TRANSFER,52569.72,CL000016_1,2244311.15,2191741.43,CL000016_2,1720625.66,1773195.38,0,0,L09_000016,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,6,367012.74,0.023424,NORMAL,A->B->C->D->A
L09_000062,842,TRANSFER,136009.75,CL000016_2,1773195.38,1637185.63,CL000016_3,1586386.83,1722396.58,0,0,L09_000016,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,3,6,367012.74,0.076703,NORMAL,A->B->C->D->A
L09_000063,843,TRANSFER,95609.35,CL000016_3,1722396.58,1626787.23,CL000016_4,2356097.07,2451706.42,0,0,L09_000016,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,1,6,367012.74,0.055509,NORMAL,A->B->C->D->A
L09_000064,845,TRANSFER,82823.92,CL000016_4,2451706.42,2368882.5,CL000016_1,2191741.43,2274565.35,0,0,L09_000016,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,2,6,367012.74,0.033782,NORMAL,A->B->C->D->A
L09_000065,825,TRANSFER,147669.15,CL000017_1,1995820.69,1848151.54,CL000017_2,2305936.58,2453605.73,0,0,L09_000017,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,5,505491.94,0.073989,NORMAL,A->B->C->D->A
L09_000066,827,TRANSFER,138753.0,CL000017_2,2453605.73,2314852.73,CL000017_3,1297159.66,1435912.66,0,0,L09_000017,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,2,5,505491.94,0.056551,NORMAL,A->B->C->D->A
L09_000067,828,TRANSFER,117956.33,CL000017_3,1435912.66,1317956.33,CL000017_4,2455246.27,2573202.6,0,0,L09_000017,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,1,5,505491.94,0.082147,NORMAL,A->B->C->D->A
L09_000068,830,TRANSFER,101113.46,CL000017_4,2573202.6,2472089.14,CL000017_1,1848151.54,1949265.0,0,0,L09_000017,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,2,5,505491.94,0.039295,NORMAL,A->B->C->D->A
L09_000069,322,TRANSFER,21180.47,CL000018_1,1572372.68,1551192.21,CL000018_2,2219392.05,2240572.52,0,0,L09_000018,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,7,172588.44,0.01347,NORMAL,A->B->C->D->A
L09_000070,325,TRANSFER,61052.13,CL000018_2,2240572.52,2179520.39,CL000018_3,1745114.99,1806167.12,0,0,L09_000018,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,3,7,172588.44,0.027248,NORMAL,A->B->C->D->A
L09_000071,326,TRANSFER,49769.6,CL000018_3,1806167.12,1756397.52,CL000018_4,2172501.36,2222270.96,0,0,L09_000018,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,1,7,172588.44,0.027555,NORMAL,A->B->C->D->A
L09_000072,329,TRANSFER,40586.24,CL000018_4,2222270.96,2181684.72,CL000018_1,1551192.21,1591778.45,0,0,L09_000018,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,3,7,172588.44,0.018263,NORMAL,A->B->C->D->A
L09_000073,569,TRANSFER,48100.24,CL000019_1,2384409.03,2336308.79,CL000019_2,1395309.68,1443409.92,0,0,L09_000019,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,7,371608.52,0.020173,NORMAL,A->B->C->D->A
L09_000074,571,TRANSFER,106416.38,CL000019_2,1443409.92,1336993.54,CL000019_3,1539698.79,1646115.17,0,0,L09_000019,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,2,7,371608.52,0.073726,NORMAL,A->B->C->D->A
L09_000075,574,TRANSFER,60923.01,CL000019_3,1646115.17,1585192.16,CL000019_4,1692611.72,1753534.73,0,0,L09_000019,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,3,7,371608.52,0.03701,NORMAL,A->B->C->D->A
L09_000076,576,TRANSFER,156168.89,CL000019_4,1753534.73,1597365.84,CL000019_1,2336308.79,2492477.68,0,0,L09_000019,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,2,7,371608.52,0.089059,NORMAL,A->B->C->D->A
L09_000077,135,TRANSFER,55393.31,CL000020_1,2050299.5,1994906.19,CL000020_2,1571709.74,1627103.05,0,0,L09_000020,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,7,304562.15,0.027017,NORMAL,A->B->C->D->A
L09_000078,136,TRANSFER,120658.39,CL000020_2,1627103.05,1506444.66,CL000020_3,1736810.05,1857468.44,0,0,L09_000020,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,1,7,304562.15,0.074155,NORMAL,A->B->C->D->A
L09_000079,139,TRANSFER,97068.68,CL000020_3,1857468.44,1760399.76,CL000020_4,1524138.0,1621206.68,0,0,L09_000020,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,3,7,304562.15,0.052259,NORMAL,A->B->C->D->A
L09_000080,142,TRANSFER,31441.77,CL000020_4,1621206.68,1589764.91,CL000020_1,1994906.19,2026347.96,0,0,L09_000020,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,3,7,304562.15,0.019394,NORMAL,A->B->C->D->A
L09_000081,398,TRANSFER,96926.44,CL000021_1,2229541.5,2132615.06,CL000021_2,1976287.6,2073214.04,0,0,L09_000021,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,4,459330.85,0.043474,NORMAL,A->B->C->D->A
L09_000082,400,TRANSFER,155909.02,CL000021_2,2073214.04,1917305.02,CL000021_3,2005684.52,2161593.54,0,0,L09_000021,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,2,4,459330.85,0.075202,NORMAL,A->B->C->D->A
L09_000083,401,TRANSFER,140142.68,CL000021_3,2161593.54,2021450.86,CL000021_4,1661754.66,1801897.34,0,0,L09_000021,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,1,4,459330.85,0.064833,NORMAL,A->B->C->D->A
L09_000084,402,TRANSFER,66352.71,CL000021_4,1801897.34,1735544.63,CL000021_1,2132615.06,2198967.77,0,0,L09_000021,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,1,4,459330.85,0.036824,NORMAL,A->B->C->D->A
L09_000085,251,TRANSFER,38905.81,CL000022_1,2401531.4,2362625.59,CL000022_2,1656134.47,1695040.28,0,0,L09_000022,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,6,343393.59,0.0162,NORMAL,A->B->C->D->A
L09_000086,253,TRANSFER,65101.47,CL000022_2,1695040.28,1629938.81,CL000022_3,1531363.45,1596464.92,0,0,L09_000022,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,2,6,343393.59,0.038407,NORMAL,A->B->C->D->A
L09_000087,256,TRANSFER,149606.12,CL000022_3,1596464.92,1446858.8,CL000022_4,2159286.34,2308892.46,0,0,L09_000022,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,3,6,343393.59,0.093711,NORMAL,A->B->C->D->A
L09_000088,257,TRANSFER,89780.19,CL000022_4,2308892.46,2219112.27,CL000022_1,2362625.59,2452405.78,0,0,L09_000022,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,1,6,343393.59,0.038885,NORMAL,A->B->C->D->A
L09_000089,806,TRANSFER,52075.01,CL000023_1,2343316.41,2291241.4,CL000023_2,1936362.04,1988437.05,0,0,L09_000023,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,7,374684.25,0.022223,NORMAL,A->B->C->D->A
L09_000090,809,TRANSFER,112919.57,CL000023_2,1988437.05,1875517.48,CL000023_3,1741292.35,1854211.92,0,0,L09_000023,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,3,7,374684.25,0.056788,NORMAL,A->B->C->D->A
L09_000091,811,TRANSFER,76586.76,CL000023_3,1854211.92,1777625.16,CL000023_4,1310598.16,1387184.92,0,0,L09_000023,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,2,7,374684.25,0.041304,NORMAL,A->B->C->D->A
L09_000092,813,TRANSFER,133102.91,CL000023_4,1387184.92,1254082.01,CL000023_1,2291241.4,2424344.31,0,0,L09_000023,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,2,7,374684.25,0.095952,NORMAL,A->B->C->D->A
L09_000093,488,TRANSFER,53216.57,CL000024_1,1457800.04,1404583.47,CL000024_2,2285108.8,2338325.37,0,0,L09_000024,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,5,302818.66,0.036505,NORMAL,A->B->C->D->A
L09_000094,489,TRANSFER,102310.99,CL000024_2,2338325.37,2236014.38,CL000024_3,1825635.48,1927946.47,0,0,L09_000024,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,1,5,302818.66,0.043754,NORMAL,A->B->C->D->A
L09_000095,490,TRANSFER,116936.64,CL000024_3,1927946.47,1811009.83,CL000024_4,1605826.18,1722762.82,0,0,L09_000024,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,1,5,302818.66,0.060653,NORMAL,A->B->C->D->A
L09_000096,493,TRANSFER,30354.46,CL000024_4,1722762.82,1692408.36,CL000024_1,1404583.47,1434937.93,0,0,L09_000024,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,3,5,302818.66,0.01762,NORMAL,A->B->C->D->A
L09_000097,436,TRANSFER,67580.59,CL000025_1,1608484.28,1540903.69,CL000025_2,1998089.37,2065669.96,0,0,L09_000025,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,6,339076.73,0.042015,NORMAL,A->B->C->D->A
L09_000098,438,TRANSFER,100420.08,CL000025_2,2065669.96,1965249.88,CL000025_3,1636938.36,1737358.44,0,0,L09_000025,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,2,6,339076.73,0.048614,NORMAL,A->B->C->D->A
L09_000099,439,TRANSFER,141459.77,CL000025_3,1737358.44,1595898.67,CL000025_4,1775736.7,1917196.47,0,0,L09_000025,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,1,6,339076.73,0.081422,NORMAL,A->B->C->D->A
L09_000100,442,TRANSFER,29616.29,CL000025_4,1917196.47,1887580.18,CL000025_1,1540903.69,1570519.98,0,0,L09_000025,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,3,6,339076.73,0.015448,NORMAL,A->B->C->D->A
L09_000101,450,TRANSFER,37332.74,CL000026_1,1881444.88,1844112.14,CL000026_2,1647304.15,1684636.89,0,0,L09_000026,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,5,113732.71,0.019843,NORMAL,A->B->C->D->A
L09_000102,451,TRANSFER,27469.74,CL000026_2,1684636.89,1657167.15,CL000026_3,1595966.53,1623436.27,0,0,L09_000026,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,1,5,113732.71,0.016306,NORMAL,A->B->C->D->A
