account_id,paysim_id,is_sender,is_receiver
A000076,C1000566069,1,0
A000077,C1000571672,1,0
A000078,C1000572673,0,1
A000079,C1000574865,0,1
A000080,C1000576290,1,0
A000081,C1000579402,1,0
A000082,C1000583260,0,1
A000083,C1000586245,1,0
A000084,C1000607301,1,0
A000085,C1000608512,0,1
A000086,C1000615704,1,0
A000087,C1000621564,0,1
A000088,C1000623681,0,1
A000089,C1000626395,0,1
A000090,C1000630508,0,1
A000091,C10006350,0,1
A000092,C1000635992,1,0
A000093,C1000649398,0,1
A000094,C1000660822,0,1
A000095,C1000664655,1,0
A000096,C1000669457,1,0
A000097,C1000680115,1,0
A000098,C1000724069,1,0
A000099,C1000732532,0,1
A000100,C1000736420,1,0
A000101,C1000739232,1,0
A000102,C10007424,0,1
A000103,C1000747881,0,1
A000104,C1000747976,1,0
A000105,C1000762499,0,1
A000106,C1000765419,0,1
A000107,C1000769568,1,0
A000108,C1000780154,0,1
A000109,C1000790031,1,0
A000110,C1000790270,0,1
A000111,C1000792115,1,0
A000112,C1000832583,1,0
A000113,C1000836187,0,1
A000114,C1000841133,0,1
A000115,C1000850851,1,0
A000116,C1000851449,1,0
A000117,C1000855680,0,1
A000118,C1000859445,1,0
A000119,C1000864595,1,0
A000120,C1000868784,0,1
A000121,C1000876957,1,0
A000122,C1000878520,0,1
A000123,C1000879006,1,0
A000124,C1000889958,1,0
A000125,C1000901490,1,0
A000126,C1000910565,0,1
A000127,C1000937208,1,0
A000128,C1000946424,1,0
A000129,C1000956485,1,0
A000130,C1000962891,1,0
A000131,C1000973905,1,0
A000132,C1000994160,1,0
A000133,C1000995140,0,1
A000134,C1000999034,0,1
A000135,C1001006244,0,1
A000136,C1001018170,1,0
A000137,C1001034497,1,0
A000138,C1001085035,0,1
A000139,C1001093262,1,0
A000140,C1001103004,1,0
A000141,C1001125638,1,0
A000142,C100112661,0,1
A000143,C1001154963,0,1
A000144,C100116883,0,1
A000145,C1001170585,0,1
A000146,C1001182102,1,0
A000147,C1001187709,0,1
A000148,C1001200517,0,1
A000149,C1001226860,1,0
A000150,C1001244461,0,1
A000151,C1001258143,0,1
A000152,C1001278474,1,0
A000153,C1001297879,0,1
A000154,C1001309080,1,0
A000155,C1001309617,0,1
A000156,C1001344997,1,0
A000157,C1001358455,1,0
A000158,C1001367899,0,1
A000159,C1001372632,1,0
A000160,C1001386525,1,0
A000161,C1001389277,1,0
A000162,C1001404622,1,0
A000163,C1001415656,1,0
A000164,C1001417278,1,0
A000165,C1001422653,1,0
A000166,C1001422679,1,0
A000167,C1001428134,0,1
A000168,C1001439852,1,0
A000169,C1001449890,0,1
A000170,C1001465783,1,0
A000171,C1001468180,1,0
A000172,C100148341,0,1
A000173,C1001501749,1,0
A000174,C1001502110,1,0
A000175,C1001520564,1,0
A000176,C1001540387,1,0
A000177,C1001544382,1,0
A000178,C1001558686,1,0
A000179,C1001561080,0,1
A000180,C1001566919,1,0
A000181,C1001567965,0,1
A000182,C1001569598,0,1
A000183,C1001576319,1,0
A000184,C1001582807,0,1
A000185,C1001593856,1,0
A000186,C1001600073,1,0
A000187,C1001604342,1,0
A000188,C1001611622,0,1
A000189,C1001619347,0,1
A000190,C1001651792,0,1
A000191,C1001664465,0,1
A000192,C1001666683,0,1
A000193,C1001667240,0,1
A000194,C1001670536,1,0
A000195,C1001676535,1,0
A000196,C1001696739,1,0
A000197,C1001709607,1,0
A000198,C1001709738,0,1
A000199,C1001714223,0,1
A000200,C1001728842,0,1
A000201,C1001736656,0,1
A000202,C1001742610,0,1
A000203,C1001744670,0,1
A000204,C1001758077,1,0
A000205,C1001765380,1,0
A000206,C100176598,1,0
A000207,C1001779725,1,0
A000208,C1001783808,0,1
A000209,C1001793214,1,0
A000210,C1001803924,1,0
A000211,C1001831,1,0
A000212,C1001831525,0,1
A000213,C1001835707,1,0
A000214,C1001846320,1,0
A000215,C1001846328,1,0
A000216,C1001855585,1,0
A000217,C1001857034,1,0
A000218,C100186208,1,0
A000219,C1001875185,1,0
A000220,C1001907235,1,0
A000221,C1001907366,0,1
A000222,C1001929660,1,0
A000223,C1001931248,1,0
A000224,C100193946,1,0
A000225,C1001947413,1,0
A000226,C1001951347,0,1
A000227,C1001967070,1,0
A000228,C1001980804,0,1
A000229,C1001995413,1,0
A000230,C1002002601,0,1
A000231,C100202897,1,0
A000232,C1002031672,0,1
A000233,C1002035919,1,0
A000234,C1002057900,0,1
A000235,C1002066216,1,0
A000236,C1002127283,0,1
A000237,C1002130885,0,1
A000238,C1002137546,0,1
A000239,C1002151702,0,1
A000240,C1002168424,1,0
A000241,C1002173688,1,0
A000242,C1002183297,0,1
A000243,C1002188616,0,1
A000244,C100220132,1,0
A000245,C1002204248,0,1
A000246,C1002219854,1,0
A000247,C1002225108,0,1
A000248,C1002228984,1,0
A000249,C1002233012,0,1
A000250,C100223718,1,0
A000251,C1002248461,1,0
A000252,C1002253655,1,0
A000253,C1002261243,1,0
A000254,C1002264531,0,1
A000255,C1002265891,1,0
A000256,C1002268430,1,0
A000257,C1002272601,0,1
A000258,C1002279486,1,0
A000259,C100228397,0,1
A000260,C100229448,1,0
A000261,C1002296543,1,0
A000262,C1002296706,0,1
A000263,C1002298342,1,0
A000264,C1002310608,1,0
A000265,C1002335651,0,1
A000266,C1002362253,0,1
A000267,C1002365620,1,0
A000268,C1002369586,1,0
A000269,C1002381562,1,0
A000270,C1002381609,1,0
A000271,C1002397754,0,1
A000272,C1002408593,1,0
A000273,C1002446735,1,0
A000274,C1002454874,0,1
A000275,C1002469873,0,1
A000276,C1002492899,1,0
A000277,C1002494617,0,1
A000278,C1002497793,0,1
A000279,C1002518464,1,0
A000280,C100251873,1,0
A000281,C1002521529,0,1
A000282,C1002538556,0,1
A000283,C1002553619,0,1
A000284,C1002557543,1,0
A000285,C1002558818,0,1
A000286,C1002569907,1,0
A000287,C1002577981,1,0
A000288,C1002580756,1,0
A000289,C1002596171,1,0
A000290,C1002612430,1,0
A000291,C1002624757,1,0
A000292,C10026300,1,0
A000293,C1002643479,0,1
A000294,C1002647510,0,1
A000295,C1002647697,1,0
A000296,C1002648859,1,0
A000297,C1002700139,1,0
A000298,C1002703519,0,1
A000299,C1002705280,1,0
A000300,C1002706780,0,1
A000301,C1002723539,0,1
A000302,C1002731758,1,0
A000303,C1002737125,1,0
A000304,C1002763268,1,0
A000305,C1002771960,1,0
A000306,C1002784435,1,0
A000307,C1002795194,1,0
A000308,C1002795777,1,0
A000309,C100280556,1,0
A000310,C1002823873,1,0
A000311,C1002826633,0,1
A000312,C1002827069,0,1
A000313,C1002832626,1,0
A000314,C1002834672,1,0
A000315,C100283784,1,0
A000316,C1002859898,1,0
A000317,C100286326,1,0
A000318,C1002867448,0,1
A000319,C1002889136,0,1
A000320,C1002895272,1,0
A000321,C1002905548,1,0
A000322,C1002911516,1,0
A000323,C1002917763,0,1
A000324,C100292687,0,1
A000325,C1002935579,1,0
A000326,C1002937659,1,0
A000327,C1002939134,0,1
A000328,C1002952732,0,1
A000329,C1002973288,0,1
A000330,C1002973579,0,1
A000331,C1002977540,1,0
A000332,C1002977668,1,0
A000333,C1002990682,0,1
A000334,C1003001499,1,0
A000335,C1003023037,1,0
A000336,C1003027044,1,0
A000337,C1003033244,1,0
A000338,C100304863,1,0
A000339,C1003060940,1,0
A000340,C1003065253,0,1
A000341,C1003070234,1,0
A000342,C1003092103,0,1
A000343,C1003097699,1,0
A000344,C1003099359,0,1
A000345,C1003104753,0,1
A000346,C1003121062,1,0
A000347,C1003131995,1,0
A000348,C1003139365,0,1
A000349,C1003144549,0,1
A000350,C1003152929,1,0
A000351,C1003155629,1,0
A000352,C100317022,1,0
A000353,C1003176717,0,1
A000354,C1003179807,1,0
A000355,C1003188636,0,1
A000356,C1003209305,1,0
A000357,C1003222926,1,0
A000358,C1003229870,1,0
A000359,C1003237570,1,0
A000360,C100325477,0,1
A000361,C1003255777,1,0
A000362,C1003260347,1,0
A000363,C1003262941,0,1
A000364,C1003265146,0,1
A000365,C1003280529,1,0
A000366,C1003282291,0,1
A000367,C1003289060,1,0
A000368,C1003314874,1,0
A000369,C1003322025,1,0
A000370,C1003324977,1,0
A000371,C1003328283,0,1
A000372,C1003334870,1,0
A000373,C1003346824,1,0
A000374,C1003349889,1,0
A000375,C1003377863,1,0
A000376,C1003419760,1,0
A000377,C1003420331,1,0
A000378,C1003435655,0,1
A000379,C1003444101,1,0
A000380,C1003447086,1,0
A000381,C1003456078,1,0
A000382,C1003457448,0,1
A000383,C1003461919,1,0
A000384,C1003462253,0,1
A000385,C1003486611,1,0
A000386,C1003487803,0,1
A000387,C1003492424,0,1
A000388,C1003502238,1,0
A000389,C1003527797,1,0
A000390,C1003528765,0,1
A000391,C1003532764,1,0
A000392,C1003552445,1,0
A000393,C1003558423,1,0
A000394,C1003566644,1,0
A000395,C1003594493,0,1
A000396,C1003599809,1,0
A000397,C1003609135,1,0
A000398,C1003611308,1,0
A000399,C1003613445,1,0
A000400,C1003619052,0,1
A000401,C1003621064,1,0
A000402,C1003629823,1,0
A000403,C10036459,0,1
A000404,C1003655992,1,0
A000405,C1003656636,0,1
A000406,C1003658659,1,0
A000407,C1003666714,1,0
A000408,C1003683779,0,1
A000409,C100368655,1,0
A000410,C1003695704,1,0
A000411,C1003708135,1,0
A000412,C1003715699,1,0
A000413,C1003724238,1,0
A000414,C1003737664,0,1
A000415,C1003741197,1,0
A000416,C1003741803,0,1
A000417,C1003744962,1,0
A000418,C1003748656,1,0
A000419,C1003752027,1,0
A000420,C1003757454,1,0
A000421,C1003761391,0,1
A000422,C1003773096,1,0
A000423,C100378703,1,0
A000424,C100380223,0,1
A000425,C1003812099,1,0
A000426,C100382342,0,1
A000427,C1003824894,1,0
A000428,C1003830523,1,0
A000429,C1003831493,1,0
A000430,C1003835549,1,0
A000431,C1003838120,1,0
A000432,C1003838346,0,1
A000433,C1003839350,0,1
A000434,C1003861563,1,0
A000435,C1003873648,1,0
A000436,C1003895753,0,1
A000437,C1003900232,1,0
A000438,C1003909463,0,1
A000439,C1003922407,1,0
A000440,C1003944729,1,0
A000441,C1003950417,1,0
A000442,C1003968105,1,0
A000443,C1003978652,1,0
A000444,C1003992393,1,0
A000445,C1003994512,1,0
A000446,C1004009361,1,0
A000447,C1004018245,1,0
A000448,C100403028,1,0
A000449,C1004039841,0,1
A000450,C1004044328,0,1
A000451,C1004056696,1,0
A000452,C1004068843,1,0
A000453,C1004069262,0,1
A000454,C1004082787,0,1
A000455,C100408347,1,0
A000456,C1004089699,1,0
A000457,C1004101618,1,0
A000458,C1004104157,0,1
A000459,C1004105004,1,0
A000460,C1004112450,1,0
A000461,C100411594,1,0
A000462,C1004116292,0,1
A000463,C1004122115,0,1
A000464,C100412487,1,0
A000465,C1004126858,1,0
A000466,C1004139651,0,1
A000467,C1004146978,0,1
A000468,C1004148095,1,0
A000469,C1004150486,1,0
A000470,C1004167913,1,0
A000471,C1004174969,0,1
A000472,C1004199045,1,0
A000473,C1004207626,0,1
A000474,C1004227406,0,1
A000475,C1004260557,1,0
A000476,C1004263115,0,1
A000477,C1004270839,0,1
A000478,C1004271827,1,0
A000479,C100427350,0,1
A000480,C100427864,0,1
A000481,C1004281584,1,0
A000482,C1004285854,1,0
A000483,C1004287379,0,1
A000484,C1004302587,0,1
A000485,C1004311339,1,0
A000486,C1004314200,1,0
A000487,C1004317306,0,1
A000488,C100431989,0,1
A000489,C1004321374,0,1
A000490,C1004324658,0,1
A000491,C1004326287,0,1
A000492,C100433051,0,1
A000493,C1004330633,0,1
A000494,C1004336210,1,0
A000495,C1004345875,1,0
A000496,C1004348627,0,1
A000497,C1004353928,1,0
A000498,C1004369948,0,1
A000499,C1004370483,0,1
A000500,C1004382055,0,1
A000501,C10043842,1,0
A000502,C1004386624,0,1
A000503,C1004421693,1,0
A000504,C1004425034,1,0
A000505,C1004443602,1,0
A000506,C1004443824,0,1
A000507,C1004450536,1,0
A000508,C100445148,1,0
A000509,C100446099,0,1
A000510,C1004471121,1,0
A000511,C1004477133,1,0
A000512,C1004480866,0,1
A000513,C1004490006,0,1
A000514,C1004495196,0,1
A000515,C1004502299,0,1
A000516,C1004505828,1,0
A000517,C1004513463,1,0
A000518,C1004527216,1,0
A000519,C1004528482,1,0
A000520,C100453202,0,1
A000521,C1004538864,0,1
A000522,C1004553703,0,1
A000523,C1004561957,0,1
A000524,C1004564443,0,1
A000525,C1004585793,0,1
A000526,C1004586075,1,0
A000527,C1004589903,1,0
A000528,C1004593728,1,0
A000529,C1004604282,1,0
A000530,C1004623278,1,0
A000531,C100463166,0,1
A000532,C1004632468,0,1
A000533,C1004654592,1,0
A000534,C1004658543,0,1
A000535,C1004664536,1,0
A000536,C1004674964,1,0
A000537,C1004695093,0,1
A000538,C1004707272,1,0
A000539,C100471038,1,0
A000540,C1004710907,1,0
A000541,C1004712041,0,1
A000542,C1004718128,1,0
A000543,C1004735973,1,0
A000544,C1004763399,0,1
A000545,C1004773338,1,0
A000546,C1004775828,0,1
A000547,C1004779991,1,0
A000548,C1004780164,0,1
A000549,C1004783059,0,1
A000550,C1004802173,1,0
A000551,C1004812062,1,0
A000552,C1004822737,1,0
A000553,C1004824267,1,0
A000554,C1004833328,1,0
A000555,C1004845105,0,1
A000556,C1004854428,1,0
A000557,C1004855184,1,0
A000558,C1004858230,0,1
A000559,C1004860476,1,0
A000560,C1004861632,0,1
A000561,C1004869911,1,0
A000562,C1004881739,1,0
A000563,C1004906406,1,0
A000564,C1004912472,0,1
A000565,C1004923860,0,1
A000566,C1004927998,1,0
A000567,C100494726,0,1
A000568,C1004962268,0,1
A000569,C1004963801,1,0
A000570,C100497268,1,0
A000571,C1004980342,0,1
A000572,C1004985685,0,1
A000573,C1004996248,1,0
A000574,C1005007866,1,0
A000575,C100500839,0,1
A000576,C1005009530,1,0
A000577,C1005017601,0,1
A000578,C1005018359,1,0
A000579,C1005027411,0,1
A000580,C1005029102,1,0
A000581,C1005051608,0,1
A000582,C1005068890,1,0
A000583,C1005087645,0,1
A000584,C1005096868,1,0
A000585,C1005106105,0,1
A000586,C1005117663,1,0
A000587,C1005131762,0,1
A000588,C1005133481,0,1
A000589,C1005134251,0,1
A000590,C1005143899,1,0
A000591,C1005145271,0,1
A000592,C1005184819,1,0
A000593,C1005190137,0,1
A000594,C1005190977,0,1
A000595,C1005195035,1,0
A000596,C1005197741,1,0
A000597,C1005200883,1,0
A000598,C1005201011,0,1
A000599,C1005242128,1,0
A000600,C1005261002,0,1
A000601,C1005278451,1,0
A000602,C1005281486,1,0
A000603,C1005288651,1,0
A000604,C1005294338,0,1
A000605,C1005324047,1,0
A000606,C1005334430,1,0
A000607,C1005335946,1,0
A000608,C1005344842,1,0
A000609,C1005347085,1,0
A000610,C1005350324,0,1
A000611,C1005359893,0,1
A000612,C1005373489,0,1
A000613,C1005382700,1,0
A000614,C1005387645,0,1
A000615,C1005393952,1,0
A000616,C100540107,0,1
A000617,C1005441950,0,1
A000618,C1005443405,0,1
A000619,C1005445087,1,0
A000620,C1005446455,1,0
A000621,C100544855,1,0
A000622,C1005453897,0,1
A000623,C1005458940,1,0
A000624,C1005460442,0,1
A000625,C1005463526,0,1
A000626,C1005469686,1,0
A000627,C1005473459,0,1
A000628,C1005478043,0,1
A000629,C1005494038,1,0
A000630,C1005496060,1,0
A000631,C1005505117,0,1
A000632,C1005510713,1,0
A000633,C1005511281,1,0
A000634,C1005514644,1,0
A000635,C1005541569,0,1
A000636,C100555887,0,1
A000637,C1005571925,0,1
A000638,C1005577459,1,0
A000639,C1005578066,1,0
A000640,C1005578149,1,0
A000641,C1005581681,1,0
A000642,C1005592192,1,0
A000643,C1005596509,1,0
A000644,C1005617064,0,1
A000645,C1005629877,1,0
A000646,C1005635954,0,1
A000647,C1005646481,1,0
A000648,C1005652717,0,1
A000649,C1005657942,0,1
A000650,C1005665541,0,1
A000651,C1005675607,1,0
A000652,C100568242,0,1
A000653,C1005685963,0,1
A000654,C1005714733,0,1
A000655,C1005724639,0,1
A000656,C1005726924,0,1
A000657,C1005748690,0,1
A000658,C1005751890,1,0
A000659,C1005754400,1,0
A000660,C1005755165,0,1
A000661,C1005771050,1,0
A000662,C1005772258,1,0
A000663,C1005802101,0,1
A000664,C1005806543,0,1
A000665,C1005814013,1,0
A000666,C1005817990,0,1
A000667,C1005819831,0,1
A000668,C100582008,1,0
A000669,C1005823792,0,1
A000670,C1005837305,1,0
A000671,C1005847913,1,0
A000672,C1005851192,1,0
A000673,C1005853430,0,1
A000674,C100586129,0,1
A000675,C1005865320,1,0
A000676,C1005866705,0,1
A000677,C1005866728,1,0
A000678,C1005879526,1,0
A000679,C100589078,1,0
A000680,C1005902663,1,0
A000681,C100590696,0,1
A000682,C100592036,0,1
A000683,C1005924581,0,1
A000684,C1005928818,0,1
A000685,C100593892,1,0
A000686,C1005941472,0,1
A000687,C1005948516,1,0
A000688,C1005960223,0,1
A000689,C1005976790,1,0
A000690,C100597731,1,0
A000691,C1005983919,0,1
A000692,C100600294,1,0
A000693,C1006005732,0,1
A000694,C1006010161,1,0
A000695,C1006011284,0,1
A000696,C1006023490,0,1
A000697,C1006034345,1,0
A000698,C10060390,1,0
A000699,C1006040417,1,0
A000700,C1006044262,1,0
A000701,C1006046435,1,0
A000702,C1006058561,1,0
A000703,C1006069167,1,0
A000704,C1006070662,1,0
A000705,C1006076156,0,1
A000706,C100607999,0,1
A000707,C1006092832,1,0
A000708,C1006093006,1,0
A000709,C1006094361,1,0
A000710,C1006094903,0,1
A000711,C1006104948,0,1
A000712,C1006104964,0,1
A000713,C1006106359,0,1
A000714,C1006131638,0,1
A000715,C1006134405,1,0
A000716,C1006142407,1,0
A000717,C1006159834,0,1
A000718,C1006163592,0,1
A000719,C1006163621,1,0
A000720,C1006177641,1,0
A000721,C1006195220,0,1
A000722,C1006195797,0,1
A000723,C1006196573,1,0
A000724,C100620904,0,1
A000725,C1006218741,0,1
A000726,C1006220239,0,1
A000727,C1006225340,0,1
A000728,C1006248140,0,1
A000729,C1006255343,1,0
A000730,C1006258892,1,0
A000731,C1006266940,1,0
A000732,C1006272421,1,0
A000733,C1006273759,1,0
A000734,C100628485,1,0
A000735,C1006286984,1,0
A000736,C1006297374,0,1
A000737,C1006298118,1,0
A000738,C1006310312,0,1
A000739,C1006335992,1,0
A000740,C1006338387,0,1
A000741,C1006350268,0,1
A000742,C1006353512,0,1
A000743,C1006359462,0,1
A000744,C1006365489,0,1
A000745,C1006369857,0,1
A000746,C1006381165,1,0
A000747,C1006387259,0,1
A000748,C1006391029,0,1
A000749,C1006392953,1,0
A000750,C1006393614,1,0
A000751,C1006401921,0,1
A000752,C1006414414,0,1
A000753,C100643419,0,1
A000754,C100643633,1,0
A000755,C1006440985,1,0
A000756,C1006448051,1,0
A000757,C1006458754,1,0
A000758,C1006459134,0,1
A000759,C1006463840,0,1
A000760,C1006464744,0,1
A000761,C1006471965,1,0
A000762,C1006473395,0,1
A000763,C1006481939,0,1
A000764,C1006493866,0,1
A000765,C1006501329,0,1
A000766,C1006536889,1,0
A000767,C1006537864,0,1
A000768,C1006543370,0,1
A000769,C1006549611,1,0
A000770,C100656256,0,1
A000771,C1006607326,0,1
A000772,C1006634864,0,1
A000773,C1006668962,0,1
A000774,C1006669757,1,0
A000775,C1006699871,0,1
A000776,C1006705900,1,0
A000777,C1006732709,0,1
A000778,C1006736015,0,1
A000779,C1006747729,1,0
A000780,C1006781001,0,1
A000781,C1006792728,0,1
A000782,C1006801133,1,0
A000783,C1006807152,1,0
A000784,C1006829603,1,0
A000785,C1006837475,1,0
A000786,C1006839325,1,0
A000787,C1006841815,0,1
A000788,C1006841992,1,0
A000789,C1006851542,1,0
A000790,C1006859670,1,0
A000791,C1006878408,0,1
A000792,C1006881919,1,0
A000793,C1006891018,1,0
A000794,C1006891429,1,0
A000795,C100691765,0,1
A000796,C1006919477,1,0
A000797,C1006922154,0,1
A000798,C1006926522,0,1
A000799,C100694203,0,1
A000800,C1006983806,1,0
A000801,C1006987138,1,0
A000802,C100699237,0,1
A000803,C1006993404,1,0
A000804,C100699421,0,1
A000805,C1006998636,1,0
A000806,C1007004771,1,0
A000807,C1007027472,1,0
A000808,C1007032757,0,1
A000809,C1007037979,1,0
A000810,C1007055444,0,1
A000811,C1007059749,1,0
A000812,C1007065552,1,0
A000813,C1007071814,1,0
A000814,C1007075531,1,0
A000815,C1007077891,1,0
A000816,C1007109245,1,0
A000817,C1007109457,1,0
A000818,C100711224,0,1
A000819,C1007112847,0,1
A000820,C1007121920,1,0
A000821,C1007125654,0,1
A000822,C1007135217,0,1
A000823,C1007164463,0,1
A000824,C1007168652,0,1
A000825,C1007190943,0,1
A000826,C1007207376,1,0
A000827,C1007207941,1,0
A000828,C1007216312,0,1
A000829,C1007220066,0,1
A000830,C100723648,0,1
A000831,C1007251739,0,1
A000832,C1007275643,1,0
A000833,C1007286597,0,1
A000834,C1007289193,1,0
A000835,C1007305735,0,1
A000836,C1007326787,1,0
A000837,C100733599,1,0
A000838,C1007339075,1,0
A000839,C1007340530,1,0
A000840,C1007345346,1,0
A000841,C100734594,1,0
A000842,C1007352891,1,0
A000843,C1007359705,1,0
A000844,C1007389925,1,0
A000845,C1007392017,0,1
A000846,C1007392323,0,1
A000847,C1007405065,1,0
A000848,C1007427065,0,1
A000849,C100743685,1,0
A000850,C1007442412,1,0
A000851,C1007458527,1,0
A000852,C1007475770,1,0
A000853,C100748532,1,0
A000854,C1007496544,0,1
A000855,C1007502617,0,1
A000856,C1007502706,1,0
A000857,C1007529810,1,0
A000858,C100753872,1,0
A000859,C1007538986,0,1
A000860,C100754024,1,0
A000861,C1007546305,1,0
A000862,C1007546586,1,0
A000863,C1007556468,1,0
A000864,C1007561031,1,0
A000865,C1007595772,0,1
A000866,C1007599885,1,0
A000867,C1007607151,1,0
A000868,C1007629095,0,1
A000869,C1007643154,0,1
A000870,C1007648069,1,0
A000871,C1007661425,1,0
A000872,C1007661684,1,0
A000873,C1007661780,0,1
A000874,C1007662731,1,0
A000875,C1007685598,1,0
A000876,C1007702373,1,0
A000877,C1007704214,0,1
A000878,C1007709089,1,0
A000879,C1007717381,0,1
A000880,C1007724898,0,1
A000881,C1007726919,1,0
A000882,C100772927,1,0
A000883,C1007738889,0,1
A000884,C1007744946,1,0
A000885,C100775108,0,1
A000886,C1007762074,1,0
A000887,C1007774074,1,0
A000888,C1007786276,1,0
A000889,C1007799922,0,1
A000890,C1007812215,1,0
A000891,C1007813268,0,1
A000892,C100781568,1,0
A000893,C1007817994,1,0
A000894,C1007820110,1,0
A000895,C1007825025,1,0
A000896,C100782781,0,1
A000897,C1007841851,1,0
A000898,C1007856398,0,1
A000899,C1007857462,0,1
A000900,C1007860751,1,0
A000901,C1007868715,0,1
A000902,C10078836,0,1
A000903,C1007895466,0,1
A000904,C100793704,1,0
A000905,C1007942805,1,0
A000906,C1007946986,1,0
A000907,C1007956463,1,0
A000908,C1007965002,0,1
A000909,C1007978363,1,0
A000910,C1007990366,0,1
A000911,C1007996495,1,0
A000912,C1008010142,1,0
A000913,C1008026820,1,0
A000914,C1008040846,1,0
A000915,C1008056490,1,0
A000916,C1008094690,0,1
A000917,C1008115604,1,0
A000918,C1008122277,1,0
A000919,C1008131550,0,1
A000920,C1008131840,1,0
A000921,C1008137270,1,0
A000922,C1008141615,0,1
A000923,C1008172174,0,1
A000924,C1008186750,0,1
A000925,C1008209801,1,0
A000926,C1008227892,0,1
A000927,C1008244697,1,0
A000928,C1008256354,0,1
A000929,C1008265967,1,0
A000930,C1008265986,1,0
A000931,C1008271377,1,0
A000932,C1008274424,1,0
A000933,C1008285328,1,0
A000934,C1008300254,0,1
A000935,C1008332467,0,1
A000936,C100833398,1,0
A000937,C1008341069,0,1
A000938,C1008351365,1,0
A000939,C1008353540,1,0
A000940,C1008387036,1,0
A000941,C1008387060,1,0
A000942,C1008394188,1,0
A000943,C1008394355,0,1
A000944,C1008409277,0,1
A000945,C1008433913,1,0
A000946,C1008465476,1,0
A000947,C1008466424,1,0
A000948,C1008483378,1,0
A000949,C1008486098,0,1
A000950,C1008488910,1,0
A000951,C10085103,0,1
A000952,C1008527198,1,0
A000953,C1008527521,1,0
A000954,C1008538185,1,0
A000955,C1008543586,0,1
A000956,C1008552565,1,0
A000957,C1008556918,0,1
A000958,C1008582946,0,1
A000959,C1008591137,1,0
A000960,C1008595177,0,1
A000961,C1008612408,0,1
A000962,C1008634661,1,0
A000963,C1008651893,0,1
A000964,C1008653742,1,0
A000965,C1008671048,0,1
A000966,C1008687801,1,0
A000967,C1008705212,1,0
A000968,C1008717543,0,1
A000969,C1008719694,1,0
A000970,C1008731224,0,1
A000971,C1008733516,1,0
A000972,C10087368,1,0
A000973,C1008738221,0,1
A000974,C100875137,1,0
A000975,C1008757444,1,0
A000976,C1008768101,1,0
A000977,C1008772389,0,1
A000978,C1008783687,1,0
A000979,C1008793936,1,0
A000980,C1008798196,1,0
A000981,C1008805583,1,0
A000982,C1008826619,0,1
A000983,C100886246,0,1
A000984,C1008878978,0,1
A000985,C1008882327,0,1
A000986,C1008882993,1,0
A000987,C1008893605,1,0
A000988,C1008895199,1,0
A000989,C1008912886,1,0
A000990,C1008927906,0,1
A000991,C1008935584,0,1
A000992,C1008940612,1,0
A000993,C1008947128,1,0
A000994,C1008952065,0,1
A000995,C100896231,1,0
A000996,C1008978571,1,0
A000997,C1008981665,1,0
A000998,C1009007953,1,0
A000999,C1009014565,0,1
A001000,C1009017412,0,1
A001001,C1009020513,1,0
A001002,C100903068,1,0
A001003,C1009032350,1,0
