record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
R000041,129,TRANSFER,189480.44,C284738515,0.0,0.0,C271845109,5653524.24,5547245.11,0,0
R000042,586,PAYMENT,6303.17,C1303248740,0.0,0.0,M300831822,0.0,0.0,0,0
R000043,284,CASH_IN,51870.29,C784563539,20232.0,72102.29,C558609687,2086909.48,2035039.19,0,0
R000044,592,CASH_OUT,38583.33,C238619725,20185.0,0.0,C1928079313,43794.02,82377.36,0,0
R000045,634,CASH_OUT,26153.82,C129898759,26153.82,0.0,C127351954,0.0,26153.82,1,0
R000046,451,PAYMENT,5639.54,C1152298431,8296.0,2656.46,M103208012,0.0,0.0,0,0
R000047,309,PAYMENT,20134.65,C1266819066,1751.54,0.0,M1497061244,0.0,0.0,0,0
R000048,260,CASH_IN,289617.57,C227310962,378.0,289995.57,C1245422274,3792.09,0.0,0,0
R000049,129,CASH_IN,191314.62,C889695179,72290.0,263604.62,C1080077694,5058260.67,4866946.04,0,0
R000050,135,CASH_IN,251488.54,C1371318669,1316.0,252804.54,C1448309079,24915.35,0.0,0,0
R000051,211,CASH_OUT,202124.91,C1257051685,0.0,0.0,C1475245402,325790.67,527915.58,0,0
R000052,397,CASH_OUT,264435.49,C1610783532,45390.0,0.0,C347012881,288620.47,553055.96,0,0
R000053,402,TRANSFER,19534.42,C1873218938,653.0,0.0,C1314357060,512022.83,531557.25,0,0
R000054,254,PAYMENT,8956.16,C1387520562,0.0,0.0,M1002463376,0.0,0.0,0,0
R000055,354,CASH_OUT,164063.96,C1789999759,21277.0,0.0,C2049595282,205497.24,369561.2,0,0
R000056,155,CASH_OUT,152769.62,C304201863,0.0,0.0,C374337852,935478.3,1088247.93,0,0
R000057,637,PAYMENT,9770.49,C1542502419,0.0,0.0,M1662498858,0.0,0.0,0,0
R000058,355,CASH_IN,86182.9,C1189837526,105821.0,192003.9,C835235180,2411203.78,2325020.88,0,0
R000059,181,PAYMENT,13201.81,C502157970,41260.0,28058.19,M1799924644,0.0,0.0,0,0
R000060,179,CASH_OUT,97068.17,C1470657216,0.0,0.0,C1834498508,324489.83,421558.0,0,0
R000061,325,PAYMENT,25411.06,C747533333,0.0,0.0,M482637963,0.0,0.0,0,0
R000062,299,CASH_IN,39442.49,C1223205155,183567.0,223009.49,C573135100,3312983.16,3422828.47,0,0
R000063,423,PAYMENT,16191.41,C1997334756,30902.0,14710.59,M1181819100,0.0,0.0,0,0
R000064,399,CASH_IN,212036.02,C1414319683,19124518.71,19336554.73,C1548690294,381217.6,169181.58,0,0
R000065,546,TRANSFER,792416.45,C1734610067,0.0,0.0,C644196011,1654126.74,2446543.18,0,0
R000066,42,CASH_OUT,198670.11,C1547598516,338.0,0.0,C362210903,647335.13,846005.24,0,0
R000067,514,CASH_OUT,230332.64,C1636103720,11934.0,0.0,C2044132362,364806.85,595139.49,0,0
R000068,687,PAYMENT,8469.76,C1767612637,0.0,0.0,M1271632518,0.0,0.0,0,0
R000069,235,CASH_IN,79.35,C257170924,103344.74,103424.08,C176221505,440916.02,440836.67,0,0
R000070,396,CASH_OUT,443812.52,C261327596,0.0,0.0,C503468716,2343517.9,2787330.42,0,0
R000071,348,PAYMENT,17490.06,C1949930611,51711.0,34220.94,M969711380,0.0,0.0,0,0
R000072,35,CASH_IN,15650.78,C1492644573,9040.0,24690.78,C2122510978,361459.65,345808.86,0,0
R000073,20,CASH_IN,28218.43,C203452397,10681.0,38899.43,C1889459191,7283439.64,8650293.68,0,0
R000074,355,TRANSFER,1048501.71,C1979961330,15045.0,0.0,C132379888,9186365.82,10234867.53,0,0
R000075,274,CASH_OUT,188430.14,C865976624,758278.0,569847.86,C1059728144,0.0,188430.14,0,0
R000076,204,CASH_OUT,10551.88,C2112971327,0.0,0.0,C2008676020,95904.72,106456.61,0,0
R000077,225,PAYMENT,13044.62,C2143171070,0.0,0.0,M1826590570,0.0,0.0,0,0
R000078,356,TRANSFER,784773.82,C1342553769,20702.0,0.0,C884800797,96277.1,881050.92,0,0
R000079,612,CASH_OUT,197248.57,C1898864908,0.0,0.0,C331989289,2095456.11,2292704.68,0,0
R000080,94,TRANSFER,276982.29,C490544996,0.0,0.0,C920638069,4700617.29,4977599.58,0,0
R000081,166,CASH_IN,31046.28,C94307855,4636514.48,4667560.76,C438013659,317915.84,286869.56,0,0
R000082,255,CASH_IN,351552.03,C915270456,108428.0,459980.03,C1218690637,53242.74,0.0,0,0
R000083,540,TRANSFER,313836.74,C1057552441,0.0,0.0,C484249040,995591.79,1309428.53,0,0
R000084,307,CASH_OUT,52409.55,C1909371472,15029.0,0.0,C1730889122,2651318.86,2703728.41,0,0
R000085,139,CASH_IN,178150.39,C67632118,415053.84,593204.23,C836019933,1114555.64,936405.24,0,0
R000086,277,CASH_IN,60558.48,C1615755255,11912983.01,11973541.49,C2013762070,2213843.64,2153285.17,0,0
R000087,133,CASH_OUT,826611.28,C1802654238,30473.0,0.0,C1949498582,0.0,826611.28,0,0
R000088,166,PAYMENT,8333.16,C1911091427,0.0,0.0,M53843167,0.0,0.0,0,0
R000089,187,CASH_OUT,252674.69,C671976776,5263.0,0.0,C670092027,0.0,252674.69,0,0
R000090,249,CASH_OUT,123898.55,C578501191,0.0,0.0,C222969199,350476.52,474375.07,0,0
R000091,380,CASH_OUT,288619.08,C372233445,100666.0,0.0,C330728632,294337.18,582956.25,0,0
R000092,378,CASH_OUT,21404.0,C1962924343,60112.0,38708.0,C460573825,0.0,21404.0,0,0
R000093,48,TRANSFER,1729084.47,C1637342336,0.0,0.0,C1798005906,2882731.64,4611816.11,0,0
R000094,181,CASH_IN,134042.39,C1154538408,1558312.67,1692355.06,C1542751414,206464.89,72422.5,0,0
R000095,396,PAYMENT,45617.79,C1986602498,0.0,0.0,M1736447201,0.0,0.0,0,0
R000096,370,CASH_IN,38345.62,C1709382438,332247.42,370593.04,C1935058233,767685.4,729339.78,0,0
R000097,302,TRANSFER,193426.39,C1404310203,70767.93,0.0,C2045696864,199441.57,392867.96,0,0
R000098,298,CASH_IN,122205.33,C849252184,8283275.55,8405480.88,C1689141448,1458153.08,1335947.75,0,0
R000099,68,CASH_OUT,3512572.72,C451243683,3512572.72,0.0,C958253769,111846.62,3624419.34,1,0
R000100,610,CASH_IN,146608.8,C1205156494,1193867.13,1340475.93,C2090979776,4223904.65,4077295.85,0,0
R000101,18,CASH_IN,195322.69,C1829327565,4852044.15,5047366.84,C2090720828,263721.79,68399.1,0,0
R000102,359,CASH_OUT,103508.43,C1706296831,0.0,0.0,C401730239,2909084.84,3012593.27,0,0
R000103,184,PAYMENT,27254.09,C713217509,0.0,0.0,M903493339,0.0,0.0,0,0
R000104,350,CASH_IN,227121.82,C946489144,19971.0,247092.82,C1351768874,0.0,0.0,0,0
R000105,21,CASH_OUT,137760.24,C1854885533,573.0,0.0,C1731397441,176729.11,314489.36,0,0
R000106,567,CASH_IN,51304.21,C1529230576,5926600.38,5977904.59,C107693133,439986.21,388682.0,0,0
R000107,236,TRANSFER,781412.3,C1703274883,0.0,0.0,C266972932,3827523.57,4515881.89,0,0
R000108,18,CASH_OUT,71237.17,C1947926923,768065.69,696828.52,C835629074,712357.42,99469.28,0,0
R000109,177,TRANSFER,196877.42,C680581997,0.0,0.0,C120953267,792136.05,989013.47,0,0
R000110,129,CASH_IN,97128.48,C1341605852,3257201.72,3354330.2,C1333873772,297533.18,200404.7,0,0
R000111,256,PAYMENT,18896.67,C1742154624,0.0,0.0,M1224340415,0.0,0.0,0,0
R000112,155,CASH_IN,4008.31,C1965809684,24492.52,28500.83,C1784577701,8294310.92,8290302.61,0,0
R000113,40,CASH_OUT,244631.02,C1750774202,0.0,0.0,C2089622217,277136.41,521767.43,0,0
R000114,201,CASH_IN,17677.42,C1069884082,243472.59,261150.01,C1927775986,938672.82,920995.4,0,0
R000115,184,CASH_IN,422298.7,C480794861,5395499.86,5817798.57,C541844847,914518.09,492219.38,0,0
R000116,354,CASH_OUT,332218.32,C1583999653,0.0,0.0,C1497408513,623032.67,955251.0,0,0
R000117,42,CASH_IN,62710.11,C288317677,101253.0,163963.11,C1511217786,679326.7,616616.6,0,0
R000118,137,CASH_OUT,139829.9,C1578270964,21240.0,0.0,C27767111,150804.78,290634.68,0,0
R000119,182,TRANSFER,344516.9,C28732957,0.0,0.0,C2084088857,1733953.07,2078469.97,0,0
R000120,565,CASH_IN,352836.79,C1150994730,30819.0,383655.79,C2038994826,7407095.92,7054259.13,0,0
R000121,277,CASH_OUT,106553.6,C673816260,69630.0,0.0,C1566536451,0.0,106553.6,0,0
R000122,179,TRANSFER,401930.99,C1492479476,138288.0,0.0,C1590201428,0.0,160008.75,0,0
R000123,18,CASH_IN,484339.16,C990787893,987742.14,1472081.3,C1555779554,1357160.62,872821.46,0,0
R000124,684,TRANSFER,671332.38,C1089324879,0.0,0.0,C1420982209,3554276.53,4225608.91,0,0
R000125,38,PAYMENT,22829.27,C1992631760,0.0,0.0,M1882717618,0.0,0.0,0,0
R000126,232,CASH_IN,39550.82,C1752973727,8886005.92,8925556.74,C1998802584,175851.33,482883.87,0,0
R000127,400,TRANSFER,24439.23,C24429788,10302.0,0.0,C1481530015,0.0,24439.23,0,0
R000128,161,TRANSFER,281021.11,C776755342,0.0,0.0,C1384183851,459733.43,740754.54,0,0
R000129,165,CASH_OUT,174675.12,C174089507,0.0,0.0,C1755163653,382786.88,557462.0,0,0
R000130,283,CASH_OUT,151842.72,C1563394692,0.0,0.0,C2013706137,1600507.09,1752349.8,0,0
R000131,325,TRANSFER,642397.31,C1514823854,252.0,0.0,C1260406444,0.0,642397.31,0,0
R000132,327,CASH_IN,239107.18,C1856828137,1932065.92,2171173.1,C54617902,16744028.01,16504920.83,0,0
R000133,397,PAYMENT,23056.11,C2004000328,660.0,0.0,M234644203,0.0,0.0,0,0
R000134,373,CASH_OUT,146839.72,C703562562,46820.0,0.0,C1502587717,0.0,146839.72,0,0
R000135,280,CASH_IN,229188.26,C1970589667,7264898.07,7494086.33,C1819311933,432914.31,203726.05,0,0
R000136,181,CASH_IN,228110.07,C704502403,13917441.35,14145551.42,C152991414,2984267.6,2756157.53,0,0
R000137,396,CASH_IN,100898.5,C1897157392,1174626.55,1275525.05,C161406080,163527.36,62628.86,0,0
R000138,306,CASH_IN,71402.67,C1614835251,253216.15,324618.82,C1923196662,426380.14,354977.47,0,0
R000139,348,CASH_OUT,556015.91,C1325423108,16948.48,0.0,C408572863,12492335.58,13048351.49,0,0
R000140,256,CASH_OUT,702744.97,C1079308850,42348.0,0.0,C675024722,535430.81,1238175.79,0,0
R000141,394,CASH_OUT,104412.09,C1003097699,0.0,0.0,C450289231,420356.99,524769.08,0,0
R000142,14,CASH_IN,240075.67,C1472904774,21441.0,261516.67,C238797189,48318.0,0.0,0,0
R000143,297,CASH_IN,27227.31,C568670341,26060.0,53287.31,C322934612,2811531.52,2784304.2,0,0
R000144,661,CASH_OUT,336702.42,C138825512,2851.0,0.0,C1735305847,14358.63,351061.05,0,0
R000145,9,TRANSFER,620001.95,C1348269554,459652.75,0.0,C442364016,1122588.64,2586304.21,0,0
R000146,275,TRANSFER,39720.64,C697399450,23693.0,0.0,C1047231549,251926.59,291647.24,0,0
R000147,158,TRANSFER,823734.18,C353072824,0.0,0.0,C1612712002,1443753.75,2267487.93,0,0
R000148,205,PAYMENT,10173.45,C804550578,370714.0,360540.55,M1702083525,0.0,0.0,0,0
R000149,644,CASH_OUT,4438931.81,C694579714,4438931.81,0.0,C672316377,20066.68,4458998.5,1,0
R000150,42,CASH_IN,64927.76,C1286610975,1982435.75,2047363.51,C829279342,3383306.0,3318378.24,0,0
R000151,202,TRANSFER,323659.96,C2125936599,32699.65,0.0,C179457448,1136013.99,1459673.95,0,0
R000152,179,PAYMENT,17700.27,C2096335450,0.0,0.0,M290374901,0.0,0.0,0,0
R000153,356,TRANSFER,976101.74,C1548984810,0.0,0.0,C1273194608,4550311.69,5526413.43,0,0
R000154,202,CASH_OUT,383913.98,C247950916,127.0,0.0,C256914767,418156.9,999949.02,0,0
R000155,201,CASH_IN,123154.34,C1570395853,892403.52,1015557.86,C806590394,125834.02,2679.68,0,0
R000156,136,PAYMENT,20662.81,C1921561498,0.0,0.0,M1527408950,0.0,0.0,0,0
R000157,185,CASH_IN,65134.05,C1424331463,82156.0,147290.05,C21146000,47799.12,0.0,0,0
R000158,354,CASH_OUT,43611.22,C2023270211,27249.0,0.0,C358723964,0.0,43611.22,0,0
R000159,20,TRANSFER,154978.52,C35663408,452081.0,297102.48,C1388269126,0.0,325905.81,0,0
R000160,524,CASH_IN,71206.49,C1543617880,310159.0,381365.49,C1624632771,169334.3,98127.82,0,0
R000161,20,CASH_OUT,123924.86,C189884303,40983.0,0.0,C1528063871,0.0,123924.86,0,0
R000162,205,PAYMENT,5982.44,C764630928,7174.0,1191.56,M1683136900,0.0,0.0,0,0
R000163,35,CASH_IN,98433.91,C1459254476,10178.0,108611.91,C829108797,15699.0,0.0,0,0
R000164,252,PAYMENT,26353.69,C483643822,2208.87,0.0,M573383064,0.0,0.0,0,0
R000165,596,CASH_OUT,19648.87,C2010521510,108412.63,88763.76,C1158879420,667081.42,686730.29,0,0
R000166,372,PAYMENT,9552.11,C1786949361,0.0,0.0,M1247638441,0.0,0.0,0,0
R000167,298,PAYMENT,23527.65,C15405284,0.0,0.0,M1174066877,0.0,0.0,0,0
R000168,184,TRANSFER,47571.21,C525212990,133357.87,85786.66,C38736021,3797980.09,3845551.31,0,0
R000169,331,PAYMENT,11568.15,C1593699574,35892.0,24323.85,M574264778,0.0,0.0,0,0
R000170,327,PAYMENT,15448.27,C314188040,0.0,0.0,M993668060,0.0,0.0,0,0
R000171,350,PAYMENT,30862.29,C545773144,0.0,0.0,M1978112641,0.0,0.0,0,0
R000172,204,CASH_IN,89082.11,C315648309,3537336.47,3626418.58,C1907928319,1132261.15,1658513.61,0,0
R000173,474,CASH_IN,218176.62,C717548906,1393013.01,1611189.63,C1571262746,397342.69,179166.07,0,0
R000174,403,TRANSFER,754778.58,C627058345,0.0,0.0,C1032695064,1923501.8,2678280.38,0,0
R000175,346,CASH_OUT,24353.37,C1759150872,0.0,0.0,C1755274452,244097.63,268451.0,0,0
R000176,358,PAYMENT,10615.0,C1658831071,21226.0,10611.0,M1443985156,0.0,0.0,0,0
R000177,10,CASH_OUT,90247.86,C2038171627,8994.34,0.0,C1593814799,193972.0,284219.87,0,0
R000178,251,CASH_OUT,461708.37,C173951045,71.0,0.0,C143630937,1676395.97,2138104.34,0,0
R000179,160,CASH_IN,29172.39,C177624255,570686.5,599858.89,C324327570,2319930.44,2290758.05,0,0
R000180,10,TRANSFER,491627.98,C1222176849,5089.0,0.0,C1096283470,42157.32,557831.75,0,0
R000181,355,CASH_OUT,101317.81,C1919384230,31600.0,0.0,C2001860408,71666.15,174009.0,0,0
R000182,156,TRANSFER,1554355.98,C2073489219,2268.0,0.0,C1017308537,284570.4,1838926.38,0,0
R000183,227,CASH_OUT,195429.73,C1553915659,0.0,0.0,C1160426760,1534047.51,1729477.24,0,0
R000184,159,PAYMENT,817.96,C500030851,0.0,0.0,M1130950875,0.0,0.0,0,0
R000185,177,CASH_IN,188483.6,C687827180,2570607.58,2759091.17,C428452077,5041334.03,4852850.43,0,0
R000186,307,PAYMENT,25670.87,C813806177,67578.4,41907.53,M75894626,0.0,0.0,0,0
R000187,303,PAYMENT,2329.23,C229291264,0.0,0.0,M1431955094,0.0,0.0,0,0
R000188,181,CASH_OUT,197781.83,C978291042,0.0,0.0,C695549343,7233417.07,7431198.9,0,0
R000189,274,CASH_OUT,14005.47,C2009704840,0.0,0.0,C1325823833,191219.58,205225.05,0,0
R000190,540,CASH_OUT,1989311.31,C393149689,1989311.31,0.0,C928608101,2475151.37,4464462.67,1,0
R000191,235,CASH_OUT,118761.37,C1171564137,153094.97,34333.6,C1207621389,1013317.58,1132078.95,0,0
R000192,35,CASH_OUT,129634.52,C1688500347,98912.94,0.0,C362158904,0.0,129634.52,0,0
R000193,599,CASH_IN,298401.53,C648157551,6323890.0,6622291.53,C245097909,5187511.99,4889110.46,0,0
R000194,205,CASH_OUT,88941.48,C1721617579,8295.0,0.0,C555366822,1029838.73,1118780.21,0,0
R000195,310,TRANSFER,694199.06,C1730407679,24621.0,0.0,C370149646,317106.61,1011305.67,0,0
R000196,697,CASH_OUT,620791.47,C47005930,620791.47,0.0,C2048724307,1409463.69,2030255.17,1,0
R000197,523,TRANSFER,951451.17,C2053342988,951451.17,0.0,C1967338222,0.0,0.0,1,0
R000198,236,PAYMENT,74573.01,C695992831,0.0,0.0,M1281359230,0.0,0.0,0,0
R000199,155,PAYMENT,4.85,C547686432,0.0,0.0,M66855087,0.0,0.0,0,0
R000200,379,CASH_IN,52118.9,C221191764,18529.0,70647.9,C1774091654,382538.93,330420.03,0,0
R000201,328,CASH_IN,114856.33,C1716201365,1523992.49,1638848.82,C773358407,1701023.83,1586167.5,0,0
R000202,252,CASH_IN,5353.27,C277317296,1151.0,6504.27,C19562750,1296716.45,1291363.18,0,0
R000203,210,CASH_OUT,167170.1,C973681656,114825.0,0.0,C1207949825,0.0,167170.1,0,0
R000204,231,CASH_OUT,91546.31,C817913728,0.0,0.0,C931328199,1357427.63,1448973.94,0,0
R000205,207,PAYMENT,12628.07,C2135002641,0.0,0.0,M159633571,0.0,0.0,0,0
R000206,209,CASH_IN,112172.21,C1852310524,4043134.9,4155307.11,C341210887,1814251.29,1702079.08,0,0
R000207,236,PAYMENT,17721.39,C335602795,11551.0,0.0,M140102995,0.0,0.0,0,0
R000208,354,TRANSFER,1659074.17,C1373839929,21817.0,0.0,C1258483740,5410181.02,7069255.19,0,0
R000209,255,TRANSFER,248643.33,C142652371,7516.19,0.0,C1574065037,2286337.24,2534980.57,0,0
R000210,236,CASH_IN,34096.81,C903598382,51017.0,85113.81,C1801110078,0.0,0.0,0,0
R000211,379,CASH_OUT,68880.02,C188155180,0.0,0.0,C1239367647,496798.19,565678.21,0,0
R000212,137,TRANSFER,794136.01,C707818742,21375.0,0.0,C1484820484,0.0,794136.01,0,0
R000213,282,CASH_OUT,278491.59,C1210218306,0.0,0.0,C672565582,634393.87,912885.45,0,0
R000214,139,CASH_OUT,331277.38,C1084990667,0.0,0.0,C1686218230,4683111.63,5014389.02,0,0
R000215,546,CASH_OUT,105097.16,C1066191297,105097.16,0.0,C1432077169,1965333.76,2070430.91,1,0
R000216,189,CASH_OUT,40885.77,C1596074565,30446.0,0.0,C1604359263,144847.73,185733.51,0,0
R000217,302,TRANSFER,324562.18,C101387524,0.0,0.0,C1710672476,2747693.85,3072256.03,0,0
R000218,131,TRANSFER,176633.48,C1627776972,0.0,0.0,C1055965734,331523.19,508156.67,0,0
R000219,47,CASH_IN,259077.5,C1536751756,2355941.88,2615019.38,C1593711997,1374847.03,1115769.53,0,0
R000220,259,CASH_OUT,144159.55,C1088810526,0.0,0.0,C1966136406,337408.35,481567.9,0,0
R000221,299,CASH_IN,52209.24,C2092936877,10902122.3,10954331.54,C1783644979,91545.69,39336.45,0,0
R000222,259,CASH_IN,120357.83,C156154847,36939.0,157296.83,C157324109,910617.88,790260.05,0,0
R000223,182,PAYMENT,16439.87,C1609040632,20111.0,3671.13,M2011997528,0.0,0.0,0,0
R000224,7,TRANSFER,239745.92,C235787922,28433.0,0.0,C907892387,20942.0,239739.51,0,0
R000225,41,CASH_IN,250167.63,C2065542982,4262695.39,4512863.02,C200361558,1246220.66,996053.03,0,0
R000226,208,TRANSFER,867098.76,C555486495,50945.0,0.0,C1280983043,7008.01,874106.77,0,0
R000227,162,CASH_IN,95972.89,C771504954,21285.0,117257.89,C1519190328,0.0,0.0,0,0
R000228,328,CASH_OUT,337810.17,C206355745,337810.17,0.0,C1521769124,2016352.07,2354162.24,1,0
R000229,184,TRANSFER,742390.51,C1667622794,103235.0,0.0,C592611708,1610783.27,2353173.79,0,0
R000230,15,CASH_OUT,380823.42,C770247440,180588.27,0.0,C1934376345,20523.18,401346.6,0,0
R000231,378,CASH_OUT,193669.63,C2042760827,24513.0,0.0,C382076688,1037723.96,1231393.6,0,0
R000232,231,PAYMENT,7409.12,C1378814687,10322.0,2912.88,M1850016360,0.0,0.0,0,0
R000233,276,CASH_OUT,76175.88,C915608189,8571.33,0.0,C674467914,1080456.73,1156632.61,0,0
R000234,202,CASH_OUT,54660.07,C351266480,255967.94,201307.87,C620930187,3044407.62,3099067.69,0,0
R000235,264,PAYMENT,1348.49,C525782601,1088.0,0.0,M1711082904,0.0,0.0,0,0
R000236,164,PAYMENT,15929.1,C253706431,789.0,0.0,M857596965,0.0,0.0,0,0
R000237,180,CASH_OUT,138140.61,C349799564,16115.0,0.0,C1518904591,0.0,138140.61,0,0
R000238,42,PAYMENT,5033.69,C1331080752,123.0,0.0,M572169679,0.0,0.0,0,0
R000239,509,CASH_OUT,407320.01,C1339675214,407320.01,0.0,C812692879,0.0,407320.01,1,0
R000240,183,CASH_OUT,41499.02,C654038537,0.0,0.0,C2080451196,761092.07,802591.09,0,0
R000241,349,PAYMENT,13933.32,C263457785,0.0,0.0,M1802437822,0.0,0.0,0,0
R000242,404,PAYMENT,2710.43,C930874278,10687.0,7976.57,M782321572,0.0,0.0,0,0
R000243,383,CASH_IN,2773.94,C1656964257,411587.0,414360.94,C195401942,0.0,0.0,0,0
R000244,43,CASH_IN,425897.32,C1345067959,5457161.57,5883058.89,C154847262,901317.41,475420.09,0,0
R000245,21,PAYMENT,6032.79,C473278672,12743.94,6711.15,M1871146534,0.0,0.0,0,0
R000246,604,CASH_OUT,203848.61,C972076010,203848.61,0.0,C785941679,188810.39,392659.0,1,0
R000247,378,CASH_IN,65520.59,C1099784768,25374.0,90894.59,C1115816622,20837.53,0.0,0,0
R000248,690,PAYMENT,4362.21,C693993543,0.0,0.0,M533570001,0.0,0.0,0,0
R000249,357,CASH_IN,25743.31,C595920133,5743132.54,5768875.84,C1358620682,894340.88,868597.58,0,0
R000250,303,CASH_OUT,10000000.0,C1066838925,10000000.0,0.0,C1265892323,235903.82,10235903.82,1,0
R000251,372,PAYMENT,34445.14,C1505949817,41653.0,7207.86,M593704633,0.0,0.0,0,0
R000252,134,CASH_IN,189348.52,C1999934015,16792966.43,16982314.95,C677701060,2703126.06,2513777.54,0,0
R000253,217,TRANSFER,81216.23,C1904718336,81216.23,0.0,C364331020,0.0,0.0,1,0
R000254,249,CASH_IN,11143.64,C1269854054,12006882.74,12018026.38,C430297864,4595579.71,4584436.07,0,0
R000255,135,CASH_IN,220057.34,C1921080868,184180.0,404237.34,C265142518,1227050.4,1006993.06,0,0
R000256,592,PAYMENT,3674.09,C142837395,64942.0,61267.91,M890746994,0.0,0.0,0,0
R000257,309,PAYMENT,8933.38,C1331361767,0.0,0.0,M786858136,0.0,0.0,0,0
R000258,188,PAYMENT,815.93,C1687703276,0.0,0.0,M1470502560,0.0,0.0,0,0
R000259,331,CASH_OUT,151675.69,C1832387901,1514.0,0.0,C1846126751,0.0,151675.69,0,0
R000260,46,CASH_OUT,945131.85,C809054944,945131.85,0.0,C264512063,119561.47,1064693.32,1,0
R000261,212,PAYMENT,7239.8,C542823087,180850.37,173610.57,M6101330,0.0,0.0,0,0
R000262,13,CASH_IN,391531.18,C670887373,28046.0,419577.18,C275121476,0.0,0.0,0,0
