record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,is_legitimate_counterexample,previous_activity_step,dormant_gap,transaction_position,transaction_count_in_scenario,post_reactivation_pattern,balance_usage_ratio
L04_000030,457,PAYMENT,43026.78,C842234596,392410.29,349383.51,C_LEGIT_525591230,0.0,0.0,0,0,L04_00006,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,201,134,5,5,NORMAL,0.1096
L04_000031,433,TRANSFER,119483.81,C717989518,1114383.21,994899.4,C_LEGIT_313134268,73699.53,193183.34,0,0,L04_00007,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,324,109,1,5,NORMAL,0.1072
L04_000032,449,CASH_OUT,103952.55,C717989518,994899.4,890946.85,C_LEGIT_602863855,0.0,0.0,0,0,L04_00007,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,324,109,2,5,NORMAL,0.1045
L04_000033,478,TRANSFER,74911.32,C717989518,890946.85,816035.53,C_LEGIT_787053398,132851.85,207763.17,0,0,L04_00007,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,324,109,3,5,NORMAL,0.0841
L04_000034,500,PAYMENT,122405.33,C717989518,816035.53,693630.2,C_LEGIT_576659545,0.0,0.0,0,0,L04_00007,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,324,109,4,5,NORMAL,0.15
L04_000035,515,TRANSFER,94091.68,C717989518,693630.2,599538.52,C_LEGIT_461829330,129398.82,223490.5,0,0,L04_00007,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,324,109,5,5,NORMAL,0.1357
L04_000036,379,TRANSFER,59835.32,C264685544,1234400.21,1174564.89,C_LEGIT_814818564,34215.94,94051.26,0,0,L04_00008,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,325,54,1,5,NORMAL,0.0485
L04_000037,419,PAYMENT,145814.26,C264685544,1174564.89,1028750.63,C_LEGIT_698768128,0.0,0.0,0,0,L04_00008,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,325,54,2,5,NORMAL,0.1241
L04_000038,451,TRANSFER,111496.47,C264685544,1028750.63,917254.16,C_LEGIT_435006800,185574.39,297070.86,0,0,L04_00008,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,325,54,3,5,NORMAL,0.1084
L04_000039,466,TRANSFER,137588.12,C264685544,917254.16,779666.04,C_LEGIT_337330645,108249.23,245837.35,0,0,L04_00008,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,325,54,4,5,NORMAL,0.15
L04_000040,484,CASH_OUT,105443.48,C264685544,779666.04,674222.56,C_LEGIT_453835960,0.0,0.0,0,0,L04_00008,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,325,54,5,5,NORMAL,0.1352
L04_000041,263,TRANSFER,123235.67,C1953718093,1486662.89,1363427.22,C_LEGIT_101634408,127954.37,251190.04,0,0,L04_00009,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,179,84,1,5,NORMAL,0.0829
L04_000042,301,TRANSFER,79033.27,C1953718093,1363427.22,1284393.95,C_LEGIT_842692741,94505.36,173538.63,0,0,L04_00009,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,179,84,2,5,NORMAL,0.058
L04_000043,337,TRANSFER,147948.04,C1953718093,1284393.95,1136445.91,C_LEGIT_652406949,145792.32,293740.36,0,0,L04_00009,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,179,84,3,5,NORMAL,0.1152
L04_000044,363,TRANSFER,83147.47,C1953718093,1136445.91,1053298.44,C_LEGIT_760252684,79603.44,162750.91,0,0,L04_00009,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,179,84,4,5,NORMAL,0.0732
L04_000045,393,TRANSFER,79814.84,C1953718093,1053298.44,973483.6,C_LEGIT_216655351,85161.29,164976.13,0,0,L04_00009,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,179,84,5,5,NORMAL,0.0758
L04_000046,454,TRANSFER,53195.07,C74545363,966310.15,913115.08,C_LEGIT_838214977,48660.28,101855.35,0,0,L04_00010,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,323,131,1,5,NORMAL,0.055
L04_000047,503,TRANSFER,136967.26,C74545363,913115.08,776147.82,C_LEGIT_599409072,184415.88,321383.14,0,0,L04_00010,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,323,131,2,5,NORMAL,0.15
L04_000048,532,CASH_OUT,116422.17,C74545363,776147.82,659725.65,C_LEGIT_265714351,0.0,0.0,0,0,L04_00010,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,323,131,3,5,NORMAL,0.15
L04_000049,557,TRANSFER,21722.94,C74545363,659725.65,638002.71,C_LEGIT_222030352,41827.0,63549.94,0,0,L04_00010,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,323,131,4,5,NORMAL,0.0329
L04_000050,602,PAYMENT,57025.84,C74545363,638002.71,580976.87,C_LEGIT_942264244,0.0,0.0,0,0,L04_00010,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,323,131,5,5,NORMAL,0.0894
L04_000051,427,TRANSFER,50293.2,C963304041,1085419.76,1035126.56,C_LEGIT_577637960,26901.07,77194.27,0,0,L04_00011,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,306,121,1,5,NORMAL,0.0463
L04_000052,457,PAYMENT,9676.37,C963304041,1035126.56,1025450.19,C_LEGIT_234822035,0.0,0.0,0,0,L04_00011,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,306,121,2,5,NORMAL,0.0093
L04_000053,493,CASH_OUT,137076.69,C963304041,1025450.19,888373.5,C_LEGIT_652218005,0.0,0.0,0,0,L04_00011,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,306,121,3,5,NORMAL,0.1337
L04_000054,526,TRANSFER,133256.03,C963304041,888373.5,755117.47,C_LEGIT_995713908,235369.31,368625.34,0,0,L04_00011,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,306,121,4,5,NORMAL,0.15
L04_000055,568,PAYMENT,113267.62,C963304041,755117.47,641849.85,C_LEGIT_684818452,0.0,0.0,0,0,L04_00011,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,306,121,5,5,NORMAL,0.15
L04_000056,429,TRANSFER,73547.43,C2019593959,939543.18,865995.75,C_LEGIT_227440816,50981.22,124528.65,0,0,L04_00012,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,283,146,1,5,NORMAL,0.0783
L04_000057,463,CASH_OUT,83574.79,C2019593959,865995.75,782420.96,C_LEGIT_228890024,0.0,0.0,0,0,L04_00012,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,283,146,2,5,NORMAL,0.0965
L04_000058,496,CASH_OUT,117363.14,C2019593959,782420.96,665057.82,C_LEGIT_791739701,0.0,0.0,0,0,L04_00012,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,283,146,3,5,NORMAL,0.15
L04_000059,546,TRANSFER,99758.67,C2019593959,665057.82,565299.15,C_LEGIT_115728706,59477.49,159236.16,0,0,L04_00012,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,283,146,4,5,NORMAL,0.15
L04_000060,580,PAYMENT,84794.87,C2019593959,565299.15,480504.28,C_LEGIT_502653400,0.0,0.0,0,0,L04_00012,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,283,146,5,5,NORMAL,0.15
L04_000061,539,TRANSFER,39695.76,C981668679,835565.05,795869.29,C_LEGIT_320443042,60399.18,100094.94,0,0,L04_00013,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,404,135,1,5,NORMAL,0.0475
L04_000062,557,CASH_OUT,15318.9,C981668679,795869.29,780550.39,C_LEGIT_322458113,0.0,0.0,0,0,L04_00013,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,404,135,2,5,NORMAL,0.0192
L04_000063,586,CASH_OUT,63235.02,C981668679,780550.39,717315.37,C_LEGIT_606601252,0.0,0.0,0,0,L04_00013,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,404,135,3,5,NORMAL,0.081
L04_000064,636,CASH_OUT,107597.31,C981668679,717315.37,609718.06,C_LEGIT_941929310,0.0,0.0,0,0,L04_00013,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,404,135,4,5,NORMAL,0.15
L04_000065,678,TRANSFER,67633.32,C981668679,609718.06,542084.74,C_LEGIT_161936794,62716.45,130349.77,0,0,L04_00013,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,404,135,5,5,NORMAL,0.1109
L04_000066,294,TRANSFER,60093.49,C1050203620,703027.65,642934.16,C_LEGIT_997113224,39214.16,99307.65,0,0,L04_00014,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,225,69,1,5,NORMAL,0.0855
L04_000067,328,TRANSFER,96440.12,C1050203620,642934.16,546494.04,C_LEGIT_155052536,50045.9,146486.02,0,0,L04_00014,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,225,69,2,5,NORMAL,0.15
L04_000068,358,CASH_OUT,81974.11,C1050203620,546494.04,464519.93,C_LEGIT_395918674,0.0,0.0,0,0,L04_00014,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,225,69,3,5,NORMAL,0.15
L04_000069,396,PAYMENT,69677.99,C1050203620,464519.93,394841.94,C_LEGIT_303670594,0.0,0.0,0,0,L04_00014,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,225,69,4,5,NORMAL,0.15
L04_000070,444,PAYMENT,59226.29,C1050203620,394841.94,335615.65,C_LEGIT_203037428,0.0,0.0,0,0,L04_00014,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,225,69,5,5,NORMAL,0.15
L04_000071,429,TRANSFER,177807.88,C1718384507,1192661.34,1014853.46,C_LEGIT_425960260,110282.11,288089.99,0,0,L04_00015,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,379,50,1,5,NORMAL,0.1491
L04_000072,474,CASH_OUT,76048.41,C1718384507,1014853.46,938805.05,C_LEGIT_218175736,0.0,0.0,0,0,L04_00015,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,379,50,2,5,NORMAL,0.0749
L04_000073,512,PAYMENT,25548.31,C1718384507,938805.05,913256.74,C_LEGIT_708222996,0.0,0.0,0,0,L04_00015,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,379,50,3,5,NORMAL,0.0272
L04_000074,541,CASH_OUT,96757.79,C1718384507,913256.74,816498.95,C_LEGIT_718383744,0.0,0.0,0,0,L04_00015,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,379,50,4,5,NORMAL,0.1059
L04_000075,560,CASH_OUT,17006.3,C1718384507,816498.95,799492.65,C_LEGIT_907583353,0.0,0.0,0,0,L04_00015,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,379,50,5,5,NORMAL,0.0208
L04_000076,455,TRANSFER,35929.28,C538599067,765738.42,729809.14,C_LEGIT_384176283,51844.31,87773.59,0,0,L04_00016,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,327,128,1,5,NORMAL,0.0469
L04_000077,476,TRANSFER,109471.37,C538599067,729809.14,620337.77,C_LEGIT_752685036,211660.27,321131.64,0,0,L04_00016,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,327,128,2,5,NORMAL,0.15
L04_000078,496,TRANSFER,75003.7,C538599067,620337.77,545334.07,C_LEGIT_969210620,110756.76,185760.46,0,0,L04_00016,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,327,128,3,5,NORMAL,0.1209
L04_000079,528,PAYMENT,12446.51,C538599067,545334.07,532887.56,C_LEGIT_518737511,0.0,0.0,0,0,L04_00016,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,327,128,4,5,NORMAL,0.0228
L04_000080,546,CASH_OUT,10853.13,C538599067,532887.56,522034.43,C_LEGIT_520473588,0.0,0.0,0,0,L04_00016,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,327,128,5,5,NORMAL,0.0204
L04_000081,433,PAYMENT,95036.39,C398484117,653408.21,558371.82,C_LEGIT_478250168,0.0,0.0,0,0,L04_00017,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,358,75,1,5,NORMAL,0.1454
L04_000082,474,PAYMENT,83755.77,C398484117,558371.82,474616.05,C_LEGIT_190706148,0.0,0.0,0,0,L04_00017,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,358,75,2,5,NORMAL,0.15
L04_000083,508,TRANSFER,71192.41,C398484117,474616.05,403423.64,C_LEGIT_569064559,96707.79,167900.2,0,0,L04_00017,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,358,75,3,5,NORMAL,0.15
L04_000084,549,PAYMENT,60513.55,C398484117,403423.64,342910.09,C_LEGIT_443303753,0.0,0.0,0,0,L04_00017,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,358,75,4,5,NORMAL,0.15
L04_000085,577,TRANSFER,51436.51,C398484117,342910.09,291473.58,C_LEGIT_340188661,69027.09,120463.6,0,0,L04_00017,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,358,75,5,5,NORMAL,0.15
L04_000086,162,TRANSFER,90278.73,C429213962,997980.31,907701.58,C_LEGIT_574650152,120059.42,210338.15,0,0,L04_00018,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,33,129,1,5,NORMAL,0.0905
L04_000087,180,TRANSFER,136155.24,C429213962,907701.58,771546.34,C_LEGIT_886009478,245261.53,381416.77,0,0,L04_00018,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,33,129,2,5,NORMAL,0.15
L04_000088,223,TRANSFER,115731.95,C429213962,771546.34,655814.39,C_LEGIT_432523511,159620.98,275352.93,0,0,L04_00018,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,33,129,3,5,NORMAL,0.15
L04_000089,261,PAYMENT,67357.95,C429213962,655814.39,588456.44,C_LEGIT_289055261,0.0,0.0,0,0,L04_00018,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,33,129,4,5,NORMAL,0.1027
L04_000090,281,PAYMENT,88268.47,C429213962,588456.44,500187.97,C_LEGIT_219307632,0.0,0.0,0,0,L04_00018,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,33,129,5,5,NORMAL,0.15
L04_000091,263,TRANSFER,51114.97,C1916099445,1156602.88,1105487.91,C_LEGIT_713431633,29914.33,81029.3,0,0,L04_00019,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,202,61,1,5,NORMAL,0.0442
L04_000092,279,TRANSFER,69248.3,C1916099445,1105487.91,1036239.61,C_LEGIT_801512323,123152.48,192400.78,0,0,L04_00019,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,202,61,2,5,NORMAL,0.0626
L04_000093,302,TRANSFER,155435.94,C1916099445,1036239.61,880803.67,C_LEGIT_171706842,115554.53,270990.47,0,0,L04_00019,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,202,61,3,5,NORMAL,0.15
L04_000094,352,PAYMENT,132120.55,C1916099445,880803.67,748683.12,C_LEGIT_611364257,0.0,0.0,0,0,L04_00019,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,202,61,4,5,NORMAL,0.15
L04_000095,383,PAYMENT,112302.47,C1916099445,748683.12,636380.65,C_LEGIT_596058280,0.0,0.0,0,0,L04_00019,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,202,61,5,5,NORMAL,0.15
L04_000096,150,TRANSFER,32041.27,C2099287488,1167694.9,1135653.63,C_LEGIT_990287938,63347.54,95388.81,0,0,L04_00020,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,44,106,1,5,NORMAL,0.0274
L04_000097,176,CASH_OUT,110340.23,C2099287488,1135653.63,1025313.4,C_LEGIT_379852948,0.0,0.0,0,0,L04_00020,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,44,106,2,5,NORMAL,0.0972
L04_000098,219,PAYMENT,57428.85,C2099287488,1025313.4,967884.55,C_LEGIT_537037056,0.0,0.0,0,0,L04_00020,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,44,106,3,5,NORMAL,0.056
